Galician	Gascon	probability
b	b	1.0
f	h	1.0
ˈɑ	ˈa	1.0
e	e	0.81
ɲ	n	0.431
ʊ	w	0.441
ʊ	-	0.451
ʎ	l	0.071
ˈi	ˈi	0.811
ˈo	ˈu	0.481
ˈu	ˈy	0.941
β	β	0.821
a	-	0.262
j	-	0.252
n	n	0.882
r	-	0.192
ð	t	0.172
ʃ	-	0.2
ˈa	ˈa	0.882
ˈe	ˈɛ	0.12
θ	ʦ	0.2
d	d	0.963
l	w	0.103
o	u	0.753
p	p	0.943
t	t	0.973
ɡ	k	0.073
ɣ	-	0.183
ɾ	ð_e	0.053
ɾ	ɾ	0.433
ˈɔ	ˈu	0.183
a	ˈa	0.074
l	l	0.714
o	ˈu	0.064
ŋ	ŋ	0.964
ɐ	a	0.054
ɪ	e	0.34
ɾ	r	0.14
ˈɔ	w	0.104
ˈɔ	ˈɔ	0.714
ˈɛ	ˈe	0.184
θ	-	0.34
m	-	0.135
w	w	0.95
ð	-	0.05
ˈe	ˈi	0.065
ˈi	ˈe	0.115
i	e	0.206
o	-	0.126
r	a_r	0.776
ɐ	ɔ	0.946
ɪ	i	0.66
ʃ	ʃ	0.086
ˈo	ˈu_n	0.086
ˈɛ	ˈɛ	0.816
i	-	0.137
i	i	0.657
k	k	0.967
m	m	0.797
p	-	0.057
ɡ	ɡ	0.927
ɣ	ɣ	0.817
ɾ	-	0.067
ʃ	j_ʃ	0.057
ʃ	ʒ	0.657
ˈa	-	0.077
ˈe	-	0.147
a	a	0.658
e	-	0.138
j	j	0.748
l	-	0.118
n	-	0.088
s	s	0.958
ð	ð	0.778
ɾ	e	0.268
ʊ	e	0.108
ˈe	ˈe	0.668
ˈo	ˈɔ	0.058
ˈo	ˈa	0.168
θ	s	0.418
ɲ	ɲ	0.49
ʎ	ʎ	0.929
ˈo	w_ˈe	0.149
ˈu	ˈu	0.059
β	-	0.139
