Gothic	North Frisian	probability
a	-	0.557
a	ə	0.443
aː	ə	1.0
b	b	0.845
b	v	0.087
b	-	0.069
d	d	0.614
d	-	0.315
d	t	0.07
e	ə	1.0
f	f	0.855
f	-	0.073
f	v	0.072
h	h	0.614
h	x	0.179
h	-	0.125
i	-	0.853
i	ə	0.147
iː	-	1.0
j	-	0.59
j	j	0.138
j	r	0.109
j	ˈai̯	0.088
j	ˈyː	0.064
k	k	0.694
k	-	0.306
kʷ	k	1.0
l	l	0.723
l	l_ə	0.114
l	lʲ	0.109
lː	l	1.0
m	m	0.949
m	-	0.051
n	n	0.509
n	-	0.275
n	nʲ	0.207
nː	n	1.0
oː	-	0.612
oː	ə	0.251
oː	r	0.078
oː	w	0.059
p	p	0.901
p	b	0.099
r	r	0.969
s	-	0.657
s	s	0.311
t	t	0.601
t	d	0.23
t	z	0.091
u	-	0.704
u	ə	0.296
w	v	0.665
w	-	0.14
w	ə	0.101
w	ˈʏ	0.053
x	-	1.0
z	r	0.805
z	ʃ	0.195
ð	d	0.636
ð	ʃ	0.324
ŋ	ŋ	0.954
ɔː	-	1.0
ɡ	-	0.589
ɡ	ɡ	0.23
ɡ	j	0.181
ɡʷ	-	1.0
ɡːʷ	-	1.0
ɣ	w	0.621
ɣ	-	0.379
ʍ	v	0.801
ʍ	-	0.199
ˈa	ˈœ	0.187
ˈa	ˈuː	0.16
ˈa	ˈa	0.117
ˈa	ˈɔː	0.112
ˈa	ˈʊ	0.09
ˈa	ˈɒː	0.075
ˈa	ˈɒ	0.063
ˈa	ˈeː	0.056
ˈeː	ˈɔu̯	0.404
ˈeː	ˈiː	0.285
ˈeː	ˈeː	0.193
ˈeː	ˈɛi̯	0.069
ˈi	ˈi	0.215
ˈi	ˈai̯	0.139
ˈi	ˈaː	0.133
ˈi	-	0.102
ˈi	ˈeː	0.091
ˈi	ˈɛ	0.064
ˈi	ˈʊ	0.062
ˈi	ˈiː	0.05
ˈiu̯	ˈiː	0.494
ˈiu̯	-	0.149
ˈiu̯	w	0.149
ˈiu̯	ˈʏ	0.089
ˈiu̯	ˈuː	0.06
ˈiu̯	ˈa	0.059
ˈiː	ˈi	0.718
ˈiː	ˈiː	0.197
ˈiː	ˈeː	0.085
ˈoː	ˈœ	0.465
ˈoː	ˈiː	0.367
ˈoː	ˈɛ	0.086
ˈoː	ˈɔu̯	0.083
ˈu	ˈʊ	0.383
ˈu	ˈyː	0.268
ˈu	ˈɔː	0.116
ˈu	ˈɛi̯	0.091
ˈu	ˈøː	0.053
ˈuː	ˈa	0.404
ˈuː	ˈyː	0.294
ˈuː	ˈʊ	0.189
ˈuː	ˈuː	0.113
ˈɔ	ˈɔ	0.461
ˈɔ	ˈuː	0.178
ˈɔ	ˈœ	0.178
ˈɔ	ˈyː	0.146
ˈɔː	ˈuː	0.626
ˈɔː	ˈɔ	0.14
ˈɔː	ˈiː	0.09
ˈɔː	ˈɔː	0.062
ˈɛ	ˈɛ	0.284
ˈɛ	ˈeː	0.22
ˈɛ	ˈa	0.21
ˈɛ	ˈiː	0.136
ˈɛ	ˈɔː	0.111
ˈɛː	ˈiː	0.734
ˈɛː	ˈi	0.074
ˈɛː	ˈʊ	0.074
ˈɛː	ˈɒ	0.051
β	v	0.967
θ	-	0.426
θ	d	0.293
θ	t	0.135
θ	dʲ	0.087
θ	tʲ	0.059
