Hessian	Hessian	probability
ˈɛ̃ː	ˈaː_n	1.0
ˈɑ̃i̯	ˈɛi̯_n	1.0
ˈɑː_d̥	ˈɑ_d̥	1.0
ˈæː	-	1.0
ˈuː	ˈu	1.0
ˈõː	ˈoː	1.0
ˈoĩ̯	ˈeː_χ	1.0
ˈĩː	ˈu_n	1.0
ˈẽː	-	1.0
ˈãː	ˈeː_n	1.0
ˈaː_l	ˈɑu̯_d̥	1.0
ˈau̯	ˈœy̯	1.0
ʦ	t	1.0
ʣ̥	-	1.0
ʃ_v	z_ʋ	1.0
ʃ_t	χ_t	1.0
ʃ_d̥	s_t	1.0
ʀ	ɾ	1.0
ɛː	i_n	1.0
ɑ	-	1.0
ɐ	ɾ	1.0
ŋ	ŋ	1.0
v̥	p	1.0
pʰ	p	1.0
oː	ˈoː	1.0
m	m	1.0
kʰ	k	1.0
k_s	s	1.0
h	ɦ	1.0
d̥_ˈi	d_ˈɪ	1.0
d̥_æ̆	ɾ	1.0
<#_ˈi	<#_ˈɪ	1.0
<#_ʀ	<#_ɾ	1.0
<#_n	<#_n	1.0
l	ɫ	0.957
ˈiː	ˈi	0.833
v	ʋ	0.821
ˈɑ	ˈɑ	0.812
n	n	0.811
ˈoː	ˈoː	0.8
p	b	0.8
ˈo	ˈɔ	0.75
ə	ə_n	0.75
æ̆	ə_ɾ	0.75
ɡ̊	χ	0.733
ˈu	ˈɔ	0.714
ˈɔ	ˈoː	0.667
ˈæ	ˈɛ	0.667
ɣ̊	χ	0.667
k	χ	0.667
f	v	0.657
b̥	b	0.647
ˈai̯	ˈɛi̯	0.636
ˈɛː	-	0.6
x	χ	0.6
ˈi	ˈɪ	0.586
ˈaː	ˈoː	0.583
ˈoi̯	-	0.571
ˈa	ˈɑ	0.571
ˈɑː	ˈaː	0.533
d̥	d	0.524
ˈɛ	ˈɛ	0.5
ˈɛ	ˈeː	0.5
ʒ̊	χ	0.5
ʒ̊	-	0.5
z̥	ˈeː_t	0.5
z̥	t	0.5
j	χ_ə	0.5
j	j	0.5
i	ɪ	0.5
i	ə	0.5
t	t	0.444
s	z	0.439
ˈoi̯	ˈœy̯	0.429
ˈaː	ˈeː	0.417
#>	n_#>	0.417
d̥	d̥	0.405
ˈɛː	ˈeː	0.4
ˈeː	ˈi	0.4
ˈeː	-	0.4
x	k	0.4
t	d	0.389
ˈe	ˈɛ	0.375
ˈe	-	0.375
b̥	v̥	0.353
ˈɔ	ˈɔ	0.333
ˈæ	-	0.333
ɣ̊	χ_ə	0.333
k	k	0.333
#>	ə_n_#>	0.333
ʃ	s_χ	0.304
ˈu	ˈu	0.286
ˈa	ˈaː	0.286
ɡ̊	k	0.267
ˈo	ˈoː	0.25
ˈe	ˈʏ	0.25
#>	d̥_#>	0.25
s	t	0.244
f	p	0.229
ʃ	χ	0.217
ʃ	s	0.217
ˈoː	ˈaː	0.2
ˈeː	w	0.2
p	-	0.2
s	z̥	0.195
n	n_d	0.189
ˈɑ	-	0.188
ˈai̯	ˈɪ	0.182
ˈai̯	-	0.182
v	v	0.179
ʃ	k	0.174
ˈi	ˈʏ	0.172
ˈiː	ˈu	0.167
t	d̥	0.167
æ̆	ɾ	0.15
ˈa	-	0.143
ˈi	-	0.138
ə	-	0.136
ˈɑː	ˈɑ_ɾ	0.133
ˈɑː	ˈɑ	0.133
ˈɑː	ˈaː_ɾ	0.133
s	s	0.122
ə	n	0.114
ˈi	ˈɛ	0.103
æ̆	ˈyː_ɾ	0.1
ʃ	ŋ	0.087
d̥	t	0.071
ˈɑː	ˈøː	0.067
f	ə_v̥	0.057
f	v̥	0.057
