Romanian	Latin	probability
a	a	0.653
a	ãː	0.202
a	au̯	0.096
b	b	0.695
b	-	0.212
d	d	0.907
d	-	0.066
e	ɛ	0.421
e	ɛ̃ː	0.309
e	ãː	0.069
e	-	0.051
e̯ˈa	ˈeː	0.49
e̯ˈa	ˈɪ	0.254
e̯ˈa	ˈɛ	0.166
e̯ˈa	ˈa	0.091
f	f	0.92
i	ɪ	0.48
i	ɛ	0.182
i	iː	0.154
i	aː	0.087
j	-	0.443
j	i	0.207
j	ˈiː	0.068
j	w	0.066
j	ʊ	0.053
j	ɫ	0.052
k	k	0.785
k	k_ʊ̃ː	0.144
kʲ	t	0.517
kʲ	k_ʊ	0.483
l	ɫ	0.36
l	lʲ	0.324
l	l	0.272
m	m	0.761
m	ŋ	0.111
m	ɡ	0.066
m	-	0.063
n	n	0.8
n	-	0.094
n	ŋ	0.092
nʲ	oː	1.0
o	ɔ	0.748
o	w	0.185
o	a	0.067
o̯ˈa	ˈɔ	0.379
o̯ˈa	ˈoː	0.281
o̯ˈa	ˈʊ	0.142
o̯ˈa	ɔ	0.096
o̯ˈa	ˈa	0.06
p	p	0.715
p	k	0.107
p	kʷ	0.056
p	p_ʊ̃ː	0.055
p	f	0.051
r	r	0.834
r	ɫ_ʊ̃ː	0.059
s	s	0.871
s	s_ʊ̃ː	0.061
t	t	0.658
t	t_ʊ̃ː	0.174
t	k	0.064
u	ɔ	0.326
u	ʊ̃ː	0.121
u	oː	0.086
u	ˈuː	0.077
u	ɪ	0.074
u	au̯	0.06
u	ˈʊ	0.052
v	w	1.0
w	ʊ_s	0.301
w	w_ʊ̃ː	0.161
w	ãː	0.129
w	iː	0.103
w	-	0.094
w	ʊ̃ː	0.073
w	w	0.066
z	d	0.542
z	ɡ	0.255
z	-	0.203
ŋ	-	0.365
ŋ	d	0.365
ŋ	ŋ	0.271
ə	ãː	0.649
ə	ɛ̃ː	0.082
ə	a	0.05
ɡ	ɡ	0.846
ɡ	-	0.078
ɡ	k	0.076
ɨ	-	0.407
ɨ	a	0.322
ɨ	w	0.27
ʃ	s	0.93
ʒ	j	0.579
ʒ	d_i	0.421
ʤ	ɡ	0.907
ʤ	ɡʷ	0.077
ʦ	t	0.755
ʦ	-	0.087
ʦ	k	0.081
ʦ	ɫ	0.077
ʦʲ	t	1.0
ʧ	k	0.562
ʧ	-	0.276
ʧ	kʷ	0.148
ʧʲ	n_t	0.672
ʧʲ	kʷ	0.174
ʧʲ	k	0.096
ʧʲ	s	0.058
ˈa	ˈaː	0.407
ˈa	ˈa	0.387
ˈa	ˈɛ	0.14
ˈe	ˈɛ	0.386
ˈe	ˈɪ	0.234
ˈe	ˈeː	0.161
ˈi	ˈiː	0.369
ˈi	ˈɛ	0.181
ˈi	-	0.095
ˈi	ˈeː	0.092
ˈi	ˈiː_lʲ	0.067
ˈi	ˈa	0.053
ˈo	ˈɔ	0.498
ˈo	ˈoː	0.166
ˈo	ˈu	0.102
ˈo	ˈuː	0.082
ˈo	ˈʊ	0.075
ˈu	ˈuː	0.262
ˈu	ˈɔ	0.227
ˈu	ˈʊ	0.223
ˈu	ˈoː	0.157
ˈə	a	0.536
ˈə	ˈɪ	0.239
ˈə	ãː	0.143
ˈə	ˈeː	0.082
ˈɨ	ˈa	0.367
ˈɨ	ˈaː	0.323
ˈɨ	ˈaː_n	0.126
ˈɨ	-	0.088
ˈɨ	ˈɛ	0.086
