Spanish	Logudorese	probability
b	b	1.0
d	d	1.0
f	f	1.0
m	m	1.0
p	p	1.0
r	r	1.0
t	t	1.0
w	-	1.0
ð	ð	1.0
ŋ	m	1.0
ɟ͡ʝ	r	1.0
ɣ	ɣ	1.0
ʝ	ɖː	1.0
ʧ	t	1.0
ˈa	ˈa	1.0
ˈu	ˈu	1.0
l	-	0.21
o	u	0.771
β	-	0.21
j	j	0.572
ɡ	b	0.242
ɲ	nː	0.402
ˈe	ˈi	0.332
e	i	0.373
ˈi	-	0.073
l	l	0.74
x	ʣ	0.304
ɾ	r	0.454
ˈe	ˈe	0.524
n	n_e	0.095
ɾ	-	0.205
o	o	0.126
s	s	0.766
x	k_r	0.646
θ	ɣ	0.16
θ	-	0.196
θ	ɣ_e	0.206
ˈe	e	0.127
ˈi	ˈi	0.927
j	-	0.428
k	k	0.958
n	<#_f	0.068
ɡ	ɡ	0.758
ɲ	ɲː	0.598
θ	k	0.438
a	a	0.909
e	e	0.599
n	n	0.79
s	z	0.189
ɾ	r_e	0.279
ˈo	ˈu	0.279
ˈo	ˈo	0.679
β	β	0.79
