Czech	Upper Sorbian	probability
a	a	1.0
c	ʧ	1.0
o	ɔ	1.0
r	ʀ	1.0
r̝̊	ʃ	1.0
s	s	1.0
z	z	1.0
ɟ	ʤ	1.0
ɪ	i	1.0
ɲ	ɲ	1.0
ʃ	ʃ	1.0
ʒ	ʒ	1.0
ʧ	ʧ	1.0
ˈaː	ˈa	1.0
ˈou̯	ˈu	1.0
ˈu	ˈu	1.0
ʦ	ʦ	0.981
ˈiː	ˈe	0.711
ˈr̩	ˈɔ_ʀ	0.21
ˈɪ	ˈɪ	0.511
iː	ɪ	0.692
t	t	0.572
ɛ	ɛ	0.262
ˈuː	ˈo	0.702
l	w	0.503
m	mʲ	0.523
n	n	0.763
p	pʲ	0.413
v	β	0.733
ɛ	ˈɛ	0.373
ˈɛ	e	0.083
ˈɛ	ˈɛ	0.223
ˈɛː	ˈe	0.183
k	k	0.84
x	x	0.814
ˈɛ	ɛ	0.074
ˈɛ	ˈɔ	0.154
b	bʲ	0.315
b	b	0.685
j	-	0.175
j	j	0.825
ɛ	ɔ	0.285
ɦ	x	0.095
ɦ	ɦ	0.905
ˈo	ɔ	0.075
d	ʤ	0.266
k	kʲ	0.16
x	xʲ	0.186
ˈa	ˈa	0.786
d	d	0.697
l	l	0.497
m	m	0.477
n	ɲ	0.237
p	p	0.587
v	ɥ	0.267
ˈo	ˈo	0.197
ˈo	ˈɔ	0.727
ˈɛː	ˈɛ	0.817
iː	i	0.308
t	ʧ	0.428
ɛ	a	0.08
ˈa	ˈɔ	0.168
ˈuː	ˈɔ	0.298
ˈɛ	ˈe	0.448
r̝	ʀʲ	0.989
ˈiː	ˈi	0.289
ˈr̩	ˈe_ʀ	0.79
ˈɪ	ˈi	0.489
