Old West Norse	Mainland North Frisian	probability
ˈɛ	-	1.0
ˈɔ_l	l	1.0
ˈɔ	-	1.0
ˈɒu̯	ˈyː	1.0
ˈøy̯	ˈiː	1.0
ˈa	-	1.0
ʦ	ʃ	1.0
ʝː	d	1.0
ɾ	t	1.0
ɡ_r̥	ə_ʀ	1.0
ɡ	-	1.0
ɟ	ɡ	1.0
ɑː	ɛi̯	1.0
ŋ_ɟ	ŋ	1.0
ŋ	ŋ	1.0
ð_i	d_ə	1.0
ç	h	1.0
x_w	v	1.0
v_r̥	ə_v̥	1.0
sː	s	1.0
s_ˈe	s_ˈeː	1.0
s_k	ʃ	1.0
s_c	ʃ	1.0
r̥ː	ʀ	1.0
r	ʀ	1.0
pː	p	1.0
pʰ	p	1.0
p	p	1.0
n̥	n	1.0
n_d	nʲ	1.0
n	n	1.0
mː	-	1.0
m	m	1.0
l̥	l	1.0
l_d	lʲ	1.0
kː	ŋ_k	1.0
kʰ	k	1.0
j_ˈuː	ˈiː	1.0
j_ˈoː	ˈiː	1.0
j_ɑ	ə	1.0
i_r̥	ə_ʀ	1.0
h	h	1.0
f_r̥	v̥	1.0
f	f	1.0
e	ˈa	1.0
d	-	1.0
cʰ	k	1.0
c	ʃ	1.0
b	b	1.0
l	l	0.954
s	s	0.913
ɑ	ə	0.906
lː	l	0.858
k	k	0.857
tʰ	t	0.84
v	v	0.839
ˈiː	ˈi	0.806
tː	x	0.72
i	-	0.691
ˈɛi̯	ˈiː	0.669
a	ə	0.667
θ	t	0.638
t	t	0.62
ˈo	-	0.619
ˈɑu̯	ˈuː	0.618
u	-	0.595
ˈɛː	ˈɛi̯	0.566
ˈøː	-	0.545
j	-	0.528
nː	n	0.514
ˈy	-	0.484
j	j	0.472
r̥	ʀ	0.461
ˈøː	ˈɛ	0.455
ˈɛː	-	0.434
ˈi	ˈi	0.424
ˈuː	ˈʏ	0.423
ɣ	-	0.421
ˈyː	-	0.414
u	ə_n	0.405
ˈeː	ˈɛ	0.389
ˈɑu̯	ˈyː	0.382
ˈu	ˈʊ	0.364
nː	-	0.363
ˈɑː	-	0.359
ð	dʲ	0.345
ˈy	ˈʊ	0.336
ɣ	i	0.335
a	-	0.333
ˈɛi̯	-	0.331
ˈyː	ˈœː	0.329
ˈoː	-	0.328
t	tʲ	0.327
ˈuː	ˈɔː	0.313
ˈeː	-	0.313
i	ə	0.309
ˈoː	ˈɔu̯	0.308
ð	d̥	0.306
ˈeː	ˈa	0.299
tː	t	0.28
ˈɑː	ˈuː	0.275
ˈoː	ˈœ	0.274
r̥	ə	0.27
r̥	ə_ʀ	0.269
ˈuː	-	0.264
ˈi	ˈa	0.259
ˈyː	ˈʏ	0.257
ˈo	ˈɔ	0.249
ˈe	j_ˈa	0.237
ˈe	-	0.222
ˈi	-	0.214
θ	tʲ	0.203
ˈɑ	ˈa	0.199
ˈɑː	ˈɔu̯	0.198
ˈiː	ˈiː	0.194
ˈu	ˈœː	0.187
ð	d_ə	0.187
ˈɑ	ˈeː	0.18
ˈy	ˈʏ	0.18
ˈe	ˈai̯	0.176
ˈɑː	ˈiː	0.169
ɣ	j_ə	0.165
v	-	0.161
θ	d	0.16
tʰ	t_v	0.16
ˈu	-	0.153
ˈe	ˈɒ	0.151
ˈɑ	ˈʊ	0.145
k	-	0.143
lː	lʲ	0.142
ˈo	ˈaː	0.132
nː	z̥	0.123
ˈɑ	ˈɛː	0.122
ˈu	ˈʏ	0.115
ˈɑ	ˈuː	0.113
ˈe	ˈɛː	0.107
ˈe	ˈa	0.107
ˈɑ	ˈɒ	0.106
ˈi	ˈaː	0.103
ˈɑ	ˈœ	0.096
ɑ	-	0.094
ð	z̥	0.094
ˈoː	ˈiː	0.091
ˈu	ˈɔː	0.09
ˈu	ˈœ	0.09
ɣ	w	0.079
ð	-	0.068
s	n	0.064
t	z	0.053
