Proto-Slavic	Proto-Slavic	probability
̌_t	t	1.0
̌_#>	#>	1.0
̂_r	̂	1.0
̂_l	̂	1.0
ˀ_ɡ	̂_ɡ	1.0
ˀ_r	̂	1.0
ʧ	ʧ	1.0
ʦ	ʦ	1.0
ʤ	d	1.0
ʒ	ʒ	1.0
ʎ	ʎ	1.0
ʃ	ʃ	1.0
ɲ	ɲ	1.0
ɨː	iː	1.0
ɨ	i	1.0
ɡ_ŭ_#>	ɡ_#>	1.0
z	z	1.0
x	x	1.0
v_ŭ_#>	ʋ_#>	1.0
v_ŭ	u	1.0
v	ʋ	1.0
ŭ_̌	a_̂	1.0
ŭ_#>	#>	1.0
uː	uː	1.0
u	u	1.0
tʲ	ʨ	1.0
t_ŭ_#>	t_#>	1.0
t_ĭ_#>	t_#>	1.0
t_a	t_a	1.0
t	t	1.0
s_ŭ_#>	s_#>	1.0
s	s	1.0
rʲ	r	1.0
r_ŭ	a_r	1.0
p	p	1.0
o_̂	oː_̂	1.0
o_l	l_aː	1.0
o_#>	o_#>	1.0
m	m	1.0
l_ɛː	ʎ_e	1.0
l_ŭ	o	1.0
l_a	l_a	1.0
ĭː	r̩ː	1.0
ĭ_̌	a_̂	1.0
iː	iː	1.0
i_#>	i_#>	1.0
ẽː	eː	1.0
eː	-	1.0
d_l	l	1.0
b	b	1.0
aː	aː	1.0
a_ˀ	a	1.0
a	a	1.0
<#_x	<#_x	1.0
<#_v	<#_ʋ	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_o	<#_o	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_j	<#_j	1.0
<#_d	<#_d	1.0
k	k	0.933
ɡ	ɡ	0.875
n	n	0.875
d	d	0.789
e	e	0.774
l	l	0.765
̂	̂	0.744
<#	<#_j	0.714
ˀ	̂	0.684
ɛː	j	0.684
r	r	0.667
o_̌	o_̂	0.667
ẽ	eː	0.667
ĭ	-	0.656
̌	̂	0.621
oː	oː	0.6
#>	̂_#>	0.6
õː	uː	0.556
ŭ	-	0.545
o	o	0.5
i	i	0.5
oː	r_aː	0.4
#>	i_#>	0.4
o_̌	o	0.333
i	iː	0.333
ẽ	-	0.333
ɛː	j_eː	0.316
<#	<#_r	0.286
ŭ	a	0.273
̌	-	0.241
r	-	0.238
l	-	0.235
õː	uː_̌	0.222
õː	u	0.222
d	̌_d	0.211
o	a	0.2
ŭ	iː	0.182
i	-	0.167
ˀ	e_̂	0.158
ˀ	-	0.158
ĭ	a	0.156
̂	eː_̂	0.14
̌	̌	0.138
e	-	0.129
ɡ	-	0.125
n	a_n	0.125
o	r_a	0.1
o	oː	0.1
o	o_̂	0.1
e	eː	0.097
r	r̩_̂	0.095
̂	-	0.07
k	-	0.067
ĭ	uː	0.062
ĭ	u	0.062
ĭ	r̩	0.062
