Northern Low Saxon	West Flemish	probability
aɪ̯	iə̯	1.0
b	b	0.728
b	p	0.262
d	t	0.592
d	d	0.369
f	v	0.761
f	f	0.191
h	-	0.891
h	z	0.109
i	ə	1.0
j	j	1.0
k	k	1.0
kʰ	k	0.987
l	l	0.71
l	w	0.237
l	-	0.053
m	m	0.666
m	v	0.123
m	ɾ_m	0.106
n	n	0.947
p	p	1.0
r	ɾ	1.0
s	s	0.749
s	z	0.251
t	t	1.0
tʰ	t	1.0
v	ʋ	0.983
x	h	0.955
z	z	0.975
ç	h	0.402
ç	ɦ	0.214
ç	k	0.123
ç	ŋ	0.096
ç	-	0.093
ç	ç	0.072
ŋ	ŋ	0.702
ŋ	ɦ_n	0.298
ɐ	ɾ	0.834
ɐ	ə_ɾ	0.111
ɐ	-	0.056
ə	ʋ	1.0
ɡ	k	0.521
ɡ	ɦ	0.479
ɪ	m	0.387
ɪ	ɪ	0.387
ɪ	ə	0.227
ʃ	s	0.525
ʃ	ʃ	0.408
ʃ	z	0.067
ʒ	j	0.611
ʒ	ɦ	0.389
ˈa	ˈɑ	0.939
ˈaɪ̯	ˈiə̯	0.575
ˈaɪ̯	ˈɛː	0.362
ˈaɪ̯	ˈeː	0.062
ˈaʊ̯	ˈoː	0.454
ˈaʊ̯	ˈuə̯	0.371
ˈaʊ̯	ˈeː	0.086
ˈaʊ̯	ˈu	0.054
ˈaː	ˈɑ	0.435
ˈaː	ˈæ	0.409
ˈaː	ˈɒː	0.08
ˈaː	w	0.077
ˈeɪ̯	ˈeː	0.743
ˈeɪ̯	ˈɛː	0.257
ˈeː	ˈeː	0.693
ˈeː	ˈɑ	0.168
ˈeː	ˈɒː	0.092
ˈiː	ˈi	0.765
ˈiː	ˈiə̯	0.146
ˈoː	ˈɒː	0.819
ˈoː	ˈoː	0.146
ˈuː	ˈyː	0.627
ˈuː	ˈu	0.263
ˈuː	ˈoː	0.07
ˈyː	ˈiə̯	0.81
ˈyː	ˈyː	0.19
ˈø	ˈæ	0.714
ˈø	ˈɛ	0.286
ˈøː	ˈøː	0.697
ˈøː	ˈeː	0.218
ˈøː	ˈoː	0.085
ˈœ	ˈæ	0.721
ˈœ	ˈɔ	0.279
ˈœː	ˈæ	1.0
ˈɔ	ˈɔ	0.81
ˈɔ	ˈu	0.108
ˈɔ	ˈoː	0.082
ˈɔʏ̯	ˈoː	0.516
ˈɔʏ̯	ˈuə̯	0.484
ˈɛ	ˈæ	0.505
ˈɛ	ˈɛ	0.421
ˈɛ	ˈeː	0.073
ˈɛɪ̯	ˈæ	0.385
ˈɛɪ̯	ˈɒː	0.385
ˈɛɪ̯	ˈɛː	0.23
ˈɛː	ˈi	1.0
ˈɪ	ˈɪ	0.747
ˈɪ	ˈɛ	0.114
ˈɪ	ˈiə̯	0.069
ˈʊ	ˈu	0.755
ˈʊ	ˈœ	0.145
ˈʊ	ˈoː	0.067
ˈʏ	ˈɪ	0.2
ˈʏ	ˈiə̯	0.197
ˈʏ	ˈœ	0.193
ˈʏ	ˈi	0.135
ˈʏ	ˈɛː	0.135
ˈʏ	ˈɔ	0.087
ˈʏ	ˈæ	0.052
