Luxembourgish	Old High German	probability
ˈɛː	ˈɛ	1.0
ˈɛ	ˈɛ	1.0
ˈɔ	ˈu	1.0
ˈɑʊ̯	ˈuː	1.0
ˈæːʊ̯	ˈuː	1.0
ˈæːɪ̯	ˈiː	1.0
ˈæ	ˈɑ	1.0
ˈuː	ˈu	1.0
ˈiə̯	ˈɛ	1.0
ˈeː	ˈei̯	1.0
ʑ	eː	1.0
ʃ_l	s_l	1.0
ɣ̊	ɡ	1.0
ɡ̊	ɡ	1.0
ə_n	n	1.0
ə_f	f	1.0
z	s	1.0
w	w	1.0
tʰ	t	1.0
pʰ	p͡f	1.0
p	p	1.0
kʰ	kʰ	1.0
j	j	1.0
h	h	1.0
d̥	t	1.0
b	b	1.0
m	m	0.981
f	f	0.961
ʀ	r	0.954
t	t	0.933
n	n	0.895
l	l	0.878
ʦ	ʦ	0.863
d	d	0.85
ˈoː	ˈɑː	0.798
v	w	0.774
ɕ	x	0.717
χ	x	0.695
ˈuə̯	ˈɑ	0.667
ʃ	s	0.641
s	s̻	0.617
k	kː	0.584
ɐ	r	0.571
ˈə	ˈi	0.53
ˈo	ˈu	0.526
ˈɑ	ˈi	0.518
z̥	s_i	0.5
z̥	s	0.5
ˈi	ˈu	0.488
ˈaː	ˈɑ	0.487
ˈɑ	ˈɑ	0.482
ˈo	ˈo	0.474
ˈəʊ̯	ˈoː	0.467
ə	ɑ	0.462
ˈu	ˈuo̯	0.453
ˈiː	ˈi	0.419
ŋ	ŋ	0.415
ˈə	ˈu	0.389
ˈe	ˈi	0.385
ʃ	s_k	0.359
ˈɜɪ̯	ˈio̯	0.351
ˈuə̯	-	0.333
ˈɑɪ̯	-	0.329
s	s̻ː	0.323
ˈɑɪ̯	ˈiu̯	0.312
ˈe	-	0.309
ˈe	ˈu	0.306
χ	xː_ɑ	0.305
ˈəʊ̯	ˈɑː	0.3
ŋ	ŋ_ɡ	0.294
ŋ	n	0.291
ˈɑɪ̯	i	0.261
ˈi	ˈuo̯	0.256
ˈi	-	0.256
ɕ	xː	0.256
ˈiː	ˈɛ	0.25
ˈəʊ̯	ˈuo̯	0.233
ɐ	ɑ_r	0.23
k	-	0.229
ˈu	ˈɑ	0.216
ə	e	0.208
v	b	0.204
ˈoː	ˈɑ	0.202
ˈaː	ˈou̯	0.202
k	k	0.188
ˈɜɪ̯	ˈeː	0.175
ˈɜɪ̯	ˈoː	0.173
ˈiː	ˈe	0.169
ˈu	ˈo	0.165
ˈu	-	0.165
ˈiː	-	0.161
d	t	0.15
ˈaː	ˈɑ_r	0.149
ɐ	r_i	0.146
ˈaː	ˈo	0.14
ʦ	ʦː	0.137
ˈɜɪ̯	ˈio̯_ɡ	0.131
ˈɑɪ̯	ˈie̯	0.098
ˈɜɪ̯	ˈuo̯	0.085
ˈɜɪ̯	ˈɑː	0.084
ˈə	ˈɛ	0.081
ə	u	0.076
ə	-	0.076
t	t_ɛ	0.067
l	l_t	0.064
s	-	0.06
l	lː	0.058
n	nː	0.057
ə	ɡ	0.054
ɐ	r_o	0.052
