Alsatian	Old English	probability
ˈɛ	ˈɛ	1.0
ˈɒː_x	ç	1.0
ˈɒ_n	ˈoː	1.0
ˈøi̯	ˈuː	1.0
ˈø	ˈu	1.0
ˈyː	ˈuː	1.0
ˈaː	-	1.0
ˈai̯	ˈiːy̯	1.0
ʃ_w	s_w	1.0
ʁ_n	r_n	1.0
ŋ	ŋ_ɡ	1.0
t_ʁ	d_r	1.0
p͡f	pː	1.0
p	p	1.0
n_ʃ	ʃː	1.0
h	h	1.0
eː	iːy̯	1.0
e	-	1.0
m	m	0.953
ʁ	r	0.91
b̥	b	0.887
ʦ	t	0.87
t	d	0.85
ˈəi̯	ˈɑː	0.842
f	f	0.815
x	x	0.78
ɡ̊	ɡ	0.76
n	n	0.759
ʋ	w	0.696
ˈu	ˈu	0.691
ʃ	ʃ	0.69
ʃ_t	s_t	0.676
ˈo	ˈo	0.635
ˈi	ˈi	0.621
ˈæː	ˈe	0.616
j	j	0.612
ˈʊː	ˈoː	0.593
ˈæ	ˈe	0.576
s	s	0.575
kʰ	k	0.56
ˈɒ	ˈɑ	0.533
d̥	d	0.527
ˈei̯	-	0.526
ˈoː	ˈæːɑ̯	0.501
k	ʤ	0.5
ˈeː	ˈiːy̯	0.49
ˈei̯	ˈeːo̯	0.474
kʰ	ʧ	0.44
l	l	0.425
ˈæ	-	0.424
ˈe	ˈe	0.412
l	ɫ	0.404
k	k	0.398
ə	ɑ_n	0.392
d̥	θ	0.391
j	ɣ	0.388
ˈæː	-	0.384
i	i_j	0.375
i	-	0.375
ˈo	ˈu	0.365
ˈɒː	ˈæ	0.352
ˈɒː	-	0.333
s	t	0.332
ʃ_t	t	0.324
ˈɒː	ˈæɑ̯	0.315
ʃ	s	0.31
ˈɒ	ˈæɑ̯	0.297
ˈʊː	ˈæːɑ̯	0.288
ˈiː	ˈeːo̯	0.288
ˈoː	-	0.286
ˈeː	-	0.281
ə	e	0.277
ˈe	-	0.267
ˈu	ˈy	0.257
i	i	0.25
ɡ̊	j	0.24
ˈeː	ˈɑː	0.228
ə	o	0.224
x	xː	0.22
ˈiː	ˈeː	0.213
ˈoː	ˈæː	0.212
ˈiː	ˈi	0.207
ʋ	-	0.204
ˈiː	ˈiː	0.187
ˈe	ˈeo̯	0.187
f	p	0.185
ˈi	-	0.173
ˈɒ	ˈæ	0.169
ˈi	ˈeːo̯	0.164
ˈəi̯	ˈæː	0.158
t	t	0.15
ˈe	ˈi	0.134
ʦ	tː	0.13
ˈʊː	ˈeː	0.12
b̥	v	0.113
ˈiː	ˈyː	0.105
k	ʧː	0.102
ʋ	h_w	0.1
s	z	0.093
ʁ	-	0.09
d̥	ð	0.082
n	n_e	0.081
ə	n	0.072
n	nː	0.07
n	-	0.065
ˈu	-	0.052
