Gan	Gan	probability
ʨʰ_ɥ	ʦ	1.0
ɵ_t̚	ʔ	1.0
ɵ_n	ŋ̍	1.0
ɵ	w	1.0
ɨ_j	e	1.0
ɥ	e	1.0
ɛ_w	o	1.0
ɔ_ŋ	ŋ̍	1.0
³⁵_#>	¹¹_#>	1.0
²	⁴	1.0
y	u	1.0
w_o	ɤ	1.0
t	t	1.0
p	p	1.0
l	l	1.0
kʰ	kʰ	1.0
k	k	1.0
j_u	a	1.0
e	u	1.0
a_ŋ	ã	1.0
a_w	a_w	1.0
<#_ɵ	<#_l_i	1.0
<#_ŋ	<#	1.0
<#_w	<#	1.0
<#_s	<#	1.0
<#_i	<#_i	1.0
³⁵	²⁴	0.957
⁴²	⁴⁴	0.938
¹¹	³³	0.923
²⁴	²⁴	0.923
ŋ	ŋ	0.857
²¹³	⁵³	0.839
w	w	0.833
i	i	0.818
j	j	0.762
o	-	0.75
ʨ	k	0.714
m	b	0.714
⁵	³²	0.7
z̩	i	0.667
h	h	0.667
ɛ	a	0.636
tʰ	tʰ	0.625
ʨʰ	k	0.6
ʦʰ	ʦʰ	0.6
ɨ	u	0.6
nʲ	l	0.6
f	h	0.545
ʔ	ʔ	0.5
ʔ	k̚	0.5
ɕ	ɕ	0.5
ɕ	s	0.5
ɔ	o	0.5
pʰ	pʰ	0.5
pʰ	p	0.5
<#	<#_h	0.444
ʦ	ʦ	0.429
t̚	t̚	0.417
ʨʰ	-	0.4
ɨ	i	0.4
nʲ	ɡ	0.4
tʰ	t	0.375
n	n	0.364
ɔ	ɔ	0.333
z̩	a_j	0.333
u	ɔ	0.333
t̚	k̚	0.333
s	ʨ	0.333
h	-	0.333
<#	<#_ɡ	0.333
a	e	0.308
ʨ	-	0.286
ʦ	ʨ	0.286
ʦ	t	0.286
m	m	0.286
u	u	0.278
n	ã	0.273
f	p	0.273
a	a	0.269
⁵	⁴	0.25
t̚	ʔ	0.25
o	ɔ̃	0.25
u	a	0.222
s	ʦ	0.222
s	ɕ_j	0.222
s	ɕ	0.222
<#	<#_k	0.222
ʦʰ	t	0.2
ʦʰ	-	0.2
j	-	0.19
ɛ	ɪ	0.182
ɛ	-	0.182
n	ŋ̍	0.182
n	m	0.182
i	w_e	0.182
f	-	0.182
ɔ	w̃	0.167
w	-	0.167
u	ɪ	0.167
²¹³	¹¹	0.161
ŋ	-	0.143
a	w	0.115
a	j	0.115
a	-	0.115
¹¹	²²	0.077
²⁴	⁵⁵	0.077
a	w_a	0.077
⁴²	³³	0.062
