Westphalian	Westphalian	probability
ˈɛː	ɾ	1.0
ˈɔ_l	ˈɑu̯	1.0
ˈɔ	ˈɔ	1.0
ˈɒː	ˈɛː	1.0
ˈœː	-	1.0
ˈøː	ˈuː	1.0
ˈyːœ̯	ˈoː	1.0
ˈyə̯	ˈʏ	1.0
ˈuː	ˈyː	1.0
ˈiɛ̯	-	1.0
ʃ_k_#>	s_#>	1.0
ɣ	x	1.0
ŋ	ŋ	1.0
ç_#>	x_#>	1.0
ç	x	1.0
z̥	z̥	1.0
x	x	1.0
v̥	v̥	1.0
t	t	1.0
p	p	1.0
n_n	n_ə	1.0
n_#>	#>	1.0
j	j	1.0
f	v	1.0
b	b	1.0
aɪ̯	iː	1.0
<#_ˈʊ	<#_ˈɔ	1.0
<#_r	<#_ɾ	1.0
<#_n	<#_n	1.0
<#_h	<#	1.0
l	ɫ	0.973
d̥	d̥	0.923
d	d	0.923
m	m	0.913
ˈaɪ̯	ˈiː	0.9
r	ɾ	0.875
k	k	0.875
ˈɔː	ˈɛː	0.857
ˈa	ˈɑ	0.792
ˈɛ	ˈæ	0.778
ˈaʊ̯	ˈʊə̯	0.769
#>	ə_#>	0.759
s	z	0.75
ʋ	ʋ	0.714
ə	ə	0.714
ˈeː	ˈɪə̯	0.667
ɡ	x	0.667
ˈiː	ˈi	0.643
ˈɪ	ˈɪ	0.636
v	ʋ	0.615
ˈɪə̯	ˈeː	0.6
ˈyː	ˈiː	0.6
ˈuːə̯	ˈɔ	0.6
ˈaː	ˈɛː	0.6
z	z	0.6
ʃ	s	0.588
ˈoː	-	0.571
n	n	0.554
ˈʏ	ˈʏ	0.5
ˈʏ	-	0.5
ˈuə̯	ˈøː	0.5
ˈuə̯	-	0.5
ɪ	ɪ	0.5
ɪ	i	0.5
ˈoː	ˈuː	0.429
ɐ	ə_ɾ	0.429
ˈɪɛ̯	ˈeː	0.4
ˈɪə̯	-	0.4
ˈyː	-	0.4
ˈuːə̯	ˈʏ_ɾ	0.4
ˈaː	-	0.4
ɐ	ɾ	0.4
z	z_ə	0.4
ˈʊ	ˈɔ	0.385
n	ə	0.338
ˈeː	ˈæi̯	0.333
ɡ	x_ə	0.333
ˈɪɛ̯	ˈæ	0.3
ˈɪɛ̯	-	0.3
ʃ	s_x	0.294
ʋ	ə_v̥	0.286
ə	-	0.286
ˈɪ	ˈi	0.273
s	s	0.25
ˈʊ	ˈyː	0.231
ˈʊ	ˈu	0.231
ˈaʊ̯	-	0.231
ˈɛ	ˈɑ	0.222
ˈiː	ˈiː	0.214
ˈʊ	ˈʏ	0.154
ˈɔː	-	0.143
ˈiː	ˈyː	0.143
ˈa	-	0.125
r	ˈɔ	0.125
k	k_ə	0.125
ʃ	-	0.118
v	v̥	0.115
v	v	0.115
n	n_d	0.108
#>	t_#>	0.103
ˈaɪ̯	ˈiːə̯	0.1
ˈɪ	-	0.091
m	ə	0.087
ɐ	ɾ_ə	0.086
ɐ	ə	0.086
ˈa	ˈɒː	0.083
v	v_ə	0.077
v	-	0.077
d̥	-	0.077
d	-	0.077
#>	v̥_#>	0.069
#>	k_#>	0.069
