Swedish	Swedish	probability
ˈʊ	ˈʊ	1.0
ˈɪ	ˈɪ	1.0
ˈœː	-	1.0
ˈøː_#>	ˈeː_#>	1.0
ʊ	-	1.0
ʈ	t	1.0
ʂ	ɐ_s	1.0
ɵ	-	1.0
ɪ	ɪ	1.0
ɡː	k	1.0
ɡ_#>	ɡ̊_#>	1.0
ɛ_r	ɐ	1.0
ɛ_#>	#>	1.0
ɛ	-	1.0
ɖ	ɐ_t	1.0
ɕ	d	1.0
ɔ	eː	1.0
ŋː	ŋ	1.0
ŋ	-	1.0
v_ɛ	b	1.0
v_#>	b̥_#>	1.0
tʰ_ˈoː	ʦ	1.0
s_t	s_t	1.0
s_k	ʃ	1.0
s_#>	z̥_#>	1.0
rː	-	1.0
r_ˈœ	ʁ	1.0
r_a	ɐ	1.0
pː	f	1.0
pʰ	p͡f	1.0
p	f	1.0
n_d	n_d	1.0
n_#>	#>	1.0
mː	m	1.0
m	m	1.0
lː	l	1.0
l	l	1.0
kʰ	kʰ	1.0
jː	ˈaː_ɡ	1.0
h	h	1.0
f	f	1.0
d_a	t_n	1.0
b	b	1.0
<#_r	<#_ʁ	1.0
<#_n	<#_n	1.0
n	n	0.931
ˈa	ˈa	0.913
ɡ	ɡ	0.833
ˈeː	ˈaɪ̯	0.818
v	v	0.759
ˈuː	ˈuː	0.75
nː	n	0.75
ˈœ	-	0.667
ˈiː	ˈaɪ̯	0.667
<#	<#_v	0.667
t	s	0.65
ˈɔ	ˈɔ	0.6
ɳ	ɐ_n	0.6
ˈoː	ˈaː	0.583
ˈʏ	ˈʏ	0.571
<#_j	<#	0.571
tʰ	d	0.562
ɧ	ʃ	0.538
r	ɐ	0.512
ˈɑː	ˈaː	0.5
ˈɑː	ˈa	0.5
ˈæː	ˈeː	0.5
ˈæː	-	0.5
ˈyː	ˈɔʏ̯	0.5
ˈyː	ˈiː	0.5
kː	ŋ_k	0.5
kː	-	0.5
#>	ɐ_#>	0.5
#>	b_n_#>	0.5
s	z	0.483
ˈɛ	ˈɛ	0.478
ɧ	z	0.462
a	n	0.453
s	ʃ	0.448
ˈɛː	-	0.444
r	ʁ	0.439
tʰ	ʦ	0.438
k	ç	0.438
ˈʏ	-	0.429
<#_j	<#_l	0.429
ˈʉː	ˈaʊ̯	0.417
ˈoː	ˈoː	0.417
ˈɔ	-	0.4
ɳ	ɐ	0.4
j	ɡ	0.375
j	-	0.375
t	t	0.35
d	t	0.35
ˈɛː	ˈeː	0.333
ˈœ	ˈʊ	0.333
<#	<#_j	0.333
ˈɵ	ˈʊ	0.312
k	x	0.312
a	ə	0.302
d	tʰ	0.3
d	d̥	0.275
tː	ʦ	0.273
tː	x_t	0.273
tː	s	0.273
ˈøː	ˈoː	0.263
ˈɛ	ˈaɪ̯	0.261
ˈʉː	ˈiː	0.25
ˈʉː	-	0.25
ˈɵ	-	0.25
ˈuː	ˈɔ	0.25
nː	n_d	0.25
k	k	0.25
j	ɡ̊	0.25
ˈɛː	ˈaː	0.222
ˈøː	ˈaʊ̯	0.211
ˈiː	n	0.2
ˈɵ	ˈɔ	0.188
ˈeː	-	0.182
tː	ç_t	0.182
ˈɛ	-	0.174
ɡ	ç	0.167
ˈøː	ˈyː	0.158
ˈøː	-	0.158
a	ə_n	0.151
v	f	0.138
ˈiː	ˈiː_ɐ	0.133
ˈɵ	ˈaʊ̯	0.125
ˈɵ	v_ˈɔ	0.125
ˈøː	ˈøː	0.105
ˈøː	ˈuː	0.105
v	b	0.103
ˈɛ	ˈa	0.087
ˈa	ˈaː	0.087
ˈʉː	tʰ_ˈiː	0.083
d	d	0.075
a	-	0.075
s	t	0.069
n	n_d̥	0.069
