Old High German	American English	probability
ˈɛ_ɡ	ˈeɪ̯	1.0
ˈɛ_l	ˈɛ_ɫ	1.0
ˈɑ_ɡ	ˈeɪ̯	1.0
ˈɑ_x	ˈʌɪ̯	1.0
ˈɑ_n	ˈu	1.0
ˈɑ_l	ˈæ	1.0
ˈu_r	ˈɝ	1.0
ˈou̯	ˈi	1.0
ˈiu̯_w	ˈu	1.0
ˈiu̯	-	1.0
ˈio̯_ɡ	ˈaɪ̯	1.0
ˈie̯	ˈi	1.0
ˈi_n	ˈɪ_n	1.0
ˈeː	ˈoʊ̯	1.0
ʦː	ʔ	1.0
ɛ	ɚ	1.0
ə	-	1.0
ɑ_ɡ	i	1.0
ɑ_r	ɚ	1.0
ɑ_l	ɫ	1.0
ŋ_ɡ	ŋ	1.0
ŋ	ŋ	1.0
x_t	ʔ	1.0
w_ˈɑ	w_ˈɔ	1.0
tː	d	1.0
s̻	ʔ	1.0
s_ɑ	z	1.0
s_k	ʃ	1.0
r_o	ɚ	1.0
r_n	ɹ_n	1.0
p͡f	pʰ	1.0
p	p	1.0
oː	-	1.0
ou̯	ˈi	1.0
o	-	1.0
nː	n	1.0
mː	m	1.0
m_ˈɑː	m	1.0
m	m	1.0
lː	ɫ	1.0
l_ɑ	ɫ	1.0
kʰ_n	n	1.0
k	k	1.0
j	j	1.0
i	-	1.0
h_ɑ	ˈi	1.0
fː	p	1.0
f_ɑ	p	1.0
eː	-	1.0
e	-	1.0
d_ɑ	d	1.0
b_ɑ	v	1.0
s	s	0.96
ɑ	-	0.927
u	-	0.892
w	w	0.887
b	b	0.828
h	h	0.8
ʦ	tʰ	0.797
r	ɹ	0.782
kʰ	kʰ	0.743
ˈe	ˈɛ	0.742
d	θ	0.742
f	f	0.733
ˈei̯	ˈoʊ̯	0.715
ˈɑː	ˈi	0.709
ɡ	-	0.688
ˈuː	ˈaʊ̯	0.647
x	k	0.647
l	ɫ	0.644
n	-	0.581
s̻ː	ɾ	0.573
t	d	0.564
ˈio̯	ˈi	0.541
xː	k	0.522
ˈu	ˈʌ	0.491
ˈoː	ˈi	0.485
xː	ʧ	0.478
ˈi	ˈɪ	0.458
kː	ʤ	0.436
ˈiː	ˈaɪ̯	0.432
s̻ː	ʔ	0.427
n	n	0.419
ˈɛ	-	0.387
ˈuo̯	ˈi	0.368
l	l	0.356
x	ˈʌɪ̯	0.353
kː	k	0.346
ˈoː	ˈɛ	0.343
ˈo	ˈɔ	0.321
ˈiː	ˈʌɪ̯	0.317
ɡ	ɡ	0.312
ˈɛ	ˈɛ	0.292
ˈɑː	ˈɛ	0.291
ˈi	ˈaɪ̯	0.287
ˈei̯	-	0.285
ˈɑ	ˈɑ	0.265
ˈio̯	-	0.259
ˈe	-	0.258
kʰ	ʧ	0.257
t	t	0.246
ˈɑ	ˈeɪ̯	0.242
ˈu	ˈɪ	0.241
ˈuː	ˈʌ	0.23
ˈo	-	0.227
kː	-	0.218
ˈɑ	ˈɛə̯	0.212
ˈuo̯	ˈu	0.209
ʦ	ʔ	0.203
ˈio̯	ˈɪ	0.2
h	-	0.2
ˈi	ˈi	0.182
f	p	0.181
ˈo	ˈʌ	0.179
d	ð	0.177
ˈoː	-	0.172
b	v	0.172
ˈɛ	ˈɑ	0.164
ˈuo̯	ˈʌ	0.159
ˈuo̯	ˈʊ	0.159
ˈu	ˈɔ	0.158
ˈɛ	ˈɪ	0.157
ˈɑ	ˈæ	0.157
ˈo	ˈɑ	0.156
ˈiː	ˈɪ	0.128
ˈuː	ˈaɪ̯	0.123
ˈiː	ˈi	0.123
ˈo	ˈʊ	0.117
w	-	0.113
ˈu	-	0.11
u	ɪ	0.108
ˈuo̯	ˈaʊ̯	0.105
t	ʔ	0.104
r	ɚ	0.092
r	ˈi_ɚ	0.091
t	ð	0.086
f	v	0.086
d	d	0.081
ˈi	-	0.073
ɑ	ə	0.073
ˈɑ	ˈɛ	0.063
ˈɑ	ˈoʊ̯	0.061
