French	Catalan	probability
k	k	1.0
ə	ə	1.0
f	-	0.131
i	ˈi_t	0.091
i	i	0.101
p	p	0.901
s	s	0.751
w	ˈɔ	0.1
w	-	0.321
ɔ̃	ˈɔ_n	0.311
ɛ̃	ŋ	0.101
ʁ	ɾ_ə	0.371
a	ə	0.542
b	β	0.192
e	ə	0.122
i	ˈi	0.602
m	m	0.782
z	-	0.652
ɑ̃	ə	0.162
ɑ̃	ˈe	0.292
ɲ	ɲ	0.802
ʁ	ɾ	0.2
ʁ	r	0.362
e	w	0.123
l	l	0.493
ɑ̃	ˈa	0.203
ɔ	u	0.383
ɛ	ə	0.113
ɛ	ˈe	0.123
ɡ	ɣ	0.33
ɥ	ˈu	0.913
ʃ	k_ə	0.323
a	w	0.194
a	ˈa	0.224
i	ˈe	0.114
j	ʎ_ə	0.214
j	-	0.294
s	-	0.134
v	b	0.684
ɔ̃	ˈɔ	0.064
ɛ	ˈa	0.374
ɛ̃	ˈi	0.234
e	ə_s	0.145
j	ˈe	0.245
l	ʎ_ə	0.105
n	n_ə	0.425
u	ˈɔ	0.205
ø	-	0.135
ø	ˈɔ_k	0.865
ɑ̃	ˈa_n	0.225
ʒ	ʒ	0.785
d	d	0.886
l	l_ə	0.076
n	n	0.56
s	s_ə	0.056
v	β	0.316
œ	ˈu	0.126
ɛ	ˈɛ	0.366
ɡ	ɡ	0.656
b	b	0.757
e	ˈa	0.477
o	ˈɔ	0.167
o	ˈe_ʎ	0.377
t	t	0.847
u	ˈo	0.337
œ	ˈɔ	0.827
ɑ̃	ˈɛ_n	0.087
ɔ	ˈɔ	0.617
ɔ̃	ˈo	0.597
ɛ̃	ɲ	0.077
ɛ̃	ˈa	0.47
ɥ	-	0.087
ʃ	k	0.677
d	ð	0.068
j	ʎ	0.248
l	ʎ	0.318
m	m_ə	0.218
o	ˈɔ_s	0.168
o	ˈa_l	0.288
t	t_ə	0.108
u	ˈo_t	0.138
u	u	0.28
y	ˈo	0.178
z	z	0.348
ɛ̃	ˈu	0.118
ɲ	ɲ_ə	0.198
ʒ	-	0.198
e	ˈa_t	0.089
f	f	0.869
p	s_p	0.069
s	ʃ	0.059
w	ˈɛ	0.579
y	ˈu	0.79
