Belarusian	Russian	probability
b	b	1.0
bʲ	bʲ	1.0
d	d	1.0
e	ɪ	1.0
i	ɪ_j	1.0
j	j	1.0
k	k	1.0
kʲ	kʲ	1.0
lʲ	lʲ	1.0
mʲ	mʲ	1.0
n	n	1.0
nʲ	nʲ	1.0
pʲ	pʲ	1.0
s	s	1.0
sʲ	sʲ	1.0
t	t	1.0
u	ʊ	1.0
v	v	1.0
vʲ	vʲ	1.0
z	z	1.0
æ	ɪ	1.0
ɣ	ɡ	1.0
ɫ	ɫ	1.0
ʂ	ʂ	1.0
ʌ	ə	1.0
ʐ	ʐ	1.0
ʣʲ	dʲ	1.0
ʦ	ʦ	1.0
ʦʲ	tʲ	1.0
ʧ	ʨ	1.0
ˈa	ˈa	1.0
ˈe	ˈe	1.0
ˈi	ˈi	1.0
ˈo	ˈo	1.0
ˈu	ˈu	1.0
ˈɨ	ˈɨ	1.0
ˈɵ	ˈɵ	1.0
a	ə	0.51
zʲ	z	0.181
ɨ	ɨ	0.051
a	ɐ	0.382
r	rʲ	0.292
ˈæ	ˈæ	0.062
m	m	0.783
x	k	0.33
p	p	0.804
w	-	0.344
ˈɛ	ˈɛ	0.594
p	pʲ	0.196
w	ɫ	0.656
ɨ	ɨ_j	0.906
ˈɛ	ˈe	0.406
m	mʲ	0.217
x	x	0.67
a	ɪ	0.108
r	r	0.668
ˈæ	ˈa	0.938
zʲ	zʲ	0.819
