Occitan	Catalan	probability
#>	n_#>	1.0
<#_a	<#_ə	1.0
<#_b	<#_b	1.0
<#_d	<#_d	1.0
<#_e	<#_ə	1.0
<#_f	<#_f	1.0
<#_k	<#_k	1.0
<#_l	<#_ʎ	1.0
<#_m	<#_m	1.0
<#_n	<#_n	1.0
<#_p	<#_p	1.0
<#_r	<#_r	1.0
<#_s	<#_s	1.0
<#_t	<#_t	1.0
<#_u	<#_u	1.0
<#_v	<#_b	1.0
<#_ɡ	<#_ɡ	1.0
<#_ʤ	<#_ʒ	1.0
<#_ˈa	<#_ˈa	1.0
<#_ˈe	<#_ˈe	1.0
<#_ˈy	<#_ˈu	1.0
<#_ˈɔ	<#_ˈɔ	1.0
a	ə	1.0
a_l	ə_l	1.0
a_m	ə_m	1.0
a_s	ə_s	1.0
a_w	u	1.0
a_z	ə	1.0
a_ð	ə_ð	1.0
a_ɾ	ə_ɾ	1.0
a_β	ə_β	1.0
b	b	1.0
d_ɾ	d_ɾ	1.0
e_#>	ə_#>	1.0
e_n	ə_n	1.0
e_r	ə_r	1.0
e_ɣ	ə_ɣ	1.0
i	i	1.0
j_#>	j_#>	1.0
j_r	w_ɾ	1.0
j_s	ʃ	1.0
k_#>	k_#>	1.0
k_ɔ	k_ə	1.0
l	l	1.0
l_ˈa	l_ˈa	1.0
m	m	1.0
m_#>	m_#>	1.0
m_ɔ	m_ə	1.0
n_#>	n_#>	1.0
n_ɔ	n_ə	1.0
p_#>	p_#>	1.0
r	r	1.0
r_#>	r_#>	1.0
s	s	1.0
s_#>	s_#>	1.0
s_k	s_k	1.0
s_p	s_p	1.0
s_t	s_t	1.0
t	t	1.0
t_#>	t	1.0
t_ɔ	t_ə	1.0
t_ɾ	t_ɾ	1.0
t_ˈa	t_ˈa	1.0
u_l	u_l	1.0
u_s	u_s	1.0
u_ɾ	u_ɾ	1.0
v	β	1.0
w	w	1.0
w_#>	w_#>	1.0
w_t	l_t	1.0
ð	ð	1.0
ð_ɔ	ð_ə	1.0
ŋ_k	ŋ	1.0
ŋ_ɡ	ŋ_ɡ	1.0
ɔ_#>	ə	1.0
ɣ	ɣ	1.0
ɥ	-	1.0
ɥ_ˈɔ	ˈɔ	1.0
ɥ_ˈɛ	ˈu	1.0
ɲ_#>	ɲ_#>	1.0
ɲ_ɔ	ɲ_ə	1.0
ɾ_e	ɾ_ə	1.0
ɾ_ˈa	ɾ_ˈa	1.0
ɾ_ˈe	ɾ_ˈɛ	1.0
ʎ	ʎ	1.0
ʎ_ɔ	ʎ_ə	1.0
ʤ	ʒ	1.0
ʤ_e	ʤ_ə	1.0
ʦ_#>	w	1.0
ʧ	ʧ	1.0
ʧ_#>	t_#>	1.0
ˈa_#>	ˈa_#>	1.0
ˈa_l	ˈa_l	1.0
ˈa_m	ˈa_m	1.0
ˈa_n	ˈa_n	1.0
ˈa_w	ˈɔ	1.0
ˈe_#>	ˈɛ_#>	1.0
ˈi	ˈi	1.0
ˈi_#>	ˈi_#>	1.0
ˈi_l	ˈi_l	1.0
ˈi_n	ˈi_n	1.0
ˈi_w	ˈi_w	1.0
ˈu_n	ˈɔ_n	1.0
ˈu_ʦ	ˈɛ_w	1.0
ˈy_#>	ˈu_#>	1.0
ˈɔ	ˈɔ	1.0
ˈɔ_s	ˈɔ_s	1.0
ˈɛ_#>	ˈe_#>	1.0
ˈɛ_r	ˈɛ_r	1.0
ˈɛ_s	ˈe_s	1.0
l_#>	ʎ_#>	0.562
ˈu	ˈu	0.222
ˈu_#>	ˈɔ_#>	0.222
j_ˈɛ	ˈe	0.333
n	ɲ	0.3
z	-	0.333
ˈe	ˈe	0.423
ˈu	ˈo	0.63
ˈy	ˈo	0.133
β	-	0.143
j	j	0.444
l_ɔ	ʎ_ə	0.4
u	-	0.154
ˈɛ	ˈɛ	0.414
e	i	0.235
ɾ	-	0.065
ɾ	ɾ	0.935
ˈa	ˈa	0.95
j	-	0.556
l_ɔ	l_ə	0.6
u	u	0.846
ˈɛ	ˈe	0.586
j_ˈɛ	ˈi	0.667
n	n	0.7
z	z	0.667
ˈe	ˈɛ	0.577
ˈy	ˈu	0.867
β	β	0.857
e	u	0.118
e	-	0.118
l_#>	l_#>	0.438
ˈu	ˈɔ	0.148
ˈu_#>	ˈo_#>	0.778
e	ə	0.529
