Aragonese	Walloon	probability
ˈu_ɾ	ʀ	1.0
ˈu_n	ˈɔ̃	1.0
ˈo_n	ˈɔ̃	1.0
ˈi_ɾ	ˈi	1.0
ˈi_n	ˈẽ	1.0
ˈe_ɾ	ˈa	1.0
ˈe_ɣ	ˈøː	1.0
ˈa_ɾ	ˈe	1.0
ˈa_ð	ˈɛː	1.0
ˈa_n	ˈɑ̃	1.0
ˈa_l	ˈɔː	1.0
ˈa_j	ˈɛ_ʀ	1.0
ʧ_e	ɲː	1.0
ʧ	ʤ	1.0
ʝ	-	1.0
ʎ_a	j	1.0
ʃ	ʃ	1.0
ɾ_t	ʀ	1.0
ŋ	-	1.0
ð_o	ˈɛ	1.0
ð_a	j	1.0
ð	-	1.0
z	-	1.0
w_ˈa	w_ˈa	1.0
t_ɾ	t	1.0
s_t	s	1.0
s_k	ʃ	1.0
o_n	ɔ̃	1.0
n_a	n	1.0
k_ˈa	ʧ	1.0
j_ʃ	ʃ	1.0
i_ŋ	ẽ	1.0
f_ɾ	f_ʀ	1.0
f	f	1.0
e_s	s	1.0
b_w	b	1.0
b_e	v	1.0
a_ð	ɛː	1.0
d	d	0.906
m	m	0.84
p	p	0.821
ɾ	ʀ	0.777
k_a	ʧ	0.768
ɲ	ɲ	0.731
w_ˈe	ˈuː	0.709
ˈe_n	ˈɛ̃	0.666
t	t	0.64
l	l	0.599
u	ɔ	0.589
ɣ	-	0.561
k	k	0.55
ɡ	k	0.543
ʎ	j	0.527
s	s	0.525
o	-	0.524
b	v	0.516
β	f	0.513
j_ˈe	ˈiː	0.5
j_ˈe	j	0.5
w	-	0.488
ʎ	-	0.473
e	-	0.471
ˈi	ˈɛ	0.465
i	ɛ	0.462
j	-	0.46
ɡ	ɡ	0.457
u	-	0.411
a	a	0.407
θ	s	0.394
w	w	0.373
ˈo	ˈɔ	0.368
t	-	0.36
n	-	0.359
k	ʧ	0.335
ˈe_n	ˈɔ̃	0.334
e	ɛ	0.328
β	-	0.325
o	ɔ	0.32
ˈu	ˈu	0.315
b	b	0.31
l	-	0.306
i	i	0.305
ˈe	-	0.303
n	ˈɛ̃	0.294
w_ˈe	ˈɔ	0.291
ˈi	ˈiː	0.279
a	j	0.278
ɲ	-	0.269
j	j	0.267
ˈa	ˈiː	0.265
ɣ	ˈɛː	0.244
θ	-	0.241
θ	ʒ	0.24
n	n	0.239
s	-	0.234
i	-	0.234
k_a	ʧ_ɛ	0.232
ˈe	ˈɛ	0.23
ˈu	ˈɔ	0.204
ɾ	-	0.203
ɣ	ɡ	0.195
s	ʃ	0.194
ˈo	ˈøː	0.183
p	-	0.179
b	-	0.174
ˈa	ˈa	0.171
a	n	0.167
ˈu	ˈuː	0.163
β	v	0.162
ˈo	ˈoː	0.161
ˈu	-	0.16
m	-	0.16
ˈu	ˈy	0.159
o	ˈa	0.156
ˈa	ˈɔː	0.151
a	ɔː	0.149
j	ˈɛ	0.137
ˈi	ˈi	0.132
e	a	0.126
θ	ˈɛ	0.125
ˈi	ˈe	0.124
ˈe	w	0.123
k	-	0.115
ˈe	ˈɛː	0.114
ˈa	-	0.113
n	ˈẽ	0.108
ˈo	ɔ	0.101
ˈo	w	0.1
l	j	0.095
w	ˈy	0.094
d	-	0.094
ˈo	ˈu	0.086
ˈa	ˈe	0.086
ˈa	ˈɑ̃	0.083
j	ˈiː	0.083
e	ɛ̃	0.075
ˈe	ˈa	0.073
ˈa	w	0.07
ˈa	ˈoː	0.061
j	ˈyː	0.054
ˈe	ˈi	0.052
