Slovenian	Slovenian	probability
́_ɡ̊	ɦ	1.0
́_ɡ	ɦʲ	1.0
̀_n	n	1.0
̀	-	1.0
ʒ̊	ʒ	1.0
ʃ	ʃʲ	1.0
ɡ̊	-	1.0
ɛː	-	1.0
ɛ_́	ɛ	1.0
ə_́	ɛ_ˈ	1.0
ə_k	k_ɪ	1.0
ɔː_́	ɔ_ˈ	1.0
ɔː	ɔ	1.0
ɔ_́	i_ˈ	1.0
ɔ_#>	ɔ_#>	1.0
ɔ	ɔ	1.0
z̥	-	1.0
uː_́	ʊ	1.0
uː	u_ˈ	1.0
u	u_ˈ	1.0
s_#>	s_#>	1.0
oː_̀	u_ˈ	1.0
o	ɔ	1.0
m_#>	m_#>	1.0
j_a	ɑ	1.0
j	-	1.0
iː_́	ɪ_ˈ	1.0
i_́	ɪ	1.0
i_#>	e_#>	1.0
eː_̀	ɔ	1.0
d̥	d	1.0
b̥_#>	b_#>	1.0
b	b	1.0
a_#>	ɐ_#>	1.0
<#_x	<#_x	1.0
<#_t	<#_t	1.0
<#_l	<#_lʲ	1.0
<#_k	<#_k	1.0
<#_j	<#_j	1.0
<#_d	<#_d	1.0
<#	<#_w	1.0
́	-	0.913
a	ɑ	0.895
r	r	0.882
t	t	0.857
k	k	0.857
d	d	0.846
p	p	0.833
m	m	0.833
z	z	0.812
ʧ	ʧ	0.8
ʒ	ʒ	0.8
x	x	0.778
aː	ɔ	0.778
ɡ	ɦ	0.75
s	s	0.733
i	ɪ	0.667
t_#>	tʲ_#>	0.615
l	ɫ	0.6
eː_́	i_ˈ	0.6
w_#>	ɫ_#>	0.571
n	n	0.571
ʋ	ʋ	0.533
#>	ˈ_#>	0.511
ʦ	ʦʲ	0.5
ʦ	ʦ	0.5
ɛː_̀	ɛ	0.5
ɛː_̀	ɐ	0.5
ɛ	ɛ	0.5
w	ʍ	0.5
w	ɫ_e	0.5
s_ə	s_ɔ	0.5
s_ə	s	0.5
oː	u_ˈ	0.5
e	ɛ	0.5
e	-	0.5
<#_r	<#_rʲ	0.5
<#_r	<#_r	0.5
#>	j_#>	0.489
aː_̀	ɑ_ˈ	0.444
w_#>	lʲ_#>	0.429
n	nʲ	0.429
eː	i_ˈ	0.412
iː	ɪ_ˈ	0.4
iː	-	0.4
t_#>	t_#>	0.385
oː_́	i_ˈ	0.353
ɛ	i	0.333
i	ɪ_ˈ	0.333
aː_̀	ɐ	0.333
ʋ	ʋʲ	0.3
oː_́	ɔ	0.294
s	sʲ	0.267
ɡ	ɦ_ɔ	0.25
ə	-	0.25
oː	ɔ_ˈ	0.25
oː	i_ˈ	0.25
l	lʲ	0.24
oː_́	ɔ_ˈ	0.235
eː	i	0.235
x	-	0.222
aː_̀	a_ˈ	0.222
aː	-	0.222
ʧ	ʧʲ	0.2
ʒ	ʒʲ	0.2
ə	ɛ_ˈ	0.2
ə	ɔ	0.2
iː	ɪ	0.2
eː_́	ɐ	0.2
eː_́	i	0.2
z	zʲ	0.188
ʋ	w	0.167
ɛ	-	0.167
p	pʲ	0.167
m	mʲ	0.167
l	ɔ_ɫ	0.16
d	-	0.154
ə	i	0.15
t	tʲ	0.143
k	kʲ	0.143
oː_́	ʊ	0.118
eː	ɛ_ˈ	0.118
eː	j_ɑ	0.118
eː	-	0.118
a	-	0.105
ə	r_e	0.1
ə	e	0.1
́	ɔ_ˈ	0.087
r	rʲ	0.059
r	j	0.059
