Slovenian	Czech	probability
á	ˈa	1.0
áː	ˈa	1.0
b	b	1.0
d	d	1.0
e	ˈɛ	1.0
íː	ˈɪ	1.0
òː	ˈo	1.0
p	p	1.0
s	s	1.0
z	z	1.0
ɔ̀ː	ˈo	1.0
ɔ́	ˈuː	1.0
ə̀	-	1.0
ə́	ˈɛ	1.0
ɛ	ɛ	1.0
ɛ̀ː	ˈɛ	1.0
ʃ	ʃ	1.0
ʒ	ʒ	1.0
àː	ˈaː	0.531
n	n	0.671
t	t	0.91
ʋ	v_j	0.251
èː	ˈɛː	0.12
i	-	0.782
n	ɲ	0.092
ʧ	ʦ	0.802
óː	ˈu	0.343
ɔ	o	0.933
ʋ	-	0.053
a	ɛ	0.154
éː	ɛ	0.4
óː	ˈuː	0.064
r	r̝̊	0.094
ə	-	0.664
èː	ˈɛ	0.345
èː	ˈiː	0.535
éː	ˈɛ	0.455
ìː	ˈiː	0.075
ìː	ˈɪ	0.925
j	j	0.225
j	-	0.775
k	k_iː	0.075
o	ˈo	0.985
r	ˈr̩	0.115
r	r	0.415
w	l	0.465
w	l_iː	0.535
x	ɦ	0.155
ʦ	ʦ	0.495
ʦ	-	0.505
a	a	0.846
óː	ˈo	0.196
óː	o	0.396
r	r̝	0.356
ə	ɛ	0.336
m	m	0.97
n	n_iː	0.237
x	x_iː	0.117
ɔ	ˈo	0.067
ɡ	ɦ	0.977
ʋ	v	0.647
éː	ˈɛː	0.058
éː	ˈiː	0.088
i	ɪ	0.218
k	x	0.108
k	k	0.818
l	-	0.078
x	x	0.728
ʧ	ʧ	0.198
àː	ˈa	0.469
l	l	0.889
t	c	0.09
