Western Lombard	Western Lombard	probability
ˈɛ_#>	ˈe_ɾ_#>	1.0
ˈɑː_t	ˈa_t	1.0
ˈɑː_n	ˈɐ̃	1.0
ˈœ	-	1.0
ˈỹ	ˈũ	1.0
ˈy	ˈu	1.0
ˈu_s	ˈo_ʃ	1.0
ˈoː	ˈo_w	1.0
ˈo	ˈo	1.0
ˈã	ˈɐ̃	1.0
ʤ	-	1.0
ʃ	k_ˈe	1.0
ɲ	ɲ	1.0
z_ɡ	v	1.0
z	-	1.0
y	u	1.0
w	w	1.0
t_a	t_ɐ	1.0
r_#>	#>	1.0
p_j	ʃ	1.0
p	p	1.0
o	u	1.0
n_a	ɐ	1.0
m	m	1.0
l_a	ɐ	1.0
k_r	k_ɾ	1.0
k_#>	ɣ_u_#>	1.0
ĩ	ĩ	1.0
f_j	ʃ	1.0
ẽ	v_ɐ̃	1.0
e_r	ɾ_ɨ	1.0
ã	ɐ̃	1.0
a_ɡ	ɐ_ɣ	1.0
a_#>	#>	1.0
<#_ʧ	<#_s	1.0
<#_v	<#	1.0
<#_t	<#_t	1.0
<#_r	<#_ʁ	1.0
<#_l	<#_l	1.0
<#_d	<#_d	1.0
<#	<#_ˈo	1.0
k	k	0.93
a	ɐ	0.857
ˈiː	ˈi	0.818
f	f	0.8
ˈyː	ˈu	0.786
n	n	0.767
ʒ	ʒ	0.75
i	-	0.75
ˈɑː	ˈa	0.739
b	b	0.737
ˈa	ˈa	0.714
v	v	0.692
ˈũ	ˈõ	0.667
<#_ˈa	<#_ˈa	0.667
r	ɾ	0.655
ˈɔ	ˈo	0.632
ˈu	ˈo	0.6
ˈĩ	ˈĩ	0.6
s	s	0.574
j	ʎ	0.538
#>	u_#>	0.535
ɡ	ɡ	0.533
ˈẽ	ˈẽ	0.5
ˈe	ˈɛ	0.5
ˈe	ˈe	0.5
ũ	ũ	0.5
ũ	õ	0.5
l_#>	u_#>	0.5
l_#>	#>	0.5
d	ð	0.5
ˈi	ˈi	0.467
ɡ	ɣ	0.467
ˈøː	ˈo	0.462
ˈuː	ˈɔ	0.455
ˈɛ	ˈɛ	0.448
t	t	0.429
ʧ	ʎ_u	0.417
u	u	0.417
ˈĩ	ˈi_ɲ	0.4
ˈeː	ˈe	0.4
l	l	0.393
e	-	0.385
d	-	0.375
ˈuː	ˈo	0.364
e	ɨ	0.346
ˈũ	ˈɐ̃_w̃	0.333
ˈeː	ˈɛ	0.333
u	-	0.333
<#_ˈa	<#	0.333
l	ɫ	0.321
ˈøː	ˈɔ	0.308
v	β	0.308
ˈɛ	ˈe	0.276
ˈi	ˈe	0.267
ˈeː	ˈɐ	0.267
ˈɔ	ˈɔ	0.263
b	v	0.263
ˈẽ	ˈĩ	0.25
ˈẽ	-	0.25
ʧ	ʃ	0.25
ʒ	z	0.25
i	i	0.25
ˈøː	-	0.231
j	j	0.231
j	-	0.231
ˈyː	-	0.214
ˈa	ˈɐ	0.214
ˈu	ˈu	0.2
ˈu	-	0.2
s	ʃ	0.197
ˈuː	ˈo_β	0.182
ˈiː	-	0.182
#>	ɾ_#>	0.182
l	-	0.179
ˈɑː	ˈɐ	0.174
t	ð	0.171
t	t_ɨ	0.171
ʧ	j_t	0.167
ʧ	-	0.167
u	ɔ	0.167
e	ɾ	0.154
s	i_ʃ	0.148
ˈi	ˈu	0.133
ˈi	-	0.133
n	ɲ	0.133
d	z	0.125
f	v_ɨ	0.12
e	ɐ	0.115
t	j_t	0.114
l	w	0.107
ˈɔ	ɾ	0.105
ˈɛ	ˈɐ_j	0.103
ˈɛ	ˈɐ	0.103
r	ɾ_u	0.103
n	-	0.1
ˈɑː	ˈi	0.087
u	o	0.083
f	v_u	0.08
a	-	0.079
ˈa	ɾ	0.071
k	ɡ	0.07
ˈɛ	-	0.069
r	u	0.069
r	-	0.069
#>	ʃ_#>	0.061
#>	ɐ_#>	0.061
#>	w̃_#>	0.061
t	ð_ɨ	0.057
t	d_u	0.057
r	ʁ	0.052
r	ɾ_ɨ	0.052
#>	j̃_#>	0.051
