West Frisian	West Frisian	probability
χ_t	tː	1.0
ˈɪə̯_n	ˈoː	1.0
ˈɛ_r	r	1.0
ˈɔː	ˈa	1.0
ˈɔu̯	-	1.0
ˈøə̯	ˈɛ	1.0
ˈø	-	1.0
ˈyː	-	1.0
ˈy	-	1.0
ˈu̯o	ˈœ	1.0
ˈoː	ˈʉː	1.0
ˈeː	-	1.0
ʦ	ɕ	1.0
ʋ	v	1.0
ɪ	-	1.0
ɡ	ɡ	1.0
ə_n	ɛ_n	1.0
ə_#>	#>	1.0
v	v	1.0
s_v	s	1.0
s_k	ɧ	1.0
s_#>	s_#>	1.0
n_#>	#>	1.0
k_#>	k_#>	1.0
j_ˈɪ	ˈʉː	1.0
j_ˈuə̯	ˈyː	1.0
j_ɪ	ɔ	1.0
j_ə	a	1.0
f_#>	v_#>	1.0
f	f	1.0
d̥_#>	#>	1.0
d̥	d	1.0
b	b	1.0
<#_ˈaː	<#_ˈɛ	1.0
<#_ʋ	<#	1.0
<#_t	<#_tʰ	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_k	<#_kʰ	1.0
<#_d	<#_j	1.0
<#	<#_ˈɛ	1.0
r	r	0.939
h	h	0.909
ˈuə̯	ˈuː	0.833
d	d	0.826
s	s	0.814
l_#>	l_#>	0.8
l	l	0.8
m	m	0.75
ŋ	ŋː	0.7
t	t	0.676
n	n	0.675
χ_#>	#>	0.667
j	-	0.667
ə	a	0.661
k	k	0.643
ˈɛi̯	ˈɛ	0.6
p	p	0.583
ɣ	ɡ	0.571
ˈɛ	ˈɛ	0.545
ˈi	ˈiː	0.538
χ	ɡː	0.5
χ	k	0.5
ˈɪə̯	ˈøː	0.5
ˈuː	ˈʉː	0.5
ˈu	ˈʊ	0.5
ˈu	ˈɵ	0.5
#>	d_#>	0.455
#>	a_#>	0.455
ˈaː	ˈɑː	0.444
ˈa	ˈa	0.444
ˈɛː	ˈɑː	0.429
ɣ	-	0.429
ˈoə̯	-	0.417
ˈɛi̯	ˈɑː_ɡ	0.4
z	s	0.4
z	-	0.4
ˈɔ	ˈɵ	0.389
k	kː	0.357
χ_#>	j_#>	0.333
ˈɪ	ˈɪ	0.333
ˈuː	ˈɵ	0.333
ˈoə̯	ˈoː	0.333
ˈiː	ˈiː	0.333
ˈiː	-	0.333
ˈaː	ˈoː	0.333
ˈi	-	0.308
ˈɪ	-	0.3
ŋ	ŋ	0.3
ˈɛː	ˈʏ	0.286
ˈɛː	-	0.286
ˈɔ	ˈɔ	0.278
ˈa	ˈɑː	0.278
ˈa	-	0.278
ˈɛ	-	0.273
p	pː	0.25
m	mː	0.25
ə	ɛ	0.232
ˈɪə̯	-	0.222
ˈɔ	-	0.222
ˈiə̯	ˈøː	0.222
ˈiə̯	ˈoː	0.222
ˈaː	ˈa	0.222
t	tː	0.206
ˈɪ	ˈɛ	0.2
z	jː	0.2
l_#>	#>	0.2
ˈɛ	ˈa	0.182
n	nː	0.175
ˈɪə̯	ˈa	0.167
ˈuː	-	0.167
ˈuə̯	-	0.167
ˈoə̯	ˈuː	0.167
ˈiː	ˈʉː	0.167
ˈiː	ˈɪ	0.167
p	pʰ	0.167
ˈi	ˈɪ	0.154
s	ɧ	0.14
ˈɪə̯	ˈœː	0.111
ˈɔ	ˈœ	0.111
ˈiə̯	ˈʉː	0.111
ˈiə̯	ˈɛː	0.111
ˈiə̯	ˈeː	0.111
ˈiə̯	j_ˈʉː	0.111
ˈiə̯	-	0.111
j	ˈʉː	0.111
j	ˈøː	0.111
j	ˈyː	0.111
ə	-	0.107
ˈɪ	ˈeː	0.1
n	ɳ	0.1
l	lː	0.1
l	j	0.1
h	j	0.091
#>	v_#>	0.091
d	tʰ	0.087
d	-	0.087
ˈoə̯	ɳː	0.083
ˈɪ	ˈɵ	0.067
r	-	0.061
t	ʈː	0.059
t	-	0.059
