Proto-Germanic	Bokmål Norwegian	probability
a	-	1.0
b	b	0.995
d	d	0.506
d	-	0.461
e	ə	1.0
i	-	0.813
i	ə	0.16
iː	ɪ	0.517
iː	-	0.483
j	-	0.908
jː	ɡː	1.0
k	k	0.418
k	-	0.177
k	ɕ	0.162
k	kʰ	0.156
kʷ	kʰ	0.901
kʷ	k	0.099
kː	-	0.5
kː	kː	0.5
l	l	0.647
l	lː	0.297
lː	lː	1.0
m	m	0.788
m	mː	0.134
mː	mː	1.0
n	-	0.486
n	n	0.337
n	nː	0.157
nː	nː	1.0
p	p	0.872
p	ɾ	0.076
p	-	0.052
pː	pː	0.648
pː	d	0.352
r	ɾ	0.94
s	s	0.845
s	ʃ	0.055
t	t	0.471
t	tʰ	0.184
t	tː	0.174
u	-	0.882
u	ə	0.118
w	ʋ	0.535
w	-	0.452
wː	ɡ	1.0
x	h	0.521
x	-	0.263
x	j	0.155
x	k	0.061
xʷ	ʋ	0.717
xʷ	-	0.283
z	-	0.963
ð	-	0.892
ð	d	0.085
ŋ	ŋː	0.725
ŋ	ŋ	0.257
ɑ	-	0.617
ɑ	ə	0.383
ɑi̯	-	1.0
ɑː	ə	1.0
ɑ̃	-	0.971
ɔː	ə	0.987
ɔːu̯	ə	1.0
ɔːː	ə	0.895
ɔːː	ʋ	0.066
ɔ̃ː	ə	0.871
ɔ̃ː	-	0.071
ɔ̃ː	e	0.059
ɛː	-	0.54
ɛː	ə	0.46
ɡ	-	1.0
ɡʷ	-	1.0
ɣ	ɡ	0.427
ɣ	-	0.249
ɣ	ɡː	0.181
ɣ	j	0.143
ɸ	f	0.919
ˈe	ˈɛ	0.227
ˈe	ˈiː	0.113
ˈe	ˈeː	0.093
ˈe	j	0.089
ˈe	ˈɔ	0.07
ˈe	ˈæː	0.064
ˈe	ˈœ	0.06
ˈe	ˈæ	0.055
ˈe	ˈʉː	0.052
ˈeu̯	ˈyː	0.76
ˈeu̯	ˈʉː	0.136
ˈeu̯	ˈʏ	0.103
ˈeː	ˈæː	1.0
ˈi	ˈɪ	0.501
ˈi	ˈiː	0.151
ˈi	ˈɛ	0.11
ˈi	ˈʏ	0.07
ˈi	ˈœ	0.065
ˈiu̯	ˈyː	0.834
ˈiu̯	ˈʏ	0.166
ˈiː	ˈiː	0.882
ˈiː	ˈeː	0.118
ˈĩː	ˈɛ	1.0
ˈu	ˈʉ	0.354
ˈu	ˈuː	0.16
ˈu	ˈɔ	0.153
ˈu	ˈʏ	0.11
ˈu	ˈœ	0.105
ˈu	ˈʊ	0.06
ˈuː	ˈʉː	0.89
ˈuː	ə	0.069
ˈɑ	ˈɑ	0.528
ˈɑ	ˈɑː	0.165
ˈɑ	ˈɛ	0.115
ˈɑ	ˈoː	0.067
ˈɑi̯	ˈæɪ̯	0.326
ˈɑi̯	ˈɛ	0.272
ˈɑi̯	ˈeː	0.168
ˈɑi̯	ˈoː	0.103
ˈɑi̯	ˈøː	0.09
ˈɑu̯	ˈøː	0.555
ˈɑu̯	ˈœ	0.34
ˈɑː	ˈoː	1.0
ˈɔː	ˈuː	0.67
ˈɔː	ˈøː	0.183
ˈɔː	ˈœ	0.089
ˈɔː	ˈyː	0.058
ˈɛː	ˈoː	1.0
β	ʋ	0.569
β	-	0.431
θ	-	0.465
θ	tʰ	0.461
