Proto-Germanic	Bokmål Norwegian	probability
a	-	1.0
b	b	0.953
b	-	0.049
d	d	0.81
d	-	0.187
e	ə	1.0
i	-	0.634
i	ə	0.362
iː	ɪ	0.561
iː	-	0.425
j	-	1.0
jː	ɡː	0.482
k	kʰ	0.422
k	k	0.226
k	ç	0.13
k	ʃ	0.073
k	f	0.057
k_i	k	1.0
k_s	k	1.0
k_ɑ	k	1.0
kʷ	k	0.365
kʷ	kʰ	0.176
kː	-	1.0
l	l	0.798
l	lː	0.152
l	-	0.032
l	nː	0.031
l_ɑ	l	1.0
lː	lː	1.0
m	m	0.874
m	mː	0.085
m	nː	0.043
m_ɑ	m	1.0
mː	mː	0.482
n	n	0.455
n	-	0.404
n	ŋː	0.049
n	nː	0.049
n	ɳ	0.038
n_d	nː	1.0
n_ɑ	n	1.0
n_ɑ̃	ɳ	1.0
n_θ	nː	1.0
nː	nː	1.0
p	p	0.775
p	-	0.102
p	ɾ	0.096
pː	d	0.232
r	ɾ	0.897
r	-	0.07
r	n	0.026
r	ˈæː	0.026
r_u	ɾ	1.0
r_ð	ɾ	0.482
r_ɔː	ɾ	1.0
r_θ	ɾ	1.0
s	s	0.797
s	-	0.152
s	ʂ	0.031
t	t	0.526
t	tʰ	0.219
t	tː	0.085
t	s	0.039
t	ç	0.039
t_s	t	1.0
t_ɑ	tː	1.0
t_ɑ̃	t	1.0
u	-	0.759
u	ə	0.238
w	ʋ	0.465
w	-	0.44
w	ˈøː	0.071
w	ˈuː	0.031
w_ˈu	ˈʉ	1.0
wː	ɡ	1.0
x	h	0.608
x	-	0.325
x	j	0.036
x	k	0.035
x_r	ɾ	0.482
x_t	tː	1.0
xʷ	ʋ	0.794
xʷ	-	0.159
z	-	0.952
z	ɾ	0.048
ð	-	0.849
ð	n	0.092
ð	d	0.047
ð_r	ɾ	1.0
ð_ɑ̃	d	1.0
ŋ	-	1.0
ŋ_k	kː	1.0
ŋ_ɡ	ŋː	1.0
ɑ	-	0.855
ɑ	ə	0.079
ɑ_l	l	1.0
ɑ_n	ə	1.0
ɑi̯	ˈʉː	0.482
ɑː	ə	1.0
ɑ̃	-	0.984
ɔː	-	0.608
ɔː	ə	0.295
ɔː	nː	0.082
ɔː_r	ɾ	1.0
ɔːu̯	ə	0.482
ɔːː	ə	0.866
ɔːː	-	0.133
ɔ̃ː	ə	0.922
ɔ̃ː	e	0.067
ɛː	ə	1.0
ɛː_r	ɾ	1.0
ɡ	ŋ	1.0
ɡʷ	ŋː	0.112
ɣ	ɡ	0.457
ɣ	-	0.334
ɣ	j	0.201
ɣ_j	ɡː	1.0
ɣ_ɑ	ɡ	1.0
ɸ	f	0.789
ɸ	-	0.194
ˈe	ˈɛ	0.185
ˈe	ˈiː	0.175
ˈe	ˈeː	0.083
ˈe	ˈæː	0.083
ˈe	ˈœ	0.083
ˈe_w	ˈeː	0.482
ˈeu̯	ˈyː	0.734
ˈeu̯	ˈʏ	0.128
ˈeu̯	ˈʉː	0.082
ˈeu̯_x	ˈyː	1.0
ˈeː	ˈæː	0.482
ˈi	ˈɪ	0.493
ˈi	ˈiː	0.173
ˈi	ˈeː	0.1
ˈi	ˈɛ	0.076
ˈi	-	0.048
ˈi_n	ˈiː	1.0
ˈiu̯	ˈyː	0.286
ˈiu̯	ˈʏ	0.249
ˈiː	ˈiː	0.883
ˈiː	ˈeː	0.102
ˈiː_ð	ˈiː	1.0
ˈĩː	ˈɛ	0.482
ˈu	ˈʉ	0.227
ˈu	ˈʊ	0.165
ˈu	ˈœ	0.154
ˈu	ˈʏ	0.154
ˈu	ˈɔ	0.075
ˈu_r	ˈuː	1.0
ˈuː	ˈʉː	0.915
ˈuː	ˈʉ	0.07
ˈɑ	ˈɑ	0.431
ˈɑ	ˈɑː	0.174
ˈɑ	ˈɛ	0.155
ˈɑ	ˈeː	0.06
ˈɑ	ˈoː	0.054
ˈɑ_t	ˈɑ	1.0
ˈɑ_x	ˈoː	1.0
ˈɑi̯	ˈæɪ̯	0.232
ˈɑi̯	ˈɛ	0.232
ˈɑi̯	-	0.172
ˈɑi̯	ˈeː	0.15
ˈɑi̯	ˈoː	0.099
ˈɑu̯	ˈøː	0.658
ˈɑu̯	ˈœ	0.162
ˈɑu̯	ˈœʏ̯	0.082
ˈɑu̯	ˈuː	0.08
ˈɑu̯_ð	ˈøː	1.0
ˈɔː	ˈuː	0.635
ˈɔː	ˈøː	0.157
ˈɔː	ˈœ	0.084
ˈɔː	ˈyː	0.078
ˈɔː_ð	ˈuː	1.0
ˈɔː_θ	ˈuː	1.0
ˈɛː	ˈoː	1.0
β	ʋ	0.68
β	-	0.162
β	d	0.095
θ	tʰ	0.682
θ	d	0.133
θ	-	0.129
