Aragonese	Asturian	probability
b	b	1.0
d	d	1.0
f	f	1.0
k	k	1.0
m	m	1.0
r	r	1.0
ŋ	ŋ	1.0
ɣ	ɣ	1.0
ɲ	ɲ	1.0
ʃ	ʃ	1.0
ʝ	ɟ͡ʝ	1.0
ʧ	ʃ	1.0
ˈi	ˈi	1.0
ˈo	ˈo	1.0
β	β	1.0
θ	θ	1.0
u	o	0.271
w	w	0.871
ð	ð	0.911
j	j	0.902
o	o	0.152
u	u	0.562
ɡ	-	0.052
ʎ	ʝ	0.662
l	l	0.403
ˈu	ˈu	0.913
i	e	0.414
l	ʎ	0.474
t	t	0.974
w	ɡ_w	0.094
l	e_#>	0.105
n	-	0.05
n	n	0.815
s	s	0.975
ɾ	ɾ	0.985
o	u	0.816
e	e	0.967
j	-	0.087
p	p	0.957
u	-	0.167
ˈa	ˈa	0.917
ˈu	ˈo	0.087
a	a	0.98
i	ˈe	0.158
ɡ	ɡ	0.948
ʎ	ʎ	0.338
i	i	0.429
n	ŋ	0.059
ð	-	0.089
ˈe	ˈe	0.979
