Campidanese	Campidanese	probability
β_ɛ	b	1.0
ˈɛ_n	ˈe_n	1.0
ˈɔ_ɾ	ˈu	1.0
ˈɔ_z	w_t	1.0
ˈu_ɾ	ˈy	1.0
ˈi_ɾ	ˈi	1.0
ˈi_ð	ˈe	1.0
ˈa_t	ˈa	1.0
ˈa_i_#>	ˈa_#>	1.0
ʧ	s	1.0
ʦ	s	1.0
ʤ	ʤ	1.0
ɾ_ˈo	w_ˈe	1.0
ɾ_ˈa	ˈa	1.0
ɾ_u	ʀ	1.0
ɾ_i	e	1.0
ɾ_a	ɾ_ɔ	1.0
ɲ	ɲ	1.0
ɭː_u	w	1.0
ɖː_u	w	1.0
ɔ̆	-	1.0
ŋ	ŋ	1.0
ð_a	ɔ	1.0
w	-	1.0
ŭ	ɾ_e	1.0
t_ɛ	w_t	1.0
t_u	ʧ	1.0
t_i	ʀ	1.0
t_a	t_ɔ	1.0
s_ˈɛ	s_ˈe	1.0
r	ʀ	1.0
n_ʤ	ɲ	1.0
n_u	ŋ	1.0
n_t	ŋ	1.0
m_i_n_i_#>	m_#>	1.0
m	m	1.0
l_u	w	1.0
l_i	w	1.0
l	l	1.0
k_ɾ	k_l	1.0
ĭ	-	1.0
i_ɣ	ʤ	1.0
f	f	1.0
b_ɾ	v	1.0
ă	-	1.0
a_ð	a_d	1.0
a_s	a_s	1.0
<#_ˈo	<#_ɥ	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʧ	<#_s	1.0
<#_ʤ	<#_ʤ	1.0
<#_t	<#_t	1.0
<#_i	<#_e	1.0
k	k	0.95
<#_n	<#_n	0.875
i_#>	#>	0.826
p	p	0.824
u_#>	#>	0.789
d	d	0.786
ɡ	ɡ	0.778
a	ɔ	0.778
t	t	0.722
ɣ_u	k	0.714
β	b	0.667
ʃ	j_s	0.667
ɖː	l	0.667
s	s	0.649
z	-	0.636
z_ŭ_#>	#>	0.625
j	-	0.625
ˈa	ˈa	0.617
ˈe	ˈɛ	0.6
ɭː	j	0.6
ɣ	ɡ	0.6
ɛ	e	0.6
o	-	0.6
e	-	0.6
<#_a	<#	0.6
ɔ	u	0.556
ʒ	s	0.545
b	v	0.545
i	e	0.512
ˈɛ	ˈɛ	0.5
ð	d	0.5
ð	-	0.5
nː	ŋ	0.5
nː	n	0.5
n	ŋ	0.5
<#	<#_d	0.5
<#	<#_a	0.5
ˈu	ˈu	0.485
ɾ	ɾ	0.479
ˈo	w_ˈe	0.474
ʒ	z	0.455
b	b	0.455
ɔ	-	0.444
#>	e_#>	0.429
ˈi	ˈe	0.412
ɭː	ɔ	0.4
ɣ	j	0.4
ɛ	-	0.4
o	u	0.4
e	i	0.4
<#_a	<#_a	0.4
ˈi	ˈi	0.382
z_ŭ_#>	s_#>	0.375
j	j	0.375
n	n	0.367
β	-	0.333
ʃ	-	0.333
ɖː	-	0.333
ˈɔ	w_ˈe	0.32
ˈa	ˈã	0.319
ɣ_u	j	0.286
#>	ɔ_#>	0.286
#>	j_#>	0.286
ˈu	ˈy	0.273
i	-	0.268
ˈɛ	ˈẽ	0.267
u	e	0.263
ˈɔ	ɥ_ˈe	0.24
ɡ	k	0.222
s	e_s	0.216
d	-	0.214
ˈo	ˈũ	0.211
ˈɔ	ˈu	0.2
ˈe	ˈẽ	0.2
ˈe	j	0.2
z	z	0.182
z	s	0.182
p	-	0.176
i_#>	w_#>	0.174
ɾ	ʀ	0.167
t	-	0.167
ˈo	w	0.158
ˈo	-	0.158
u	ɔ	0.158
u	-	0.158
ˈi	ˈĩ	0.147
s	-	0.135
n	-	0.133
u_#>	w_#>	0.132
<#_n	<#_d	0.125
t	ʧ	0.111
a	a	0.111
u	ˈe	0.105
ɾ	-	0.104
ˈɛ	j_ˈe	0.1
ˈu	ˈỹ	0.091
ˈu	ˈũ	0.091
ɾ	l	0.083
ˈɔ	ˈũ	0.08
ˈɔ	w	0.08
ˈɔ	-	0.08
u_#>	j_#>	0.079
u	u	0.079
i	j	0.073
i	i	0.073
ˈɛ	ˈɛ_ʀ	0.067
ˈɛ	ˈe	0.067
ˈa	-	0.064
a	-	0.063
ɾ	w_ɾ	0.062
ɾ	w	0.062
ˈu	-	0.061
ˈi	-	0.059
u	ɾ_e	0.053
u	ŋ	0.053
u	y	0.053
u	w	0.053
