Friulian	Friulian	probability
ˈɔː	w	1.0
ˈuː_r_#>	ˈy_#>	1.0
ˈiː_l	ˈɛ_w	1.0
ˈiː_#>	ˈi_#>	1.0
ˈaː_#>	ˈa_#>	1.0
ˈa_t	ˈa_t	1.0
ˈa_n	ˈa_ŋ	1.0
ʧ_#>	#>	1.0
ɟ	-	1.0
ŋ	ŋ	1.0
z_v	b	1.0
w_ˈɛ	ˈɔ	1.0
w_ˈi	ˈu	1.0
w_ˈa	ˈɔ	1.0
v_ˈɔ	w_ˈe	1.0
t_#>	#>	1.0
s_ˈa	s_ˈa	1.0
r_t	r_t	1.0
r_#>	#>	1.0
o	u	1.0
n_t_#>	n_#>	1.0
n_e	ɔ	1.0
m_i	nː	1.0
m_#>	m_#>	1.0
m	m	1.0
l_t	w_t	1.0
l_i	ʎ	1.0
k_w	k	1.0
k_r	k_ɾ	1.0
k_l	k_l	1.0
k_#>	k_#>	1.0
k	k	1.0
e_m	mː	1.0
e_#>	#>	1.0
d_ˈu	t_ˈu	1.0
a_r	ɾ	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʧ	<#_s	1.0
<#_ɲ	<#_n	1.0
<#_t	<#_t	1.0
<#_r	<#_a_r	1.0
<#_o	<#_a_w	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_j	<#_ʎ	1.0
f	h	0.95
p	p	0.933
ˈa	ˈa	0.919
c	k	0.913
ˈe	ˈe	0.909
w	w	0.909
a	a	0.9
n	n	0.895
j_ˈɛ	ˈɛ	0.882
ˈaː	ˈa	0.857
e	ɔ	0.855
ˈu	ˈy	0.846
b	b	0.833
l_#>	t_#>	0.818
t	t	0.806
s	s	0.788
ˈi	ˈi	0.778
ˈoː	ˈu	0.75
ʤ	ʒ	0.75
ɲ	ɲ	0.75
r_i	e	0.75
ˈeː	ˈe	0.714
f_#>	w_#>	0.714
l	l	0.7
v	b	0.679
z	z	0.667
i	e	0.613
ˈiː	ˈɛ	0.6
ʧ	s	0.571
ɡ	ɡ	0.562
d	d	0.531
ˈo	ˈu	0.515
<#	<#_ˈa	0.5
<#	<#_a	0.5
r	ɾ	0.49
ˈɛ	ˈɛ	0.429
ˈɛ	ˈe	0.429
ˈɔ	w	0.429
ʧ	-	0.429
ˈiː	ˈi	0.4
u	u	0.4
u	-	0.4
j	ʒ	0.385
d	ð	0.375
ˈuː	ˈy	0.364
z	-	0.333
r	r	0.333
v	β	0.321
ɡ	ɣ	0.312
j	-	0.308
ˈɔ	w_ˈe	0.286
ˈɔ	-	0.286
ˈeː	-	0.286
f_#>	p_#>	0.286
#>	ɔ_#>	0.278
ˈuː	ˈɔ	0.273
ˈoː	-	0.25
ʤ	-	0.25
ɲ	n	0.25
r_i	j_r	0.25
l	w	0.233
ˈi	ˈe	0.222
ˈo	ˈy	0.212
u	y	0.2
ˈuː	ˈa	0.182
ˈuː	w	0.182
l_#>	#>	0.182
b	β	0.167
#>	s_#>	0.167
i	i	0.161
ˈu	ˈu	0.154
j	j_ˈe	0.154
j	j	0.154
ˈɛ	j	0.143
ˈaː	-	0.143
ɡ	k	0.125
ˈo	-	0.121
j_ˈɛ	j_ˈe	0.118
t	j_t	0.111
#>	ˈi_#>	0.111
#>	ʦ_#>	0.111
#>	w_#>	0.111
#>	k_#>	0.111
#>	j_#>	0.111
n	n_d	0.105
a	ɾ	0.1
r	e	0.098
i	-	0.097
s	ʦ	0.096
d	-	0.094
ˈo	ˈɔ	0.091
ˈe	-	0.091
w	ˈo	0.091
e	e	0.087
c	-	0.087
t	-	0.083
ˈa	ˈɛ_j	0.081
r	-	0.078
p	s	0.067
l	-	0.067
i	ʎ	0.065
i	a	0.065
ˈo	ˈe	0.061
s	ʃ	0.058
s	j_ʃ	0.058
e	a	0.058
