Danish	Old English	probability
b̥	b	0.795
b̥	p	0.162
d̥	d	0.981
e	e	0.5
e	i	0.5
f	f	0.974
h	h	1.0
i	iː	0.679
i	i	0.321
j	ˈeo̯	0.3
j	h	0.175
j	k	0.142
j	j	0.133
j	ˈe	0.074
j	-	0.066
j	ɣ	0.061
jˀ	j	1.0
k	k	0.366
k	ŋ_k	0.206
k	ʃː	0.135
k	ʃ	0.101
k	ʧ	0.083
k	kː	0.064
kʰ	ʧ	0.581
kʰ	k	0.419
l	l	0.804
l	-	0.065
lˀ	ɫ	0.811
lˀ	r	0.08
lˀ	lː	0.067
m	m	0.888
m	r_m	0.074
mˀ	f	0.541
mˀ	m	0.459
n	n	0.871
nˀ	n	0.447
nˀ	nː	0.284
nˀ	θ	0.151
nˀ	r	0.119
p	p	0.923
p	pː	0.077
pʰ	p	1.0
s	s	0.887
s	-	0.064
t	t	0.834
t	x_t	0.128
w	v	0.298
w	-	0.201
w	ɣ	0.178
w	bː	0.128
w	j	0.128
w	ɑ	0.066
wˀ	ɑ	0.732
wˀ	v	0.268
ð̞ˠ	t	0.47
ð̞ˠ	d	0.356
ð̞ˠ	θ	0.12
ŋ	ŋ	0.592
ŋ	j	0.204
ŋ	n	0.204
ŋˀ	ŋ	1.0
ɐ	r	0.421
ɐ	e	0.324
ɐ	d_e	0.083
ɐ	o	0.062
ɐˀ	r	1.0
ə	ɑ	0.521
ə	e	0.275
ə	-	0.095
ɡ̊	ɡ	0.454
ɡ̊	j	0.217
ɡ̊	ʤ	0.215
ɡ̊	ç	0.114
ʁ	r	0.838
ʁ	r̥	0.098
ʋ	w	0.664
ʋ	ʍ	0.219
ʋ	f	0.094
ʦʰ	θ	0.505
ʦʰ	t	0.424
ʨ	θ	1.0
ˈa	ˈæ	0.352
ˈa	ˈɑ	0.265
ˈa	ˈoː	0.202
ˈa	ˈæɑ̯	0.124
ˈa	ˈi	0.057
ˈaː	ˈɑ	1.0
ˈe	ˈi	0.83
ˈe	ˈɛ	0.069
ˈe	ˈe	0.06
ˈeˀ	ˈɑː	0.609
ˈeˀ	ˈeːo̯	0.155
ˈeˀ	ˈi	0.11
ˈeː	ˈæ	0.667
ˈeː	ˈeːo̯	0.333
ˈi	ˈi	0.406
ˈi	ˈeː	0.403
ˈi	ˈyː	0.118
ˈi	ˈæː	0.073
ˈiˀ	ˈiː	0.597
ˈiˀ	ˈiːy̯	0.152
ˈiˀ	ˈi	0.121
ˈiˀ	ˈiy̯	0.096
ˈiː	ˈiː	0.656
ˈiː	ˈe	0.143
ˈiː	ˈeːo̯	0.11
ˈiː	ˈi	0.091
ˈo	ˈo	0.456
ˈo	ˈoː	0.206
ˈo	ˈæɑ̯	0.206
ˈo	ˈy	0.132
ˈoˀ	ˈoː	0.559
ˈoˀ	ˈuː	0.142
ˈoˀ	ˈo	0.097
ˈoˀ	ˈɑː	0.094
ˈoˀ	r	0.09
ˈoː	ˈoː	0.281
ˈoː	ˈe	0.248
ˈoː	ˈo	0.194
ˈoː	ˈæɑ̯	0.192
ˈoː	ˈæːɑ̯	0.085
ˈu	ˈu	0.575
ˈu	w_ˈu	0.22
ˈu	ˈo	0.105
ˈu	ˈuː	0.101
ˈuˀ	ˈuː	0.54
ˈuˀ	ˈyː	0.237
ˈuˀ	ˈeo̯	0.133
ˈuˀ	ˈu	0.09
ˈuː	ˈuː	0.836
ˈuː	ˈi	0.128
ˈy	ˈi	0.535
ˈy	ˈy	0.353
ˈy	ˈeːo̯	0.112
ˈyˀ	ˈeːo̯	0.539
ˈyˀ	ˈiːy̯	0.248
ˈyˀ	ˈeo̯	0.214
ˈyː	ˈeːo̯	0.73
ˈyː	ˈeː	0.27
ˈæ	rː	0.81
ˈæ	ˈeo̯	0.19
ˈæˀ	ˈæ	1.0
ˈæː	ˈɑ	1.0
ˈø	ˈy	0.679
ˈø	ˈi	0.321
ˈøː	ˈæːɑ̯	0.522
ˈøː	ˈeː	0.365
ˈøː	ˈiːy̯	0.113
ˈœ	ˈiːy̯	0.262
ˈœ	ˈy	0.124
ˈœ	ˈeː	0.117
ˈœ	ˈeːo̯	0.117
ˈœ	ˈo	0.105
ˈœ	ˈi	0.092
ˈœ	ˈu	0.087
ˈœ	ˈeo̯	0.074
ˈœˀ	ˈæːɑ̯	0.607
ˈœˀ	ˈeː	0.297
ˈœː	ˈe	1.0
ˈɑ	ˈɑ	0.496
ˈɑ	ˈi	0.165
ˈɑ	ˈeː	0.108
ˈɑ	ˈeːo̯	0.102
ˈɑ	ˈæ	0.065
ˈɑ	ˈe	0.064
ˈɑˀ	ˈæɑ̯	0.77
ˈɑˀ	ˈe	0.23
ˈɑː	ˈæ	0.663
ˈɑː	ˈɑ	0.337
ˈɒ	ˈo	1.0
ˈɒˀ	ˈæː	0.679
ˈɒˀ	ˈæːɑ̯	0.321
ˈɒː	ˈæː	0.818
ˈɒː	ˈo	0.182
ˈɔ	ˈu	0.801
ˈɔ	ˈuː	0.199
ˈɔˀ	ˈɑː	0.351
ˈɔˀ	ˈæː	0.286
ˈɔˀ	ˈæːɑ̯	0.181
ˈɔˀ	ˈo	0.116
ˈɔˀ	ˈoː	0.067
ˈɔː	ˈoː	0.804
ˈɔː	ˈæːɑ̯	0.196
ˈɛ	-	0.168
ˈɛ	ˈe	0.137
ˈɛ	ˈiː	0.123
ˈɛ	ˈɑ	0.123
ˈɛ	ˈi	0.105
ˈɛ	ˈæɑ̯	0.091
ˈɛ	ˈæ	0.059
ˈɛˀ	ˈɑː	0.411
ˈɛˀ	ˈe	0.182
ˈɛˀ	ˈeː	0.181
ˈɛˀ	ˈæ	0.118
ˈɛˀ	ˈiː	0.108
ˈɛː	ˈɑ	0.549
ˈɛː	ˈe	0.382
ˈɛː	ˈo	0.069
ˈʌ	ˈu	0.271
ˈʌ	ˈæːɑ̯	0.158
ˈʌ	ˈoː	0.154
ˈʌ	-	0.13
ˈʌ	ˈɑ	0.128
ˈʌ	ˈy	0.094
ˈʌˀ	ˈeː	0.818
ˈʌˀ	ˈæːɑ̯	0.182
