Middle High German	Faroese	probability
ˈɛ_h	ˈʊ_ʤ̊ː	1.0
ˈøː	ˈɔːi̯	1.0
ˈøy̯	-	1.0
ˈyə̯	ˈøː	1.0
ˈuə̯_t	ˈɔːu̯_w	1.0
ˈoː	ˈɛːi̯	1.0
ˈeː	ˈɔ̯aː	1.0
ʃː	s_k	1.0
ɡ_r	ɡ̊_ɹ	1.0
ɛ	ˈɛ_ʰt	1.0
ə_r	ɪ_ɹ	1.0
ə_n	a	1.0
ə_l	l	1.0
ɑː	ˈɔ̯aː	1.0
ɑ	a	1.0
x_t	ʰt	1.0
x	k	1.0
w_ə	ʤ̊ː	1.0
v	f	1.0
tː	ˈiː_j	1.0
t_ə	j	1.0
rː	ɹ_ʊ	1.0
r_n	t͡n̥	1.0
r_m	ɹ_m	1.0
p͡f	pʰ	1.0
oː	a_v	1.0
ou̯	ˈɛːi̯	1.0
nː	nː	1.0
n_d	nː	1.0
mː	m_j	1.0
lː	t͡l̥	1.0
k	-	1.0
i	a_v	1.0
h_ˈɛ	j	1.0
fː	ʰp	1.0
d_ə	ˈøː	1.0
b̥	v_ʊ	1.0
b_r	b̥_ɹ	1.0
m	m	0.943
s	s	0.886
ˈiː	ˈʊ̯iː	0.867
r	ɹ	0.862
ŋ	ŋ	0.848
h	h	0.791
kː	-	0.781
w	v	0.779
ˈɑː	ˈɔ̯aː	0.727
l	l	0.719
b	b̥	0.7
d	tʰ	0.677
ˈou̯	ˈɛːi̯	0.672
ˈi	ˈɪ	0.662
ˈuː	ˈʉːu̯	0.657
ʦ	tʰ	0.657
n	n	0.654
kʰ	kʰ	0.607
ˈu	ˈʊ	0.582
s̻	t	0.577
ʃ	s	0.561
ɡ	ɡ̊	0.555
ˈyː	ˈʊ̯iː	0.546
ˈuə̯	ˈɔːu̯	0.539
ˈe	ˈɛ	0.527
ˈei̯	ˈai̯	0.497
t	t	0.489
s̻ː	ʰt	0.488
f	p	0.484
ˈe	-	0.473
ˈuə̯	-	0.461
ˈy	ˈɪ	0.456
ˈyː	ˈʊ	0.454
ʃ	ʃ	0.439
d̥	d̥	0.415
ɡ̊	ɡ̊_ʊ	0.413
ˈɑ	ˈa	0.4
kʰ	ʧʰ	0.393
ˈɛ	-	0.391
d̥	d̥_ʊ	0.39
s̻ː	t	0.378
ˈy	ˈʊ	0.366
ɡ̊	ʊ	0.364
f	v	0.346
ˈei̯	ˈaːi̯	0.341
ˈu	ˈɔ	0.339
xː	ʧ	0.333
xː	k	0.333
xː	-	0.333
ˈou̯	-	0.328
ˈo	-	0.325
d	-	0.323
ə	a	0.315
ˈiə̯	ˈʊ̯iː	0.302
ˈiə̯	ˈɔːu̯	0.279
ˈɑ	ˈɛːa̯	0.274
ˈɑː	-	0.273
ˈo	ˈɔ	0.25
s̻	t_ʊ	0.23
b	v	0.229
ʦ	-	0.227
ɡ	-	0.227
ə	ʊ	0.226
ɡ̊	-	0.223
ˈɛ	ˈeː	0.221
kː	ʰʧ	0.219
ɡ	ʤ̊	0.218
t	-	0.218
ˈiə̯	ˈʉːu̯	0.21
ˈiə̯	-	0.21
h	-	0.209
ə	-	0.203
ˈuː	ˈʊ	0.196
d̥	ʊ_ɹ	0.195
s̻	ʰt	0.192
ˈɛ	j_ˈœ	0.179
ˈy	ˈiː	0.178
ˈo	ˈʊ	0.174
f	ʰp	0.171
ˈo	ˈoː	0.166
n	-	0.166
ˈei̯	ˈɛ	0.162
ˈɑ	ˈɔ	0.159
l	t͡l̥	0.158
ŋ	ɲ	0.152
ˈuː	-	0.147
s̻ː	ʰt͡n̥	0.134
ˈiː	-	0.133
ˈi	-	0.133
w	-	0.128
ə	ʊ_ɹ	0.127
l	l̥	0.123
ˈɛ	j	0.121
ʦ	ʈ	0.116
ˈi	ˈɛːa̯	0.105
n	a	0.105
ˈɑ	ˈɛ	0.1
ˈi	ˈiː	0.1
t	j_ʊ	0.1
t	d̥	0.098
t	ʰt	0.096
w	kʰ_v	0.093
ˈɛ	ˈɛ	0.088
r	-	0.088
ˈo	ˈœ	0.085
s	ʃ	0.084
ə	ɪ	0.082
ˈu	-	0.079
n	nː	0.075
b	-	0.071
ˈɑ	-	0.067
m	mː	0.057
r	r	0.05
