Neapolitan	Catalan	probability
a	ə	1.0
e	-	1.0
f	f	1.0
kː	k	1.0
lː	l	1.0
m	m	1.0
mː	m	1.0
nː	n	1.0
s	s	1.0
ŋ	ŋ	1.0
ɲː	ɲ	1.0
ʃː	ʃ	1.0
ʎː	ʎ	1.0
r	-	0.081
t	t	0.491
u	u	0.641
ɾ	ɾ	0.491
ˈi	ˈi	0.631
j	ʒ	0.152
r	ɾ	0.582
w	w	0.772
ə	ə	0.492
ɾ	-	0.312
ʃ	s	0.752
ˈi	ˈe	0.152
ˈu	ˈu	0.612
p	p	0.783
ɡ	ɡ	0.93
ʤ	ʒ	0.773
ˈɔ	ˈu	0.163
ˈɛ	ˈe	0.3
i	i	0.284
j	u	0.174
l	ʎ	0.634
t	ð	0.454
ə	-	0.494
ˈe	ˈe	0.244
n	-	0.185
n	n	0.815
t	-	0.055
v	b	0.735
ˈo	ˈɔ	0.425
j	-	0.106
k	p	0.136
k	k	0.786
l	l	0.366
ˈe	ˈɛ	0.756
ˈu	-	0.06
i	-	0.207
j	l	0.567
p	β	0.217
r	r	0.337
v	β	0.237
ɡ	ɣ	0.07
ʤ	-	0.227
ˈi	ˈɛ	0.217
ˈo	ˈi	0.197
ˈɔ	ˈɔ	0.837
ˈɛ	ˈɛ	0.7
d	d	0.958
i	ə	0.508
k	ɣ	0.078
w	-	0.228
ɾ	r	0.198
ʃ	-	0.248
ˈo	ˈo	0.378
ˈu	ˈo	0.328
u	-	0.359
ˈa	ˈa	0.939
