Alsatian	Alsatian	probability
ˈɛ	-	1.0
ˈœ	ˈœːy̯	1.0
ˈøː	-	1.0
ˈøi̯	ˈuː	1.0
ˈø	ˈʏ	1.0
ˈæː	-	1.0
ˈyː	ˈuː	1.0
ˈei̯	ˈiː_r̥	1.0
ˈaː	-	1.0
ˈai̯	ˈeːi̯	1.0
ʃ_t	s_t	1.0
ʃ_#>	k_#>	1.0
ʁ_n	r_t͡n̥	1.0
w	-	1.0
s_ə_ʁ	ʰt͡n̥	1.0
p	p	1.0
h	h	1.0
eː	aːu̯	1.0
e	m	1.0
d̥_ə	a	1.0
<#_ʋ	<#	1.0
<#_ʁ	<#_r̥	1.0
<#_n	<#_n	1.0
<#_j	<#	1.0
<#	<#_s	1.0
m	m	0.909
b̥	b̥	0.826
ŋ	ŋ	0.8
z̥_#>	s_#>	0.75
ˈo	ˈɔ	0.714
ɡ̊	ɡ̊	0.7
kʰ	kʰ	0.7
f	f	0.68
ˈæ	-	0.667
x	-	0.667
t	ð	0.655
l	l	0.649
#>	ʏ_r̥_#>	0.619
ʋ	v	0.611
ə	a	0.6
j	-	0.6
ˈe	-	0.583
s	s	0.571
k	-	0.571
d̥	d̥	0.552
ʦ	tʰ	0.545
ˈʊː	ˈoːu̯	0.538
ʁ	r̥	0.48
ʁ	r	0.48
ˈiː	ˈiː	0.471
ʃ	s	0.471
n	n	0.459
ˈəi̯	ˈɛːi̯	0.444
ˈeː	-	0.429
s	t	0.429
ˈɒː	ˈaː	0.4
ˈɒː	-	0.4
j	ˈuː	0.4
i	ɡ̊_ʏ	0.4
i	-	0.4
ˈɒ	ˈa	0.391
ˈəi̯	-	0.333
ˈæ	ˈɛː	0.333
ˈu	ˈʏ	0.333
ˈoː	ˈɑːu̯	0.333
x	ˈɔu̯	0.333
ˈʊː	-	0.308
ɡ̊	ɟ̊	0.3
kʰ	cʰ	0.3
ˈo	ˈʏ	0.286
ˈeː	j_ˈoːu̯	0.286
ˈeː	j	0.286
k	ɡ̊ː	0.286
d̥	θ	0.276
ˈi	ˈɪ	0.273
ˈi	-	0.273
ʦ	t	0.273
ˈoː	ˈœːy̯	0.267
ˈe	ˈɛ	0.25
z̥_#>	#>	0.25
f	p	0.24
ˈi	ˈi	0.227
ˈəi̯	ˈɛ	0.222
ʋ	-	0.222
ˈɒ	ˈaː	0.217
t	d̥	0.207
ˈɒː	ˈa	0.2
ˈoː	ˈɔː	0.2
ˈoː	-	0.2
ŋ	-	0.2
i	ɑu̯	0.2
#>	a_#>	0.19
n	nː	0.189
l	l̥	0.189
ʦ	ʰt	0.182
ˈiː	j_ˈoːu̯	0.176
ʃ	c	0.176
ˈɒ	ˈɑu̯	0.174
b̥	v	0.174
ˈu	ˈɪ	0.167
ˈu	ˈɔ	0.167
ˈu	ˈu	0.167
ˈu	-	0.167
ˈe	ˈɪː	0.167
ʋ	kʰ_v	0.167
n	-	0.162
l	t͡l̥	0.162
#>	r̥_#>	0.159
ə	ɪ	0.156
ˈʊː	ˈœːy̯	0.154
k	ʰc	0.143
t	ʰt	0.138
ˈi	ˈɛ	0.136
ə	ʏ	0.133
ˈɒ	-	0.13
ˈiː	ˈɪ	0.118
ˈiː	ˈaːi̯	0.118
ˈiː	-	0.118
ʃ	s_c	0.118
ʃ	k	0.118
ʃ	-	0.118
d̥	ð	0.103
ˈi	ˈɪː	0.091
m	-	0.091
ˈɒ	ˈœ	0.087
n	t͡n̥	0.081
f	-	0.08
d̥	-	0.069
ə	n̥	0.067
n	ʏ	0.054
n	v_a	0.054
