Belarusian	Lower Sorbian	probability
b	b	1.0
bʲ	bʲ	1.0
d	d	1.0
e	e	1.0
j	j	1.0
k	k	1.0
kʲ	kʲ	1.0
lʲ	l	1.0
m	m	1.0
mʲ	mʲ	1.0
n	n	1.0
nʲ	ɲ	1.0
p	p	1.0
pʲ	pʲ	1.0
s	s	1.0
sʲ	s	1.0
t	t	1.0
u	ˈu	1.0
v	v	1.0
vʲ	vʲ	1.0
xʲ	x	1.0
z	z	1.0
zʲ	z	1.0
ɨ	ɨ	1.0
ʂ	ʂ	1.0
ʐ	ʐ	1.0
ʦ	ʦ	1.0
ʧ	ʦ	1.0
ˈu	ˈu	1.0
ˈæ	ˈɪ	1.0
ˈɛ	ˈɛ	1.0
a	a	0.111
x	k	0.621
ʦʲ	t	0.111
ˈa	a	0.711
ˈo	w	0.061
a	ɛ	0.082
w	w	0.32
w	-	0.422
ʣʲ	ʑ	0.912
ˈe	ˈɪ	0.592
ˈo	ˈa	0.12
ˈo	ˈɔ	0.492
i	i	0.63
r	r	0.553
ɫ	d_w	0.123
a	ˈɔ	0.144
ˈi	ˈi	0.854
ˈɵ	ˈa	0.904
a	ˈa	0.105
æ	e	0.15
ˈɨ	ɨ	0.145
ˈɨ	ˈɨ	0.855
a	-	0.06
æ	ɛ	0.226
æ	ˈe	0.396
ʦʲ	ɕ	0.846
ˈi	i	0.146
ˈɵ	ˈɔ	0.096
a	ɔ	0.317
i	-	0.37
ɫ	w	0.877
ˈe	ˈe	0.27
ˈo	ˈɛ	0.277
a	ˈɛ	0.18
w	j	0.258
æ	ˈɪ	0.228
ʣʲ	d	0.088
ˈe	ˈa	0.138
r	-	0.079
r	ʂ	0.089
r	rʲ	0.279
x	x	0.379
ɣ	ɡ	0.959
ˈa	ˈa	0.289
