Bulgarian	Bulgarian	probability
ˈ_r	̂	1.0
ˈ_#>	#>	1.0
ʧ	ʧ	1.0
ʦʲ	ʦ	1.0
ʦ	ʦ	1.0
ʒ̊	ʒ̊	1.0
ʒ	ʒ	1.0
ʃ	ʃ	1.0
ɫ_#>	l_#>	1.0
ɡ̊	ɡ̊	1.0
ɡ	ɡ	1.0
ɛ_m	a_n	1.0
ɐ_#>	a_#>	1.0
z	z	1.0
x	x	1.0
v	ʋ	1.0
u_ˈ	uː_̂	1.0
t	t	1.0
s	s	1.0
r_ɤ	r̩_̂	1.0
r_#>	r_#>	1.0
p	p	1.0
o_#>	o_#>	1.0
o	o	1.0
nʲ	n_iː	1.0
mʲ	m	1.0
m	m	1.0
lʲ	l	1.0
l	l	1.0
k_#>	#>	1.0
j_ɐ	t_i	1.0
j	j	1.0
i	iː	1.0
f_#>	ʋ_#>	1.0
d̥	d̥	1.0
dʲ	-	1.0
d	d	1.0
b̥	b̥	1.0
bʲ	-	1.0
b	b	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_p	<#	1.0
<#_n	<#_n	1.0
<#	<#_j	1.0
k	k	0.926
r	r	0.889
ɫ	l	0.867
n	n	0.824
ˈ	-	0.769
a_ˈ	a_̂	0.714
ˈ_ɫ	̂	0.667
ɤ_ˈ	uː_̂	0.667
ɔ	o	0.667
ɔ_ˈ	o_̂	0.6
ɤ	-	0.545
ɐ	a	0.5
vʲ	ʋ_iː	0.5
vʲ	ʋ	0.5
u	uː	0.5
u	u_̂	0.5
ɛ	e	0.485
ɛ_ˈ	e_̂	0.462
ɔ_ˈ	oː_̂	0.4
a	i_̂	0.375
ˈ_ɫ	̌	0.333
ɤ_ˈ	uː	0.333
ɔ	oː	0.333
i_ˈ	iː_̂	0.333
i_ˈ	i_̂	0.333
ɛ_ˈ	eː_̂	0.308
ɤ	r̩	0.273
a	aː_̂	0.25
ɛ_ˈ	i_̂	0.231
ɐ	aː	0.208
i_ˈ	i	0.2
a	iː	0.188
a	aː_̌	0.188
ɤ	uː	0.182
a_ˈ	a	0.179
n	ɲ	0.176
ɛ	-	0.152
ɫ	-	0.133
i_ˈ	iː_̌	0.133
ɐ	-	0.125
r	r̩_̂	0.111
a_ˈ	̂	0.107
ɛ	iː	0.091
ɛ	eː	0.091
ɐ	uː	0.083
ɐ	t_i	0.083
ˈ	o_̂	0.077
ˈ	e_̂	0.077
ˈ	a_̂	0.077
k	-	0.074
ɛ	i	0.061
ɛ	e_̂	0.061
ɛ	a	0.061
