Upper Sorbian	Kashubian	probability
a	a	1.0
b	b	1.0
d	d	1.0
e	ˈɛ	1.0
j	j	1.0
k	k	1.0
kʲ	ʧ	1.0
mʲ	m_j	1.0
n	n	1.0
p	p	1.0
pʲ	p_j	1.0
s	s	1.0
t	t	1.0
w	w	1.0
z	z	1.0
ɪ	i	1.0
ɲ	ɲ	1.0
ʀʲ	ʐ	1.0
ʃ	ʃ	1.0
ʒ	ʒ	1.0
ʤ	ʣ	1.0
ʦ	ʦ	1.0
ˈu	ˈõ	1.0
ˈɪ	ˈə	1.0
β	v	1.0
m	m_ə	0.111
ɛ	e	0.51
ˈi	ˈə	0.81
ˈo	ˈu	0.661
ˈɔ	u̯ˈɛ	0.421
ˈɛ	ˈe	0.251
x	x	0.802
ɔ	u̯ɛ	0.232
ɥ	v	0.102
ʀ	r	0.992
ˈa	ˈa_ŋ	0.22
l	-	0.103
i	ə	0.524
ɔ	u̯ˈɛ	0.064
ˈe	ˈɞ	0.14
ˈɛ	ˈɛ	0.404
ɔ	ɛ	0.155
ɦ	ɡ	0.965
ʧ	ʧ	0.215
ˈe	ˈa	0.475
ˈɛ	a	0.345
i	i	0.476
ʧ	ŋ_ʦ	0.146
ˈa	ˈa	0.346
ˈɔ	ˈɛ	0.106
l	l	0.897
ˈa	ˈɛ	0.057
ˈa	ˈɞ	0.377
ˈe	ˈe	0.067
ˈɔ	ˈɞ	0.167
x	k	0.198
ʧ	ʦ	0.638
ˈe	ˈɛ	0.318
m	m	0.889
ɔ	ɔ	0.549
ɛ	ɛ	0.49
ɥ	f_j	0.199
ɥ	v_j	0.699
ˈi	ˈi	0.19
ˈo	ˈɔ	0.339
ˈɔ	ˈɔ	0.259
