Saterland Frisian	Saterland Frisian	probability
ˈʊ_x	ç	1.0
ˈɛː_x	ˈɪ_ɡ̊	1.0
ˈɛː	-	1.0
ˈɛɪ̯_t	ˈiː_s	1.0
ˈœː	ˈeː	1.0
ˈøː	ˈaʊ̯	1.0
ˈyː	ˈaɪ̯	1.0
ˈu	-	1.0
ˈoːu̯_d	ˈɔ	1.0
ˈoː_n	ˈeː	1.0
ˈoː_k	ˈaː_x	1.0
ˈoː_d	ˈuː_d̥	1.0
ˈiːu̯	ˈeː	1.0
ˈiː_r	ɐ	1.0
ˈi_#>	ˈiː_ɐ_#>	1.0
ˈaːu̯	-	1.0
ˈaːi̯	-	1.0
ɪ	-	1.0
ɣ_ə	ŋ	1.0
ɣ_j	ŋ	1.0
ɡ	ɡ̊	1.0
ə_r	ɐ	1.0
ŋ	ŋ	1.0
x_t	x_d̥	1.0
w	m	1.0
s_t	ʃ_d̥	1.0
s_l	ʃ_l	1.0
s_k	ʃ	1.0
p_#>	f_#>	1.0
n_d	n	1.0
m	m	1.0
l_d	l_d̥	1.0
l_#>	l_#>	1.0
l	l	1.0
k_ˈɛː	ˈa	1.0
k_ˈoː	ɡ̊_ˈɒ	1.0
k_ə	x	1.0
j_ˈʊ	ˈɪ	1.0
j_ˈuː	ˈaɪ̯	1.0
j_ˈoː	ˈiː	1.0
i	eː	1.0
h	h	1.0
b	b̥	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_j	<#_j	1.0
<#	<#_ˈɒ	1.0
d	d̥	0.949
f	f	0.88
k	ɡ̊	0.875
v	v	0.794
ɣ	ɡ̊	0.727
j	-	0.714
s	s	0.7
ˈɪ	ˈɪ	0.692
t_ə	z̥_n	0.667
k_#>	ç_#>	0.667
n	n	0.65
ˈɔ	-	0.625
ˈʊ	ˈʊ	0.615
z	s	0.6
l_ə	l	0.6
#>	b̥_#>	0.6
ˈi	ˈaɪ̯	0.583
ˈa	ˈɒ	0.571
d_ə	d̥_n	0.571
ˈiː	ˈɪ	0.533
ˈɛ	ˈɛ	0.5
ˈoːu̯	ˈuː	0.474
ˈeː	ˈaː	0.471
x	ç	0.455
p	b̥͡v̥	0.444
r	ɐ	0.442
r	r	0.442
ˈa	ˈɛ	0.429
d_ə	d̥	0.429
t	d̥	0.405
z	-	0.4
l_ə	l_n	0.4
#>	n_#>	0.4
ˈɔː	ˈɒ	0.389
ˈɔ	ˈɔ	0.375
ˈoː	ˈaː	0.375
t	ʦ	0.357
ə	a	0.346
ə	-	0.346
ˈuː	ˈaʊ̯	0.333
ˈaː	ˈɒ	0.333
ˈaː	ˈaː	0.333
ˈaː	-	0.333
t_ə	z̥	0.333
p	f	0.333
k_#>	#>	0.333
ˈeː	-	0.294
ˈuː	ˈʊ	0.286
ˈuː	-	0.286
j	ˈiː	0.286
ˈɔː	-	0.278
ɣ	-	0.273
ˈɛɪ̯	ˈaɪ̯	0.267
ˈɛ	ˈoː	0.25
ˈɛ	-	0.25
ˈi	ˈiː	0.25
s	ʃ	0.25
ˈeː	ˈɛ	0.235
ˈʊ	ˈɔ	0.231
ə	n	0.231
p	v̥	0.222
t	s	0.214
ˈoːu̯	ˈɔ	0.211
ˈoːu̯	ˈɒ	0.211
ˈɛɪ̯	ˈoː	0.2
ˈɛɪ̯	ˈiː	0.2
ˈɛɪ̯	-	0.2
ˈiː	ˈaɪ̯	0.2
n	-	0.2
ˈoː	ˈuː	0.188
ˈoː	ˈoː	0.188
x	ɡ̊	0.182
x	x	0.182
x	-	0.182
ˈɔː	ˈoː	0.167
ˈi	-	0.167
ˈʊ	-	0.154
ˈɪ	ˈiː	0.154
ˈɪ	-	0.154
ˈɛɪ̯	ˈɛ_ɐ	0.133
ˈiː	ˈɛ	0.133
ˈiː	ˈoː	0.133
ˈoː	ˈɒ	0.125
ˈoː	-	0.125
k	x	0.125
f	b̥	0.12
v	-	0.118
ˈɔː	ˈɔ	0.111
ˈoːu̯	ˈoː	0.105
ˈuː	ˈaɪ̯	0.095
v	β	0.088
r	ɾ_ɐ	0.07
ˈɔː	ˈɒː	0.056
d	-	0.051
