Icelandic	Old English	probability
a	ɑ	0.582
a	e	0.254
a	i_ɑ	0.069
a	-	0.063
aːu̯	iːy̯	1.0
b̥	b	0.969
c	ʧ	0.339
c	-	0.305
c	k	0.263
c	ʃː	0.093
cʰ	k	0.767
cʰ	ʧ	0.233
d̥	d	0.981
f	f	1.0
h	h	1.0
i	e	1.0
j	-	0.49
j	ˈeːo̯	0.325
j	ˈeo̯	0.092
k	k	0.475
k	ʧ	0.24
k	-	0.175
k	d	0.065
kʰ	k	0.51
kʰ	ʍ	0.287
kʰ	ʧ	0.204
l	l	0.707
l	ɫ	0.245
l̥	ɫ	0.614
l̥	l	0.211
l̥	l̥	0.175
m	m	0.929
n	n	0.95
nː	nː	0.449
nː	d	0.243
nː	θ	0.157
nː	ð	0.152
n̥	n	0.472
n̥	-	0.44
n̥	r	0.088
p	p	0.825
p	m	0.126
r	r	0.962
rː̥	rː	0.905
rː̥	j	0.095
r̥	-	0.721
r̥	r	0.255
s	s	0.767
s	ʃ	0.112
s	-	0.08
sː	s	1.0
t	t	0.724
t	-	0.222
tʰ	t	0.94
tʰ	b	0.06
u	i	0.5
u	j	0.5
v	w	0.503
v	v	0.289
v	f	0.103
x	-	0.679
x	ʧ	0.321
ç	h	1.0
ð	d	0.586
ð	θ	0.161
ð	nː	0.067
ð	ð	0.064
ð	t	0.056
ŋ	ŋ	0.673
ŋ	n	0.268
ŋ	-	0.059
ɑu̯	i	1.0
ɛ	eo̯	1.0
ɛː	iː	1.0
ɟ̊	ɡ	0.447
ɟ̊	j	0.446
ɟ̊	ɣ	0.108
ɟ̊ː	ʤ	1.0
ɡ̊	ɡ	0.565
ɡ̊	j	0.232
ɡ̊	-	0.135
ɡ̊	ɣ	0.067
ɡ̊ː	ʤ	0.801
ɡ̊ː	j	0.199
ɣ	j	0.47
ɣ	ɣ	0.47
ɪ	e	0.262
ɪ	o	0.26
ɪ	ɑ	0.247
ɪ	-	0.121
ɪ	a	0.089
ɲ	ŋ	1.0
ʏ	-	0.786
ʏ	e	0.123
ʰc	ʧː	1.0
ʰk	ŋ_k	0.61
ʰk	kː	0.35
ʰp	pː	0.674
ʰp	p	0.326
ʰt	x	0.405
ʰt	t	0.337
ʰt	ç	0.259
ˈa	ˈæɑ̯	0.482
ˈa	ˈɑ	0.325
ˈa	ˈoː	0.051
ˈai̯	ˈeːo̯	0.53
ˈai̯	ˈyː	0.338
ˈai̯	ˈeː	0.131
ˈau̯	ˈɑː	0.494
ˈau̯	ˈɛ	0.247
ˈau̯	ˈæɑ̯	0.198
ˈau̯	ˈe	0.061
ˈaː	ˈæ	0.451
ˈaː	ˈɑ	0.434
ˈaː	ˈæː	0.069
ˈaːi̯	ˈeː	0.628
ˈaːi̯	ˈiy̯	0.129
ˈaːi̯	ˈe	0.126
ˈaːi̯	ˈoː	0.117
ˈaːu̯	ˈɑː	0.382
ˈaːu̯	ˈoː	0.375
ˈaːu̯	ˈæːɑ̯	0.243
ˈeːi̯	ˈiːy̯	0.906
ˈeːi̯	ˈɑː	0.094
ˈi	ˈi	0.804
ˈi	ˈo	0.155
ˈiː	ˈiː	0.395
ˈiː	ˈiːy̯	0.198
ˈiː	ˈuː	0.141
ˈiː	ˈeːo̯	0.115
ˈiː	ˈi	0.086
ˈou̯	ˈy	0.734
ˈou̯	ˈo	0.176
ˈou̯	ˈe	0.09
ˈoːu̯	-	0.339
ˈoːu̯	w	0.336
ˈoːu̯	ˈoː	0.237
ˈu	ˈu	0.874
ˈu	ˈeː	0.063
ˈu	ˈi	0.063
ˈuː	ˈuː	0.528
ˈuː	-	0.425
ˈœ	ˈe	0.333
ˈœ	ˈeo̯	0.333
ˈœ	ˈɑ	0.186
ˈœ	ˈæ	0.074
ˈœy̯	ˈæːɑ̯	1.0
ˈœː	o	0.542
ˈœː	ˈɑː	0.196
ˈœː	ˈe	0.142
ˈœː	ˈæːɑ̯	0.12
ˈœːy̯	ˈæːɑ̯	1.0
ˈɑu̯	ˈæɑ̯	0.471
ˈɑu̯	ˈɑ	0.446
ˈɑu̯	ˈi	0.083
ˈɑːu̯	ˈæːɑ̯	0.578
ˈɑːu̯	ˈæː	0.184
ˈɑːu̯	n	0.133
ˈɑːu̯	ˈoː	0.092
ˈɔ	ˈo	0.773
ˈɔ	w	0.074
ˈɔ	ˈuː	0.065
ˈɔ	ˈy	0.053
ˈɔu̯	ˈeo̯	0.533
ˈɔu̯	ˈi	0.273
ˈɔu̯	ˈoː	0.144
ˈɔː	ˈu	0.751
ˈɔː	ˈæː	0.249
ˈɛ	ˈe	0.273
ˈɛ	ˈeo̯	0.234
ˈɛ	-	0.13
ˈɛ	ˈi	0.093
ˈɛ	ˈɛ	0.086
ˈɛ	ˈæ	0.073
ˈɛi̯	ˈɑː	1.0
ˈɛː	ˈeː	0.503
ˈɛː	ˈe	0.131
ˈɛː	ˈɑ	0.122
ˈɛː	ˈi	0.065
ˈɛː	w	0.06
ˈɛː	ˈiy̯	0.059
ˈɛːi̯	ˈɑː	0.51
ˈɛːi̯	ˈæːɑ̯	0.173
ˈɛːi̯	ˈiːy̯	0.17
ˈɛːi̯	ˈe	0.082
ˈɛːi̯	ˈeː	0.064
ˈɪ	ˈi	0.543
ˈɪ	ˈo	0.187
ˈɪ	ˈy	0.144
ˈɪ	ˈiː	0.087
ˈɪː	ˈi	0.598
ˈɪː	ˈeː	0.203
ˈɪː	ˈo	0.199
ˈʏ	ˈu	0.694
ˈʏ	ˈuː	0.163
ˈʏ	ˈy	0.095
ˈʏː	ˈu	0.562
ˈʏː	ˈeːo̯	0.221
ˈʏː	ˈyː	0.079
ˈʏː	ˈo	0.071
ˈʏː	ˈeo̯	0.067
θ	θ	0.884
θ	-	0.091
