Northern Low Saxon	Gothic	probability
h	h	1.0
i	j	1.0
j	ɡ	1.0
k	k	1.0
s	s	1.0
tʰ	t	1.0
ɪ	a	1.0
ʒ	j	1.0
ˈø	ˈɛ	1.0
ˈɔː	ˈɔ	1.0
ˈɛː	j	1.0
m	m	0.601
ɐ	oː	0.081
ʃ	i_s	0.051
ˈa	ˈa	0.951
ˈaɪ̯	ˈa	0.091
ˈaɪ̯	ˈiu̯	0.31
ˈeː	ˈi	0.301
ˈøː	ˈu	0.611
ˈœː	ˈɛː	0.471
ˈʏ	ˈi	0.41
f	l_b	0.082
v	ʍ	0.132
ŋ	ɣ	0.272
ɐ	ˈuː	0.062
ɐ	a	0.242
ɐ	r	0.372
ɡ	k	0.692
ˈaɪ̯	w	0.052
ˈaʊ̯	ˈa	0.162
ˈaʊ̯	ˈoː	0.332
ˈaː	ˈɛ	0.322
ˈiː	ˈi	0.132
ˈɔ	ˈɔː	0.112
ˈɔʏ̯	ˈoː	0.112
ˈɪ	ˈɛː	0.142
b	p	0.223
f	f	0.873
l	l	0.893
m	a	0.073
m	β	0.263
x	x	0.203
x	ɡ	0.203
ç	x	0.693
ˈaɪ̯	ˈɛ	0.193
ˈuː	ˈoː	0.383
ˈøː	ˈi	0.223
ˈœ	ˈa	0.333
ˈœ	ˈɔ	0.333
ˈœ	ˈi	0.333
ˈʊ	ˈuː	0.093
z	s	0.944
ç	h	0.074
ç	ɡ	0.234
ŋ	ŋ	0.504
ʃ	z	0.094
ˈeː	ˈa	0.144
ˈɛ	ˈɛ	0.154
ˈɪ	ˈiː	0.084
ˈʏ	ˈuː	0.134
d	t	0.255
kʰ	k	0.955
t	d	0.115
t	t	0.885
ʃ	s	0.855
ˈaɪ̯	ˈɛː	0.345
ˈaʊ̯	ˈɔ	0.25
ˈeɪ̯	ˈi	0.655
ˈeː	ˈiu̯	0.195
ˈyː	ˈoː	0.345
ˈyː	ˈiu̯	0.655
ˈɛɪ̯	ˈɛ	0.475
ˈɛɪ̯	ˈɛː	0.525
d	r_t	0.066
v	w	0.836
x	ɣ	0.076
z	-	0.056
ŋ	ɡ	0.086
ɐ	-	0.126
ˈeɪ̯	ˈɛː	0.176
ˈeː	ˈu	0.36
ˈoː	ˈi	0.06
ˈoː	ˈeː	0.356
ˈøː	ˈɔː	0.166
ˈɔ	ˈɔ	0.166
ˈɔ	ˈu	0.436
ˈɪ	ˈa	0.076
ˈɪ	ˈi	0.656
ˈʏ	ˈu	0.066
ˈiː	ˈiː	0.77
ˈoː	ˈa	0.367
ˈuː	ˈu	0.147
ˈuː	ˈuː	0.437
ˈɔ	ˈa	0.157
ˈʊ	ˈu	0.907
b	b	0.708
d	d	0.278
d	θ	0.328
l	lː	0.068
r	r	0.978
ɡ	ɡ	0.308
ˈaʊ̯	ˈiu̯	0.068
ˈaʊ̯	ˈɔː	0.188
ˈaː	ˈa	0.678
ˈoː	ˈɔː	0.148
ˈɔ	ˈiu̯	0.128
ˈɔʏ̯	ˈɔː	0.888
ˈɛ	ˈi	0.148
ˈɛ	ˈa	0.698
n	n	0.929
x	h	0.519
ŋ	h	0.139
ˈeɪ̯	iː	0.169
ˈiː	j	0.089
ˈœː	nː	0.529
ˈʏ	j	0.39
