English	East Low German	probability
b	b	1.0
d	d	0.58
d	t	0.332
d	-	0.088
f	f	0.958
h	h	1.0
j	j	0.498
j	ˈiː	0.196
j	ˈoː	0.153
j	ˈɛː	0.153
k	k	0.969
kʰ	kʰ	0.924
kʰ	-	0.076
l	l	1.0
m	m	0.952
n	n	0.935
p	p	0.927
p	b	0.073
pʰ	pʰ	1.0
s	z	0.472
s	s	0.351
s	ʃ	0.177
t	t	0.793
t	x_t	0.071
t	ç	0.069
tʰ	tʰ	0.962
v	m	0.715
v	f	0.261
w	v	0.802
w	w	0.113
w	-	0.074
z	s	0.592
z	n	0.241
z	z	0.167
ð	ɾ	0.759
ð	d	0.139
ð	-	0.102
ŋ	ŋ	0.858
ŋ	ɪ	0.142
ə	æ	0.838
ə	-	0.162
əʊ̯	-	0.5
əʊ̯	n	0.5
ɜː	ˈʏ	1.0
ɡ	ɡ	0.706
ɡ	j	0.189
ɡ	-	0.106
ɪ	ɪ	0.567
ɪ	-	0.216
ɪ	æ	0.146
ɪ	ˈɛ	0.071
ɫ	l	0.821
ɫ	ɡ_l	0.127
ɫ	-	0.052
ɹ	r	0.88
ɹ	-	0.12
ʃ	ʃ	1.0
ʤ	ç	0.654
ʤ	k	0.346
ʧ	kʰ	0.515
ʧ	k	0.434
ʧ	ç	0.051
ˈaɪ̯	ˈɪ	0.326
ˈaɪ̯	ˈiː	0.306
ˈaɪ̯	ˈae̯	0.09
ˈaɪ̯	ˈaʊ̯	0.058
ˈaɪ̯	ˈɛː	0.057
ˈaʊ̯	ˈuː	0.627
ˈaʊ̯	ˈʊ	0.194
ˈaʊ̯	ˈaʊ̯	0.087
ˈaʊ̯	ˈɒː	0.056
ˈe	ˈɛ	0.305
ˈe	ˈae̯	0.175
ˈe	ˈɪ	0.088
ˈe	ˈaʊ̯	0.078
ˈe	ˈɛː	0.076
ˈe	ˈʏ	0.073
ˈe	ˈœ	0.058
ˈeɪ̯	ˈɒː	0.449
ˈeɪ̯	ˈɛ	0.303
ˈeɪ̯	ˈa	0.151
ˈeɪ̯	ˈaː	0.058
ˈiː	ˈɔʏ̯	0.226
ˈiː	ˈae̯	0.172
ˈiː	ˈaʊ̯	0.141
ˈiː	ˈiː	0.093
ˈiː	ˈɒː	0.077
ˈiː	ˈuː	0.065
ˈiː	ˈɛː	0.058
ˈuː	ˈaʊ̯	0.345
ˈuː	æ	0.217
ˈuː	ˈae̯	0.14
ˈuː	-	0.117
ˈuː	ˈɛː	0.092
ˈæ	ˈa	0.876
ˈæ	ˈaː	0.102
ˈɐ	ˈʊ	0.372
ˈɐ	ˈɒː	0.14
ˈɐ	ˈɔ	0.111
ˈɐ	ˈuː	0.11
ˈɐ	ˈœː	0.07
ˈɐ	ˈʏ	0.061
ˈɐ	ˈaʊ̯	0.053
ˈɑː	ˈaː	0.395
ˈɑː	ˈa	0.388
ˈɑː	æ	0.179
ˈɒ	ˈa	0.381
ˈɒ	ˈɔ	0.359
ˈɒ	ˈae̯	0.13
ˈɒ	ˈʊ	0.13
ˈɔː	ˈuː	0.6
ˈɔː	ˈaː	0.124
ˈɔː	ˈɒː	0.078
ˈɔː	ˈɔ	0.078
ˈɔː	ˈa	0.072
ˈəʊ̯	ˈae̯	0.495
ˈəʊ̯	ˈɔ	0.118
ˈəʊ̯	ˈaʊ̯	0.084
ˈəʊ̯	ˈɪ	0.084
ˈəʊ̯	ˈeː	0.081
ˈəʊ̯	ˈœː	0.057
ˈɛ	ˈoː	0.375
ˈɛ	ˈaɪ̯	0.282
ˈɛ	ˈʏ	0.183
ˈɛ	ˈɒː	0.16
ˈɜː	æ	0.678
ˈɜː	ˈoː	0.199
ˈɜː	ˈœ	0.123
ˈɪ	ˈɪ	0.463
ˈɪ	ˈʏ	0.16
ˈɪ	ˈiː	0.083
ˈɪ	ˈøː	0.058
ˈɪ	ˈɛ	0.055
ˈɪ	ˈae̯	0.053
ˈʊ	ˈaʊ̯	0.514
ˈʊ	ˈʊ	0.486
θ	d	0.921
θ	-	0.079
