West Flemish	Afrikaans	probability
b	b	1.0
d	d	0.858
d	-	0.142
f	f	0.954
h	χ	0.76
h	k	0.22
j	j	0.64
j	ˈəɪ̯	0.36
k	k	0.986
l	ɫ	1.0
m	m	0.878
m	ŋ	0.122
n	n	0.738
n	ə	0.165
n	t	0.065
p	p	0.972
s	s	1.0
t	t	0.976
v	f	0.825
v	v	0.144
w	ɫ	0.867
w	w	0.133
z	s	0.922
z	ɦ	0.078
ç	χ	1.0
ŋ	ŋ	0.744
ŋ	ŋ_ə	0.256
ə	ə	0.943
ɦ	χ	0.849
ɦ	-	0.114
ɪ	ə	1.0
ɾ	r	0.996
ʃ	s	1.0
ʋ	v	0.663
ʋ	w	0.272
ˈeː	ˈɪə̯	0.798
ˈeː	ˈəɪ̯	0.202
ˈi	ˈəɪ̯	0.846
ˈi	ˈœi̯	0.154
ˈiə̯	ˈi	0.769
ˈiə̯	ˈyː	0.126
ˈiə̯	ˈəɪ̯	0.057
ˈoː	ˈʊə̯	0.941
ˈu	ˈɔ	0.71
ˈu	ˈœu̯	0.29
ˈuə̯	ˈu	0.705
ˈuə̯	ˈɔ	0.117
ˈuə̯	ˈuː	0.103
ˈuə̯	ˈuːi̯	0.075
ˈyː	ˈœɪ̯	0.892
ˈyː	ˈəɪ̯	0.108
ˈæ	ˈæː	0.323
ˈæ	ˈɛ	0.314
ˈæ	ˈa	0.201
ˈæ	ˈæ	0.161
ˈøː	ˈʊə̯	0.512
ˈøː	ˈɪø̯	0.488
ˈœ	ˈɔ	0.448
ˈœ	ˈœ	0.317
ˈœ	ˈə	0.117
ˈœ	ˈəɪ̯	0.117
ˈɑ	ˈa	1.0
ˈɒː	ˈɑː	0.924
ˈɒː	ˈa	0.052
ˈɔ	ˈɔ	0.551
ˈɔ	ˈɔː	0.239
ˈɔ	ˈa	0.113
ˈɔ	ˈɑː	0.06
ˈɛ	ˈə	0.627
ˈɛ	ˈɛ	0.172
ˈɛ	ˈəɪ̯	0.144
ˈɛ	ˈɛː	0.057
ˈɛː	ˈɪə̯	0.591
ˈɛː	ˈɪø̯	0.212
ˈɛː	ˈɑː	0.147
ˈɪ	ˈə	0.738
ˈɪ	ˈɛ	0.112
ˈɪ	-	0.087
ˈɪ	ˈœ	0.063
ˈʏ	ˈœ	1.0
