Neapolitan	Neapolitan	probability
ˈɛ_#>	j_#>	1.0
ˈɛ	ˈɛ	1.0
ˈɔ_v	ˈɛ_f	1.0
ˈɔ_k	ˈɛ_k	1.0
ˈu_j	ˈo_s	1.0
ˈi_ʎː	ˈi	1.0
ˈa_#>	ˈe_#>	1.0
ʧ	w_ʃ	1.0
ʦː	ʦ	1.0
ʤ	ʒ	1.0
ʎː	j	1.0
ɾ_ə_#>	#>	1.0
ɾ_t	r_t	1.0
ɾ_n	r_n	1.0
ɲː	ɲ	1.0
ɲ	ɲ	1.0
ə_ɾ	d_e	1.0
ŋ	ŋ	1.0
z	s	1.0
w_ˈɔ	ˈɔ	1.0
w_ə	a	1.0
w	w	1.0
v_ə_#>	f_#>	1.0
u	o	1.0
tː	t	1.0
t_ɾ	r_e	1.0
sː	s	1.0
rː	r	1.0
r	r	1.0
nː	n	1.0
n	n	1.0
mː	m	1.0
m	m	1.0
lː	l	1.0
l	l	1.0
kː_ə	ʨ_a	1.0
kː_j	d_l	1.0
kː	-	1.0
k_ə_#>	k_#>	1.0
k_w	k	1.0
k_j	p_l	1.0
j_ˈɛ	ˈɛ	1.0
f	f	1.0
dː	j_t	1.0
d_ə	t	1.0
d	d	1.0
b	b	1.0
a_w	u	1.0
<#_ˈa	<#_ˈa	1.0
<#_v	<#	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_j	<#	1.0
<#	<#_d	1.0
ə_#>	#>	0.976
a	a	0.875
p	p	0.806
s	s	0.8
v	v	0.773
t	t	0.724
ɡ	ɡ	0.714
ɾ	r	0.7
ə	a	0.676
ʤː	-	0.667
ˈa	ˈa	0.63
o	-	0.6
#>	r_#>	0.6
ˈi	ˈi	0.594
ˈɔ	ˈɔ	0.571
ʃː	-	0.571
j	j	0.571
ˈe	ˈe	0.5
k	k	0.484
ʃː	ʃ	0.429
i	e	0.429
ʃ	ʃ	0.423
k	ʨ	0.419
ˈo	ˈo	0.417
ˈu	ˈu	0.406
ˈi	ˈe	0.406
o	o	0.4
#>	ˈe_#>	0.4
i	-	0.357
ˈo	ˈe	0.333
ʤː	ʤ	0.333
ˈu	ˈo	0.312
ˈe	ˈe_j	0.312
ˈa	ˈɛ	0.304
ɡ	k	0.286
j	l	0.286
t	d	0.276
ˈo	ˈo_w	0.25
ə	e	0.235
ʃ	ʨ	0.231
v	b	0.227
i	i	0.214
ˈɔ	w_ˈɛ	0.19
ˈe	-	0.188
ʃ	ʧ	0.154
ˈɔ	w	0.143
j	ˈɛ	0.143
p	v	0.129
ˈu	ˈo_w	0.125
a	-	0.125
ʃ	f_l	0.115
ɾ	d	0.1
k	-	0.097
ˈɔ	ˈo	0.095
ˈu	-	0.094
s	ʒ	0.08
s	-	0.08
ʃ	ʦ	0.077
ɾ	j	0.075
ɾ	-	0.075
ˈa	ˈe	0.065
p	f	0.065
ˈu	ˈɔ	0.062
