Štokavian	Kashubian	probability
ʦ	ʦ	1.0
ʎ	l	1.0
z	z	1.0
x	x	1.0
û	w	1.0
t_i	ʦ	1.0
s_#>	s_#>	1.0
s	s	1.0
m	m	1.0
l_j	l	1.0
j_êː	ˈa	1.0
îː	ˈə	1.0
î	ˈi	1.0
iː	i	1.0
i	ə	1.0
eː	a_ŋ	1.0
e	ɛ	1.0
b_#>	p_#>	1.0
b	b	1.0
ǎː	ˈɔ	1.0
â	ˈɛ	1.0
a_m	m_ə	1.0
<#_j	<#_j	1.0
#>	i_#>	1.0
k	k	0.895
ô	u̯ˈɛ	0.714
n	n	0.714
p	p	0.7
ʋ	v	0.667
ɡ	ɡ	0.667
ǒ	u̯ˈɛ	0.667
l	w	0.667
a	a	0.667
d	d	0.65
j	j	0.643
r	r	0.632
êː	ˈa	0.6
t	t	0.583
ʒ	ʒ	0.5
ʒ	ʃ	0.5
ûː	ˈɞ_w	0.5
ûː	ˈõ	0.5
o	ɔ	0.5
ě	ˈɛ	0.5
ě	ˈɔ	0.5
ê	ˈɛ	0.444
ôː	ˈu	0.429
t	ʦ	0.417
êː	ˈɛ	0.4
o	u̯ɛ	0.357
j	-	0.357
ǒ	ˈɔ	0.333
l	l	0.333
ěː	ˈɞ	0.333
ěː	ˈe	0.333
ěː	ˈa_ŋ	0.333
ê	ˈa	0.333
p	p_j	0.3
ôː	ˈɔ	0.286
ôː	u̯ˈɛ	0.286
ô	ˈɛ	0.286
n	ɲ	0.286
r	ʐ	0.263
d	ʣ	0.25
ê	ˈe	0.222
a	-	0.222
ɡ	k	0.2
ʋ	v_j	0.167
ʋ	f	0.167
o	w	0.143
ɡ	ʤ	0.133
a	ɛ	0.111
r	ˈa	0.105
k	i	0.105
d	t	0.1
