French	French	probability
ʃ_#>	k_ə_#>	1.0
ʁ_i	r_ˈi	1.0
ɛ_ʁ	ˈa_t	1.0
ə_n	e_n	1.0
ɔ_ʁ	ˈo_r	1.0
z	-	1.0
w_a	ˈe	1.0
p	p	1.0
n_#>	n_ə_#>	1.0
n	n	1.0
m	m	1.0
k_ʁ	k_r	1.0
i_#>	ˈi_k_#>	1.0
e_p	s_p	1.0
e_k	s_k	1.0
b	b	1.0
a_#>	#>	1.0
<#_ʁ	<#_r	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_i	<#_j	1.0
<#_a	<#	1.0
t	t	0.882
ʃ	k	0.818
ɡ	ɡ	0.8
f	f	0.769
ʁ	r	0.758
y	ˈu	0.714
l_#>	r_#>	0.714
e	ˈa_r	0.588
i	ˈi	0.577
v	v	0.565
#>	e_#>	0.548
d	d	0.529
ʒ	ʤ	0.5
ɥ	ˈo	0.5
ɥ	-	0.5
ɛ̃	ˈi_n	0.5
ə	ə	0.5
ə	-	0.5
œ	ˈo	0.5
s	s	0.471
ɔ̃	ˈu	0.462
u	ˈu	0.444
l	l	0.429
k	k	0.429
o	ˈa_l	0.385
w	-	0.375
j	j	0.375
ɔ	u	0.353
ɑ̃	ˈɨ_n	0.333
ø	ˈo_k	0.333
ø	kʲ	0.333
ø	-	0.333
l	-	0.333
<#	<#_ˈa	0.333
<#	<#_j	0.333
<#	<#_a	0.333
ɛ̃	ˈɨ	0.312
w	ˈe	0.312
ɔ̃	ˈu_n	0.308
œ	o̯ˈa	0.3
ɛ	ˈa	0.297
ʒ	-	0.286
y	ˈu_p	0.286
l_#>	#>	0.286
u	u	0.278
a	-	0.276
a	ˈa	0.241
l	r	0.238
ɔ	o̯ˈa	0.235
s	ʧ	0.235
d	z	0.235
ɔ̃	-	0.231
o	ˈo_s	0.231
o	ˈe_l	0.231
#>	ə_#>	0.226
v	-	0.217
ʒ	ʒ	0.214
k	k_o̯ˈa	0.214
k	-	0.214
ɡ	-	0.2
œ	ˈu	0.2
ɛ̃	n	0.188
w	e_d	0.188
j	ˈo	0.188
j	e	0.188
ʃ	k_ə	0.182
ɔ	ˈo	0.176
e	r	0.176
u	ˈo_j	0.167
ɛ	ˈe	0.162
ʁ	e_r	0.161
o	-	0.154
f	w	0.154
s	ʃ	0.147
k	ʧ	0.143
a	e	0.138
ɛ	-	0.135
ɑ̃	ˈi_m	0.133
ɑ̃	ɨ_n	0.133
ɑ̃	n_t	0.133
ɑ̃	n	0.133
ɑ̃	-	0.133
v	p	0.13
w	e̯ˈa	0.125
j	ˈe	0.125
j	-	0.125
ɔ	ˈu	0.118
ɔ	o	0.118
t	ʦ	0.118
e	ˈa_s	0.118
e	ˈa	0.118
d	ʒ	0.118
d	n_e	0.118
i	ˈe	0.115
i	j	0.115
i	-	0.115
u	ˈo	0.111
a	ˈə	0.103
a	ˈe	0.103
s	ʦ_ə	0.088
v	z_b	0.087
ɛ	ˈa_p	0.081
ɛ	j_ˈe	0.081
ɛ	e̯ˈa	0.081
i	e	0.077
f	-	0.077
a	ˈa_k	0.069
a	ʤ_e	0.069
#>	t_#>	0.065
s	w	0.059
ɛ	ˈa_ʧ	0.054
ɛ	t_ˈi	0.054
ɛ	a	0.054
