Old High German	Swedish	probability
ˈɑ_h	ˈoː	1.0
ˈu_n	n	1.0
ˈie̯	ˈæː	1.0
ˈeː	-	1.0
ʦː	tː	1.0
ɛ_r	r	1.0
ɛ_h	ɔ	1.0
ə	a	1.0
ɑ_n	a	1.0
ŋ_ɡ	ŋː	1.0
ŋ_k	kː	1.0
ŋ	-	1.0
x_t	tː	1.0
w_ˈo	ˈɵ	1.0
u	-	1.0
tː	ˈeː	1.0
t_ˈio̯	j_ˈʉː	1.0
s_ˈuo̯	s_ˈøː	1.0
s_ɑ	s_a	1.0
s_t	s_t	1.0
s_k	ɧ	1.0
rː	rː	1.0
r_ʦ	ʈː	1.0
r_ɑ	r	1.0
r_t	ɖ	1.0
r_s	ʂ	1.0
r_n	ɳ	1.0
r	r	1.0
p͡f	pʰ	1.0
p	p	1.0
oː	a	1.0
ou̯	ˈøː	1.0
o	a	1.0
nː	nː	1.0
n_d	nː	1.0
mː	mː	1.0
lː	lː	1.0
l_ɑ	l	1.0
kː_ɑ	ɡː	1.0
kʰ	kʰ	1.0
k	k	1.0
i	-	1.0
fː	-	1.0
e_n	a	1.0
e	-	1.0
ˈɑː	ˈoː	0.874
h	h	0.859
l	l	0.852
s̻	t	0.851
ˈuo̯	ˈuː	0.785
n	n	0.784
ˈiː	ˈiː	0.776
s	s	0.758
xː	k	0.749
x	k	0.739
m	m	0.723
b	b	0.717
w	v	0.696
ˈiu̯	ˈyː	0.688
ʦ	tʰ	0.684
f	f	0.676
t	d	0.669
ˈei̯	ˈeː	0.668
eː	-	0.667
ˈoː	ˈøː	0.659
ˈuː	ˈʉː	0.656
ˈou̯	-	0.631
d	tʰ	0.622
ˈio̯	ˈʉː	0.608
ɡ	ɡ	0.605
s̻ː	t	0.593
ˈe	ˈɛ	0.59
ˈi	ˈɪ	0.559
ˈɑ	ˈa	0.54
kː	ɡː	0.5
kː	-	0.5
ˈe	-	0.41
s̻ː	tː	0.407
ˈio̯	ˈyː	0.392
ɑ	-	0.385
ˈu	ˈɵ	0.382
ˈou̯	ˈøː	0.369
ɑ	ɛ	0.356
ˈoː	ˈœː	0.341
eː	jː	0.333
ʦ	-	0.316
ˈiu̯	ˈʏ	0.312
ˈɛ	ˈɛ	0.308
w	-	0.304
m	mː	0.277
ˈɑ	ˈɑː	0.266
x	-	0.261
ˈɛ	-	0.259
ɑ	a	0.259
xː	kː	0.251
ˈo	ˈuː	0.243
ˈi	-	0.24
ˈuː	ˈɵ	0.226
ˈiː	-	0.224
t	-	0.216
ˈuo̯	ˈøː	0.215
b	v	0.201
d	-	0.193
ˈu	ˈɔ	0.192
ˈei̯	-	0.192
ˈo	ˈɵ	0.189
ɡ	j	0.186
d	d	0.186
ˈo	ˈɔ	0.178
s	ɧ	0.176
ˈɛ	ˈɛː	0.166
ˈo	ˈoː	0.162
ˈi	ˈiː	0.157
ˈɛ	ˈæ	0.152
s̻	-	0.149
ˈu	ˈʊ	0.148
h	j	0.141
ˈei̯	ˈɛ	0.14
ˈo	ˈœ	0.13
ˈɑː	-	0.126
f	p	0.126
ˈu	-	0.124
f	v	0.12
ˈuː	-	0.119
ˈɛ	ˈeː	0.116
l	j	0.113
ˈu	ˈʏ	0.11
ɡ	ŋ	0.108
ɡ	-	0.102
t	t	0.098
ˈo	ˈʉː	0.097
n	a	0.096
ˈɑ	ˈɛ	0.093
b	-	0.082
ˈɑ	ˈoː	0.069
s	sː	0.067
n	-	0.067
n	nː	0.054
