Aragonese	Sicilian	probability
ˈe_r	ʐː	1.0
ˈa_β	ˈa_p	1.0
ˈa_t_ɾ_o_s	ˈu_j	1.0
ˈa_l	ˈa_w	1.0
ʧ_ˈe	ɟ	1.0
ʧ_w	j	1.0
ʧ	ʤ	1.0
ʝ	-	1.0
ʃ	ʃː	1.0
ŋ	ŋ	1.0
z	z_ʊ	1.0
w_ˈe	ˈɔ	1.0
w_ˈa	w_ˈa	1.0
r	ʐ	1.0
p_o	p_ʊ	1.0
p_l	c	1.0
p	p	1.0
o_s	ɪ	1.0
l_ˈe	l_ˈi	1.0
k_ɾ	k_ɾ	1.0
j_ˈe	ˈɛ	1.0
j_t	tː	1.0
e_ʝ	ˈi_ɾ	1.0
e_s	ʃ	1.0
b_ɾ	ɪ	1.0
n	n	0.979
ˈu	ˈu	0.957
ˈa	ˈa	0.951
a	a	0.921
f	f	0.916
k	k	0.915
o	ʊ	0.882
ɡ	ɡ	0.844
m	m	0.828
ð	t	0.809
ˈi	ˈi	0.777
θ	ɕ	0.756
i	i	0.681
d	d	0.675
u	-	0.672
ˈo	ˈu	0.661
ɲ	ɲː	0.632
b	v	0.578
β	v	0.556
ɾ	ɾ	0.552
ɣ	k	0.551
t	t	0.546
l	l	0.493
j	-	0.466
s	s	0.46
ˈe	ˈi	0.447
w	ˈɔ	0.429
e	i	0.403
ʎ	ɖː	0.373
ʎ	ɟː	0.34
β	p	0.333
u	u	0.328
w	-	0.327
d	-	0.325
ɲ	nː	0.308
ɣ	ɡ	0.295
j	ˈɛ	0.294
ɾ	r	0.273
s	-	0.246
θ	-	0.244
w	ˈo	0.244
b	b	0.231
e	ɪ	0.224
ʎ	cː	0.196
b	-	0.191
e	-	0.182
m	mː	0.172
l	ɖː	0.172
i	ˈi	0.171
ˈo	ˈɔ	0.168
ˈe	ɪ	0.165
t	tː	0.162
ɡ	k	0.156
ɣ	-	0.154
ð	-	0.154
i	-	0.147
l	ɾ	0.146
l	-	0.125
e	ʊ	0.125
s	z	0.124
ˈi	ɪ	0.123
ˈo	ˈo	0.122
j	ʤː	0.118
ˈe	ˈɛ	0.104
ˈi	i	0.1
ʎ	-	0.091
o	u	0.089
s	j	0.086
k	kː	0.085
s	sː	0.083
t	ʈ	0.08
t	-	0.08
a	ˈa	0.079
t	ʧː	0.078
ˈe	ˈa	0.075
ɾ	ɪ_ɾ	0.071
ˈe	-	0.069
e	a	0.066
β	bː	0.061
j	ɽ_ɪ	0.061
j	tː_ɪ	0.061
ɲ	ɲ	0.06
t	ʈː	0.052
β	-	0.05
