Old Norse	Saterland Frisian	probability
a	ə	1.0
b	b	0.98
c	k	1.0
cʰ	s	0.663
cʰ	k	0.337
d	d	0.851
d	-	0.149
f	f	0.903
f	s	0.052
h	h	0.968
i	ə	0.738
i	-	0.262
j	-	0.627
j	j	0.294
k	k	0.94
k	-	0.06
kʰ	k	1.0
kː	k	0.572
kː	ŋ_k	0.428
l	l	0.819
l	ə_l	0.129
l	-	0.052
lː	l	0.9
lː	ɫ	0.1
l̥	l	1.0
m	m	1.0
mː	w	0.5
mː	m	0.5
n	n	0.952
nː	n	0.916
nː	-	0.084
p	p	1.0
pː	p	1.0
r	-	0.537
r	r	0.384
rː	r	0.891
rː	x	0.109
r̥	r	1.0
s	s	0.956
sː	s	1.0
t	t	1.0
tʰ	t	0.957
tː	x	0.923
tː	t	0.077
u	ə	0.533
u	ɪ	0.241
u	-	0.176
u	ˈoː	0.051
v	v	0.6
v	-	0.126
v	f	0.097
v	w	0.072
w	-	0.406
w	ˈɛ	0.285
w	j	0.219
w	ˈɛɪ̯	0.09
x	v	0.855
x	-	0.145
ç	h	0.836
ç	v	0.103
ç	j	0.06
ð	d	0.706
ð	-	0.26
ŋ	ŋ	0.881
ŋ	n	0.119
ɑ	ə	0.931
ɑː	i	1.0
ɟ	ɣ	0.672
ɟ	j	0.214
ɟ	-	0.114
ɟː	x	1.0
ɡ	-	0.502
ɡ	ɣ	0.321
ɡ	k	0.146
ɡː	-	0.796
ɡː	x	0.204
ɣ	x	0.591
ɣ	ɣ	0.232
ɣ	-	0.177
ɾ	-	1.0
ʝː	ɣ	1.0
ʦ	t	1.0
ˈa	ˈoːu̯	0.632
ˈa	ˈɔ	0.289
ˈa	ˈɔː	0.08
ˈe	ˈi	0.19
ˈe	ˈɛ	0.189
ˈe	ˈɛɪ̯	0.147
ˈe	ˈɔː	0.13
ˈe	-	0.104
ˈe	ˈa	0.066
ˈe	ˈɪ	0.062
ˈe	ˈeː	0.051
ˈeː	ˈi	0.716
ˈeː	ˈʊ	0.113
ˈeː	ˈoː	0.084
ˈeː	ˈɪ	0.058
ˈi	ˈɪ	0.546
ˈi	ˈiː	0.39
ˈiː	ˈi	0.482
ˈiː	ˈiː	0.182
ˈiː	ˈɛɪ̯	0.151
ˈiː	j	0.147
ˈo	ˈoːu̯	0.476
ˈo	ˈuː	0.165
ˈo	ˈɔː	0.135
ˈo	ˈœː	0.097
ˈo	ˈɛɪ̯	0.062
ˈoː	ˈoːu̯	0.192
ˈoː	ˈeː	0.187
ˈoː	ˈoː	0.151
ˈoː	ˈuː	0.101
ˈoː	ˈɛɪ̯	0.094
ˈoː	ˈaːu̯	0.091
ˈoː	ˈʊ	0.074
ˈoː	a	0.059
ˈoː	ˈɔ	0.051
ˈu	ˈʊ	0.374
ˈu	ˈuː	0.17
ˈu	v_ˈʊ	0.142
ˈu	ˈɔ	0.083
ˈu	ˈɛː	0.067
ˈu	ˈu	0.051
ˈuː	ˈuː	0.47
ˈuː	ˈoː	0.305
ˈuː	ˈyː	0.137
ˈy	j_ˈʊ	0.241
ˈy	ˈoːu̯	0.23
ˈy	ˈɛː	0.16
ˈy	ˈɔː	0.149
ˈy	ˈuː	0.095
ˈy	ˈu	0.08
ˈyː	ˈɛɪ̯	0.355
ˈyː	ˈuː	0.24
ˈyː	ˈiː	0.209
ˈyː	ˈu	0.144
ˈøy̯	ˈoː	0.548
ˈøy̯	ˈeː	0.452
ˈøː	ˈɛɪ̯	0.606
ˈøː	ˈa	0.318
ˈøː	ˈɔ	0.076
ˈɑ	ˈiː	0.178
ˈɑ	ˈoː	0.144
ˈɑ	ˈɔː	0.13
ˈɑ	ˈɛː	0.111
ˈɑ	ˈaː	0.084
ˈɑ	ˈɛɪ̯	0.075
ˈɑ	ˈoːu̯	0.073
ˈɑ	ˈʊ	0.051
ˈɑu̯	ˈoː	1.0
ˈɑː	ˈoː	0.34
ˈɑː	ˈoːu̯	0.235
ˈɑː	ˈiː	0.158
ˈɑː	ˈɛɪ̯	0.093
ˈɑː	ˈɔː	0.055
ˈɑː	ˈɛ	0.054
ˈɒu̯	ˈoː	0.732
ˈɒu̯	ˈʊ	0.268
ˈɔ	ˈɔː	0.396
ˈɔ	-	0.265
ˈɔ	ˈoːu̯	0.252
ˈɔː	ˈoːu̯	1.0
ˈɛ	ˈa	0.296
ˈɛ	ˈyː	0.219
ˈɛ	ˈeː	0.152
ˈɛ	ˈɔːɪ̯	0.145
ˈɛ	ˈoː	0.074
ˈɛ	ˈaː	0.053
ˈɛi̯	ˈeː	0.639
ˈɛi̯	ˈaː	0.172
ˈɛi̯	ˈoː	0.11
ˈɛi̯	ˈɛ	0.078
ˈɛː	ˈaː	0.354
ˈɛː	ˈeː	0.323
ˈɛː	ˈɛɪ̯	0.323
θ	t	0.569
θ	d	0.431
