North Frisian	Northern Low Saxon	probability
#>	#>	0.932
#>	d_#>	0.051
<#	<#	0.995
b	b	0.888
b	-	0.102
d	d	0.827
d	-	0.165
dʲ	d	1.0
f	f	1.0
h	h	1.0
i	ɪ	0.585
i	-	0.263
i	i	0.12
j	ç	0.174
j	-	0.17
j	ɡ	0.148
j	l	0.098
j	r	0.098
j	ʒ	0.079
j	ˈaɪ̯	0.074
j	ˈeː	0.074
j	x	0.061
j_ə	ɡ	1.0
k	ɡ	0.485
k	kʰ	0.268
k	-	0.084
k	ç	0.056
l	l	0.919
l	-	0.079
lʲ	l	0.822
lʲ	ɐ	0.115
m	m	1.0
n	n	0.949
n_#>	#>	1.0
nʲ	n	1.0
p	b	0.826
p	p	0.144
p_ə	b	1.0
r	r	0.471
r	ɐ	0.348
r	-	0.174
r_#>	#>	1.0
r_s	s	1.0
s	s	0.439
s	z	0.264
s	ʃ	0.228
t	d	0.584
t	t	0.235
t	tʰ	0.169
t_#>	#>	1.0
tʲ	d	1.0
v	v	0.74
v	m	0.139
v	p	0.05
v_ə	m	0.74
v_ə	f	0.14
w	x	0.361
w	ˈeː	0.361
w	ɡ	0.208
x	x	0.559
x	ç	0.405
z	d	0.461
z	z	0.165
z	-	0.115
z	s	0.109
ŋ	ŋ	0.723
ŋ	ç	0.122
ŋ	n	0.075
ŋ	-	0.074
ə	n	0.45
ə	ɐ	0.406
ə	-	0.071
ə_#>	#>	1.0
ə_v	f	1.0
ɡ	ɡ	1.0
ʃ	ʃ	0.753
ʃ	kʰ	0.146
ʃ	z	0.084
ˈa	ˈɪ	0.371
ˈa	ˈa	0.19
ˈa	ˈʏ	0.144
ˈa	-	0.131
ˈa	ˈaː	0.074
ˈa	ˈœː	0.06
ˈa_r	ˈa	0.25
ˈai̯	ˈɪ	0.37
ˈai̯	ˈiː	0.281
ˈaː	ˈøː	0.361
ˈaː	ˈɪ	0.361
ˈaː	ˈeː	0.208
ˈeː	ˈiː	0.244
ˈeː	ˈɛ	0.153
ˈeː	ˈa	0.108
ˈeː	ˈaː	0.088
ˈeː	ˈeː	0.088
ˈeː	ˈø	0.088
ˈeː	ˈɛɪ̯	0.088
ˈeː	ˈœ	0.058
ˈi	ˈiː	0.519
ˈi	ˈɪ	0.326
ˈi	ˈeɪ̯	0.067
ˈi	ˈɔʏ̯	0.066
ˈiː	ˈaɪ̯	0.514
ˈiː	ˈiː	0.127
ˈiː	ˈɔʏ̯	0.111
ˈiː	ˈeɪ̯	0.064
ˈiː	ˈeː	0.054
ˈiː_ə	ˈaɪ̯	1.0
ˈuː	ˈaʊ̯	0.703
ˈuː	ˈaː	0.101
ˈuː	ˈuː	0.076
ˈuː	ˈa	0.061
ˈuː	ˈoː	0.061
ˈyː	ˈuː	0.319
ˈyː	ˈaʊ̯	0.279
ˈyː	-	0.058
ˈyː	ˈɔʏ̯	0.058
ˈyː	ˈʊ	0.058
ˈyː	ˈʊ_n	0.053
ˈyː	ˈiː	0.052
ˈyː	ˈoː	0.051
ˈyː	ˈyː	0.051
ˈøː	ˈeː	0.215
ˈøː	ˈoː	0.215
ˈøː	ˈuː	0.149
ˈøː	ˈyː	0.134
ˈøː	ˈøː	0.089
ˈøː	ˈɔʏ̯	0.089
ˈœ	ˈaʊ̯	0.326
ˈœ	ˈa	0.233
ˈœ	ˈaː	0.094
ˈœ	ˈɪ	0.074
ˈœ	ˈuː	0.073
ˈœ	ˈɔː	0.06
ˈœ	ˈʊ	0.058
ˈœ	ˈʏ	0.058
ˈɒ	ˈa	0.527
ˈɒ	ˈɪ	0.195
ˈɒ	ˈɛɪ̯	0.148
ˈɒ	ˈɔ	0.106
ˈɒː	ˈa	0.441
ˈɒː	ˈoː	0.441
ˈɒː	ˈeɪ̯	0.089
ˈɔ	ˈaʊ̯	0.506
ˈɔ	ˈɔ	0.268
ˈɔ	ˈʊ	0.167
ˈɔi̯	ˈaɪ̯	0.5
ˈɔu̯	ˈoː	0.316
ˈɔu̯	ˈaɪ̯	0.209
ˈɔu̯	ˈaʊ̯	0.182
ˈɔu̯	ˈøː	0.125
ˈɔu̯	ˈa	0.12
ˈɔː	ˈɔ	0.285
ˈɔː	ˈøː	0.195
ˈɔː	ˈa	0.17
ˈɔː	ˈoː	0.17
ˈɔː	ˈɛ	0.085
ˈɔː	ˈœː	0.066
ˈɛ	ˈɔʏ̯	0.477
ˈɛ	ˈɪ	0.315
ˈɛ	ˈaː	0.122
ˈɛi̯	ˈoː	0.358
ˈɛi̯	ˈɔʏ̯	0.225
ˈɛi̯	ˈɛɪ̯	0.1
ˈɛi̯	ˈa	0.093
ˈɛi̯	ˈaɪ̯	0.093
ˈɛi̯	ˈɛ	0.074
ˈɛː	ˈoː	0.295
ˈɛː	ˈɛ	0.288
ˈɛː	ˈeː	0.251
ˈɛː	ˈaɪ̯	0.109
ˈʊ	ˈʊ	0.325
ˈʊ	ˈɪ	0.179
ˈʊ	ˈa	0.1
ˈʊ	v_ˈʊ	0.089
ˈʊ	ˈaː	0.066
ˈʊ	ˈø	0.059
ˈʊ	ˈɔ	0.059
ˈʊ	ˈʏ	0.059
ˈʊ	ˈɛ	0.05
ˈʏ	ˈyː	0.561
ˈʏ	ˈʏ	0.185
ˈʏ	ˈɔ	0.125
