Standard German	Old English	probability
ˈʏ	ˈy	1.0
ˈʊ_n	ˈuː	1.0
ˈa_n	ˈoː	1.0
ʃ_l	s_l	1.0
ɡ̊	ɣ̊	1.0
ɡ_ʁ	ɡ_r	1.0
ɡ_ə	ɣ_e	1.0
ɐ_t	r_d	1.0
ɐ_n	r_n	1.0
v_ˈa	w	1.0
s_t	s_t	1.0
p	-	1.0
n_ə	nː_ɑ	1.0
l_t	ɫ_d	1.0
k_s	k_s	1.0
j	j	1.0
h	h	1.0
f_ʁ	f_r	1.0
eː	iːy̯	1.0
d̥	d	1.0
a	-	1.0
m	m	0.96
v	w	0.901
ˈɪ	ˈi	0.891
ˈiː	ˈeːo̯	0.885
z	s	0.833
ˈuː	ˈoː	0.832
ʁ	r	0.832
ɪ	i	0.8
n	n	0.793
f	f	0.755
ˈʊ	ˈu	0.747
ˈyː	ˈeː	0.719
s	t	0.679
ʦ	t	0.666
b	b	0.665
ɐ	r	0.633
d	θ	0.627
l	l	0.621
ŋ	ŋ	0.612
kʰ	k	0.586
ˈɛː	-	0.566
ˈøː	ˈiːy̯	0.562
ˈɔ	ˈo	0.559
ˈaʊ̯	ˈuː	0.511
ʃ	s	0.502
ə	ɑ	0.501
ʃ	ʃ	0.498
ˈa	ˈɑ	0.476
ˈaɪ̯	ˈɑː	0.466
ˈoː	ˈæːɑ̯	0.458
t	d	0.453
k	ʤ	0.442
ˈɛ	ˈe	0.441
ˈɔ	ˈu	0.441
ˈaɪ̯	ˈiː	0.441
ˈɔʏ̯	ˈiːy̯	0.44
ˈøː	-	0.438
ˈɛː	ˈiːy̯	0.434
kʰ	ʧ	0.414
ˈeː	ˈe	0.39
ŋ	ŋ_ɡ	0.388
ˈeː	-	0.364
ə	e	0.355
ˈaʊ̯	ˈæːɑ̯	0.354
ˈɔʏ̯	ˈeːo̯	0.345
t	t	0.341
ˈɛ	ˈeo̯	0.335
ʦ	tː	0.334
s	t_ɑ	0.321
k	k	0.314
ˈoː	ˈu	0.304
l	ɫ	0.301
ˈaː	ˈæ	0.294
ɡ	j	0.294
ˈa	ˈæɑ̯	0.29
ˈyː	ˈo	0.281
ɡ	ɡ	0.254
x	ʧ	0.254
ç	ʧ	0.251
ˈoː	ˈoː	0.238
ɡ	ɣ_ɑ	0.232
ˈɔʏ̯	ˈyː	0.215
ˈaː	ˈæː	0.21
x	x	0.21
ç	ç	0.208
ç	j	0.208
ɪ	iː	0.2
x	ç	0.198
ç	k	0.194
x	xː	0.184
k	ʧː	0.171
ˈuː	ˈeː	0.168
ɐ	e_r	0.168
z	z	0.167
ˈaː	ˈɑ	0.165
ˈaː	ˈæːɑ̯	0.165
ˈaː	-	0.165
b	v	0.163
x	k	0.155
ɡ	ɑ	0.154
d	d	0.152
ˈa	ˈæ	0.149
f	p_ɑ	0.148
ə	-	0.143
ç	x	0.139
ˈɛ	ˈɛ	0.137
ˈaʊ̯	-	0.135
d	ð	0.13
ˈeː	ˈɑː_w	0.123
ˈeː	ˈɑː	0.123
ˈiː	-	0.115
b	v_ɑ	0.115
ɐ	o_r	0.113
ˈɪ	-	0.109
t	d_ɑ	0.108
n	ɑ_n	0.101
v	h_w	0.099
ʁ	r_ˈeːo̯	0.096
ˈaɪ̯	ˈeːo̯	0.093
d	d_ɑ	0.091
ˈɛ	ˈi	0.087
ˈʊ	-	0.086
ˈʊ	ˈo	0.084
ˈʊ	ˈy	0.082
k	kː	0.074
ʁ	-	0.072
t	dː	0.069
ɡ	ɣ	0.066
ɐ	r_e	0.065
b	bː	0.057
n	-	0.056
f	p	0.056
n	nː	0.05
