Standard German	Standard German	probability
ˈɛː	-	1.0
ˈœ	-	1.0
ˈøː	ˈøː	1.0
ˈuː_#>	ˈʉː_#>	1.0
ˈeː_#>	ˈøː_#>	1.0
ˈaɪ̯_t	ˈiː	1.0
ˈa_s	ˈɑ	1.0
ʁ	ɾ	1.0
ɡ_n	ɡ_ə	1.0
ɐ_ʦ	ʈː	1.0
ɐ_n	ɳ	1.0
ɐ_#>	#>	1.0
ŋ_k	kː	1.0
ŋ	ŋː	1.0
ç_t_#>	tː_#>	1.0
ç_#>	#>	1.0
z̥_#>	s_#>	1.0
tʰ	d	1.0
t_ɐ	ɾ	1.0
s_t	s_t	1.0
p͡f	pʰ	1.0
n_d	nː	1.0
n_#>	#>	1.0
m_ˈɪ	m	1.0
l_d̥	lː	1.0
k	ɡː	1.0
eː	ə	1.0
d̥_#>	#>	1.0
d_n	ə	1.0
a	ə	1.0
<#_ʁ	<#_ɾ	1.0
<#_v	<#	1.0
<#_n	<#_n	1.0
<#_j	<#	1.0
v	ʋ	0.913
h	h	0.87
z	s	0.85
t_#>	#>	0.846
ˈuː	ˈuː	0.818
l	l	0.818
kʰ	kʰ	0.818
#>	ə_#>	0.8
s	t	0.786
ç	k	0.778
m	m	0.75
ə	ə	0.744
b	b	0.731
ɐ	ɾ	0.706
ˈɪ	ˈɪ	0.7
ˈa	ˈɑ	0.7
f	f	0.679
ˈɔʏ̯	-	0.667
ɪ	i	0.667
ɡ̊_#>	ɡ_#>	0.667
d	tʰ	0.667
b̥_#>	ʋ_#>	0.667
ˈɛ	ˈɛ	0.647
ˈʏ	ˈʏ	0.625
ʦ	tʰ	0.615
t	t	0.615
ˈyː	-	0.6
x	k	0.6
f_#>	p_#>	0.6
ʃ	s	0.56
ˈeː	-	0.545
ˈʊ	ˈʉ	0.533
ˈaʊ̯	ˈʉː	0.5
ɡ	ɡ	0.474
ˈiː	ˈyː	0.471
ˈoː	ˈøː	0.462
ˈaː	ˈoː	0.421
ˈyː	ˈœ	0.4
x	-	0.4
f_#>	#>	0.4
ˈoː	-	0.385
ˈʏ	-	0.375
ˈɔʏ̯	ˈyː	0.333
ˈɔ	ˈuː	0.333
ɪ	ɪ	0.333
ɡ̊_#>	#>	0.333
b̥_#>	#>	0.333
n	n	0.317
ˈaː	ˈɑː	0.316
ɡ	-	0.316
ˈaɪ̯	ˈæɪ̯	0.304
ˈaɪ̯	ˈiː	0.304
n	nː	0.286
ʃ	s_k	0.28
ˈaʊ̯	-	0.278
ˈeː	ˈæː	0.273
n	ə	0.27
ˈɔ	ˈʉ	0.267
ˈaɪ̯	ˈɛ	0.261
ə	-	0.256
m	mː	0.25
ˈɛ	-	0.235
ʦ	tː	0.231
t	tː	0.231
ç	-	0.222
s	tː	0.214
ɡ	j	0.211
ɐ	ə_ɾ	0.206
ˈʊ	-	0.2
#>	n_#>	0.2
b	-	0.192
ˈuː	ˈøː	0.182
ˈeː	ˈoː	0.182
l	lː	0.182
kʰ	ç	0.182
ˈiː	ˈʉː	0.176
ˈiː	ˈiː	0.176
ˈiː	-	0.176
ˈaʊ̯	ˈøː	0.167
d	d	0.167
d	-	0.167
ʃ	ʂ	0.16
ˈaː	-	0.158
ˈoː	ˈʉː	0.154
ʦ	-	0.154
t_#>	d_#>	0.154
t	-	0.154
ˈɪ	ˈiː	0.15
ˈɪ	-	0.15
z	ʂ	0.15
f	ʋ	0.143
f	p	0.143
ˈʊ	ˈɔ	0.133
ˈʊ	ˈœ	0.133
ˈɔ	ˈʉː	0.133
ˈɔ	ˈɔ	0.133
ˈɔ	-	0.133
ˈa	ˈɑː	0.133
ˈaɪ̯	ˈeː	0.13
h	j	0.13
ˈɛ	ˈæː	0.118
ˈaː	ˈɑ	0.105
ˈa	-	0.1
ɐ	ɾ_ə	0.088
v	-	0.087
b	ʋ_ə	0.077
ˈa	ˈɔ	0.067
n	ˈiː	0.063
ˈaʊ̯	ˈœʏ̯	0.056
