East Franconian	Dutch	probability
ˈʊ_m	ˈoː_m	1.0
ˈɒː	ˈaː	1.0
ˈɒ_l	ˈɑu̯	1.0
ˈuː_d̥	ˈoː_d̥	1.0
ˈaː_s	ˈeː_t	1.0
ˈaʊ̯	ˈœy̯	1.0
ˈa	χ_ˈɛ	1.0
ʦ	t	1.0
ɾ_ɐ	ɾ	1.0
ɾ	d	1.0
ɣ̊	χ_ə	1.0
ɣ	χ	1.0
ɡ̊_s	s	1.0
ɡ̊_n	χ	1.0
ɐ_ʦ	ɾ_t	1.0
ç_d̥	χ_t	1.0
x_d̥	χ_t	1.0
x	k	1.0
v̥	p_ə	1.0
v	ʋ	1.0
r	ɾ	1.0
n_s	n_z̥	1.0
l_ˈiː	ɫ_ˈɪ	1.0
kʰ	k	1.0
j	j	1.0
h	ɦ	1.0
f_a	ə_v̥	1.0
eː	i	1.0
d̥_r	d_ɾ	1.0
d̥_n	d_ə	1.0
b̥͡v̥	p	1.0
b̥	b	1.0
a	ə_n	1.0
m	m	0.938
f	v	0.898
ˈʊ	ˈɔ	0.894
l	ɫ	0.862
ˈɒ	ˈɑ	0.855
n	n	0.836
ɐ	ɾ	0.714
ˈuː	ˈu	0.685
ˈɪ	ˈɪ	0.672
ˈeː	ˈeː	0.667
ˈoː	ˈaː	0.624
ˈiː	ˈi	0.623
s	z	0.611
ʃ	s	0.608
ŋ	ŋ	0.595
ˈɔ	ˈɔ	0.593
ɡ̊	χ	0.569
ˈaɪ̯	ˈɛi̯	0.561
β	v̥	0.55
ˈɛ	ˈɛ	0.525
z̥	t_ə	0.513
ˈɛː	ˈaː	0.5
ˈɛː	-	0.5
ç	k	0.5
ˈaː	ˈoː	0.485
β	v_ə	0.45
ɡ̊	-	0.431
ˈaː	ˈeː	0.417
ŋ	χ_ə	0.405
s	t	0.389
d̥	d	0.375
ˈeː	ˈoː	0.333
d̥	d̥	0.33
z̥	z̥	0.325
ˈuː	ˈoː	0.315
ˈɔ	ˈoː	0.29
ʃ	s_χ	0.256
ç	χ	0.252
ç	ŋ	0.248
ɐ	ə_ɾ	0.234
ˈoː	ˈɑ	0.214
d̥	t	0.209
ˈiː	ˈu	0.178
ˈaɪ̯	ˈi	0.174
ˈɛ	ˈeː	0.173
z̥	z_ə	0.163
ˈɒ	ˈaː	0.145
ˈɛ	ˈaː	0.14
ʃ	z	0.136
ˈoː	-	0.131
ˈɪ	ˈʏ	0.13
ˈɪ	ˈɛ	0.123
ˈaɪ̯	ˈœy̯	0.123
ˈɔ	ˈɑ	0.117
l	ɫ_ə	0.114
ˈʊ	-	0.106
ˈiː	-	0.1
ˈiː	ˈɪ	0.099
ˈɛ	ˈʏ	0.098
ˈaː	ˈɛi̯	0.098
n	ə_n	0.09
d̥	d_ə	0.087
ˈaɪ̯	ˈɪ	0.077
ˈɪ	-	0.075
n	n_d	0.074
f	p	0.073
ˈaɪ̯	ˈyː	0.065
ˈɛ	ˈɑ	0.064
m	v_ə	0.062
ɐ	ɾ_ə	0.052
