Macedonian	Čakavian	probability
ˈu	ûː	1.0
ˈr̩	r̩̂	1.0
ˈo_ɫ	ûː	1.0
ʧ	ʧ	1.0
ʦ	ʦ	1.0
ʣ	z	1.0
ʒ	ʒ	1.0
ʃ	ʃ	1.0
ɫ	l	1.0
ɡ	ɡ	1.0
z	z	1.0
v	ʋ	1.0
u_m	a_n	1.0
t	t	1.0
s	s	1.0
r	r	1.0
p	p	1.0
o_k	a_k	1.0
o_#>	ô_#>	1.0
o	o	1.0
n	n	1.0
m	m	1.0
l	l	1.0
k	k	1.0
j	j	1.0
f_#>	ʋ_#>	1.0
f	x	1.0
d	d	1.0
b	b	1.0
i	i	0.667
a	a	0.545
ɛ	e	0.529
a	â	0.455
ˈo	ô	0.435
ˈi	îː	0.375
ˈi	î	0.375
i	î	0.333
ɛ	î	0.294
ˈa	âː	0.286
ˈa	â	0.286
ˈo	ôː	0.261
ˈi	iː	0.25
ˈɛ	ê	0.241
ˈo	o	0.217
ˈɛ	e	0.207
ɛ	t_i	0.176
ˈɛ	î	0.172
ˈa	ûː	0.143
ˈa	ǎː	0.143
ˈa	a	0.143
ˈɛ	êː	0.138
ˈɛ	îː	0.103
ˈo	-	0.087
ˈɛ	ǐː	0.069
ˈɛ	iː	0.069
