East Low German	West Frisian	probability
ˈɔʏ̯	ˈiə̯	1.0
ˈɔ	ˈɔ	1.0
ˈœː	ˈoə̯	1.0
ˈyː	j_ˈuə̯	1.0
ˈuː_æ	ˈoə̯	1.0
ˈae̯_n	ˈiə̯_n	1.0
ɾ_æ	r	1.0
ɾ	d	1.0
ɪ	ə	1.0
x	χ	1.0
w	v	1.0
tʰ	t	1.0
t_n	t_ə	1.0
t_#>	#>	1.0
s_#>	s_#>	1.0
s	s	1.0
p	p	1.0
n_t	n_t	1.0
k_#>	#>	1.0
h	h	1.0
b	b	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
f	f	0.903
r	r	0.895
l	l	0.894
m	m	0.893
z	s	0.889
v	ʋ	0.864
kʰ	k	0.818
t	t	0.805
ˈuː	ˈuː	0.778
ɡ	ɡ	0.75
ç	χ	0.692
k	k	0.688
ŋ	ŋ	0.667
ˈa	ˈa	0.619
ˈoː	ˈɪə̯	0.6
ˈʊ	ˈɔ	0.583
n	n	0.569
ˈaʊ̯	ˈuə̯	0.526
ˈɪ	ˈɪ	0.52
ˈɛː	ˈiː	0.5
ˈɛː	ˈaː	0.5
ʃ	s_k	0.5
ʃ	s	0.5
j	ɡ	0.5
j	j	0.5
æ	ə_r	0.448
d	d	0.439
ˈʏ	ˈɪ	0.429
ˈɛ	ˈɪ	0.429
æ	r	0.414
ˈoː	ˈiə̯	0.4
ˈaʊ̯	ˈɪə̯	0.368
ˈɒː	ˈiə̯	0.364
ˈaː	ˈɛː	0.333
ˈaː	ˈɛ_r	0.333
ˈaː	r	0.333
k	k_ə	0.312
ˈʏ	ˈɛː	0.286
ˈʏ	ˈɛ	0.286
ˈɛ	ˈɛ	0.286
ˈɛ	ˈɔ	0.286
ˈiː	ˈiː	0.286
ˈiː	ˈi	0.286
ˈae̯	ˈɪə̯	0.278
ˈɒː	ˈaː	0.273
ˈʊ	ˈu	0.25
ɡ	ɣ	0.25
ˈuː	ˈoː	0.222
d	-	0.22
ˈɪ	ˈi	0.2
ŋ	n	0.2
t	d̥	0.195
d	t	0.195
n	ə	0.19
ˈɒː	ˈɪə̯	0.182
ˈɒː	ˈoə̯	0.182
kʰ	ʦ	0.182
ˈʊ	ˈuː	0.167
ˈae̯	ˈɪ	0.167
ç	ɣ_ə	0.154
ç	j	0.154
ˈiː	j	0.143
ˈa	ˈɔː	0.143
ˈa	ˈaː	0.143
v	v	0.136
ŋ	z_ə	0.133
ˈɪ	ˈɔ	0.12
ˈae̯	ˈiə̯	0.111
ˈae̯	ˈeː	0.111
ˈae̯	ˈaː	0.111
ˈae̯	j_ˈɪ	0.111
ˈae̯	j	0.111
z	ɕ	0.111
m	v_ə	0.107
ˈaʊ̯	ˈoː	0.105
r	-	0.105
n	n_ə	0.103
n	j_ə	0.103
d	d̥	0.098
f	-	0.097
ˈiː	ˈɛ	0.095
ˈiː	ˈiə̯	0.095
ˈiː	j_ˈɛ	0.095
ˈa	ˈɪə̯	0.095
ˈɪ	ˈɛi̯	0.08
ˈɪ	ˈiː	0.08
æ	ˈɪ_r	0.069
æ	d_ə	0.069
l	l_ə	0.064
