Franco-Provençal	French	probability
b	b	1.0
d	d	1.0
f	f	1.0
i	e	1.0
k	k	1.0
m	m	1.0
p	p	1.0
s	s	1.0
t	t	1.0
z	z	1.0
ɔ	ɔ	1.0
ɔ̃	ɔ̃	1.0
ə	ə	1.0
ɛ	ɛ	1.0
ɡ	ɡ	1.0
ɲ	ɲ	1.0
ˈɔ̃	ɔ̃	1.0
j	j	0.561
o	-	0.461
w	ɥ	0.281
ʎ	j	0.631
ˈa	a	0.331
ˈoː	œ	0.091
ˈu	ø	0.061
v	v	0.912
ð	ʁ	0.722
ˈa	ɛ	0.2
ˈoː	o	0.352
ˈø	ɔ	0.622
ˈɔ	ɔ	0.702
a	a	0.983
e	e	0.923
j	i	0.093
n	-	0.173
o	u	0.463
ˈaː	e	0.33
ˈaː	ɛ	0.343
ˈĩ	ɛ̃	0.853
ˈɛː	ɛ	0.403
ˈɛː	w_a	0.563
l	l	0.984
ˈa	e	0.394
ˈø	œ	0.344
ˈɑ̃	ɛ̃	0.354
ˈɛ	ɛ	0.904
ˈɛ̃	ɑ̃	0.444
w	-	0.175
ð	ʒ	0.245
ʃ	ʃ	0.965
ˈa	ø	0.075
ˈi	i	0.805
ˈoː	ɔ	0.35
ˈɑː	ɛ	0.275
ˈɑː	a	0.725
j	-	0.346
w	w	0.476
ˈe	a	0.16
ˈe	ɛ	0.46
ˈi	i_ʁ	0.056
ˈoː	u	0.206
ˈɑ̃	ɑ̃	0.646
ˈɛ	w	0.096
ˈɛ̃	ɛ̃	0.556
e	-	0.077
n	n	0.827
o	ɛ̃	0.077
ˈaː	a	0.327
ˈĩ	ɑ̃	0.147
ˈo	u	0.867
ʁ	ʁ	0.98
ˈɔ	œ	0.298
w	u	0.069
ʎ	l	0.369
ʒ	ʒ	0.99
ˈe	i	0.349
ˈi	j	0.139
ˈo	ɔ	0.089
ˈu	u	0.449
ˈu	y	0.49
