Romansch	Franco-Provençal	probability
b	b	1.0
e	ˈɛː	1.0
p	p	1.0
ŋ	-	1.0
ʎ	ʎ	1.0
ʦ	-	1.0
ˈeː	ˈi	1.0
ˈiə̯	j	1.0
j	w	0.061
l	ʎ	0.051
l	-	0.061
m	m	0.861
n	n	0.471
ʧ	s	0.931
ʨ	ʃ	0.591
ˈa	w	0.151
ˈaː	ˈɛː	0.151
ˈɛ	ˈe	0.591
i	o	0.322
s	s	0.782
u	o	0.82
v	v	0.992
w	ˈoː	0.062
ˈa	ˈɑː	0.092
ˈaː	ˈa	0.352
ˈe	-	0.432
ˈu	ˈoː	0.072
d	d	0.73
f	f	0.933
i	-	0.213
l	j	0.073
ɡ	-	0.083
ʥ	ʒ	0.523
ʨ	t	0.243
ˈe	ˈɛ	0.243
ˈo	o_#>	0.053
n	-	0.204
ˈi	ˈɛ	0.064
ˈuː	ˈɔ	0.94
ˈɛː	ˈe_l	0.714
i	ə	0.465
j	j	0.145
j	ˈe	0.225
l	l	0.815
t	t	0.965
ə	ə	0.245
ɲ	n	0.105
ɲ	ɲ	0.895
ʃ	ʃ	0.235
ʃ	z	0.265
ˈaː	j_ˈe	0.25
ˈe	ˈɛː	0.325
ˈiː	ˈi	0.395
ˈiː	ˈe	0.605
ˈo	w	0.915
ˈu	ˈø	0.115
ˈɔ	ˈɑ̃	0.735
ˈɔː	ˈoː	0.665
r	ð_ə	0.06
ə	-	0.116
ə	a	0.6
ˈa	ˈa	0.176
ˈa	-	0.306
ˈi	ˈi	0.936
ˈu	ˈu	0.056
ˈuː	ˈu	0.06
f	-	0.067
j	-	0.57
n	ˈĩ	0.117
r	ʁ	0.787
ɡ	ɡ	0.917
ʥ	-	0.437
ˈa	ˈaː	0.07
ˈaː	ˈaː	0.247
ˈu	w	0.447
ˈɔ	ˈo	0.167
ˈɔː	ˈu	0.237
ˈɛ	ˈɛ	0.097
ˈɛː	ˈɛː	0.117
r	ð	0.078
s	ʃ	0.218
u	ɔ	0.18
ʃ	-	0.478
ʨ	k	0.058
ʨ	-	0.108
ˈa	ˈɑ̃	0.058
ˈɔː	w	0.098
d	-	0.249
k	k	0.99
m	-	0.139
n	ˈɛ̃	0.199
r	-	0.059
w	ˈe	0.289
w	-	0.649
ʧ	z	0.069
ˈa	ˈɛː	0.089
ˈu	ˈo	0.309
ˈɔ	ˈoː	0.099
ˈɛ	ˈɛ̃	0.249
ˈɛː	ˈɛ	0.169
