North Frisian	Saterland Frisian	probability
b	b	0.966
b	p	0.046
d	d	0.764
d	t	0.13
d	-	0.042
d	ɣ	0.042
d	p	0.038
dʲ	d	1.0
f	f	0.895
f	-	0.052
f	v	0.052
h	h	0.975
h	k	0.043
i	ɪ	0.562
i	ə	0.259
i	-	0.171
j	j	0.374
j	-	0.298
j	l	0.085
j	x	0.071
j	ɣ	0.071
k	k	0.967
k	x	0.045
l	l	0.975
lʲ	l	1.0
m	m	1.0
n	n	0.951
n	-	0.054
nʲ	n	0.521
nʲ	n_d	0.336
nʲ	-	0.089
p	p	1.0
r	r	0.833
r	-	0.167
s	s	0.919
s	z	0.046
s	t	0.043
t	t	0.946
t	d	0.053
tʲ	t	0.935
tʲ	d	0.062
v	v	0.723
v	w	0.104
v	x	0.058
v	b	0.041
v	ɣ	0.04
w	ɣ	1.0
x	x	1.0
z	z	0.49
z	t	0.451
ŋ	ŋ	0.707
ŋ	x	0.173
ŋ	n	0.072
ŋ	-	0.057
ə	ə	0.835
ə	-	0.129
ɡ	ɣ	0.692
ɡ	j	0.19
ɡ	ɡ	0.109
ʃ	s_k	0.826
ʃ	s_j	0.121
ʃ	s	0.055
ˈa	ˈɪ	0.374
ˈa	ˈɛː	0.192
ˈa	ˈa	0.087
ˈa	ˈɛ	0.087
ˈa	ə	0.07
ˈa_r	ˈɛɪ̯	1.0
ˈai̯	ˈɪ	0.384
ˈai̯	ˈeː	0.253
ˈai̯	ˈɛɪ̯	0.243
ˈaː	ˈuː	0.269
ˈaː	ˈɪ	0.269
ˈaː	ˈiː	0.157
ˈeː	ˈɛː	0.232
ˈeː	ˈi	0.197
ˈeː	ˈɛ	0.197
ˈeː	ˈiː	0.127
ˈeː	ˈɔː	0.084
ˈi	ˈi	0.577
ˈi	ˈiː	0.192
ˈi	ˈœː	0.06
ˈi	ˈɛ	0.06
ˈi	ˈɪ	0.06
ˈiː	ˈeː	0.419
ˈiː	j_ˈoː	0.175
ˈiː	ˈiː	0.156
ˈiː	ˈɛɪ̯	0.096
ˈiː	a	0.047
ˈuː	ˈoː	0.644
ˈuː	ˈoːu̯	0.194
ˈuː	ˈɔ	0.097
ˈuː	ˈuː	0.064
ˈyː	ˈuː	0.525
ˈyː	ˈoː	0.297
ˈyː	ˈu	0.086
ˈyː	ˈyː	0.06
ˈyː	ˈɛɪ̯	0.046
ˈøː	ˈuː	0.796
ˈøː	ˈeː	0.162
ˈœ	ˈoːu̯	0.654
ˈœ	ˈoː	0.083
ˈœ	ˈuː	0.083
ˈœ	ˈɪ	0.083
ˈœ	ˈʊ	0.056
ˈɒ	ˈɔː	0.294
ˈɒ	ˈaː	0.236
ˈɒ	ˈɛ	0.179
ˈɒ	ˈa	0.135
ˈɒ	ˈʊ	0.135
ˈɒː	ˈɔː	0.315
ˈɒː	ˈaː	0.209
ˈɒː	ˈa	0.134
ˈɒː	ˈɛː	0.134
ˈɒː	ˈɛɪ̯	0.072
ˈɔ	ˈoːu̯	0.78
ˈɔ	ˈɔː	0.219
ˈɔi̯	ˈɔːɪ̯	0.508
ˈɔu̯	ˈoːu̯	0.364
ˈɔu̯	ˈɛɪ̯	0.209
ˈɔu̯	ˈuː	0.147
ˈɔu̯	ˈoː	0.103
ˈɔu̯	ˈaːu̯	0.098
ˈɔu̯_d	ˈuː	1.0
ˈɔː	ˈɔː	0.361
ˈɔː	ˈɔ	0.297
ˈɔː	ˈoː	0.247
ˈɔː	ˈaːu̯	0.081
ˈɛ	ˈɛɪ̯	0.548
ˈɛ	ˈɪ	0.315
ˈɛ	ˈiː	0.08
ˈɛi̯	ˈɛɪ̯	0.59
ˈɛi̯	ˈaːi̯	0.226
ˈɛi̯	ˈi	0.081
ˈɛi̯	ˈiː	0.081
ˈɛː	ˈeː	0.205
ˈɛː	ˈi	0.135
ˈɛː	ˈoː	0.135
ˈɛː	ˈɔː	0.135
ˈɛː	ˈɛɪ̯	0.135
ˈʊ	ˈʊ	0.542
ˈʊ	ˈɔ	0.127
ˈʊ	ˈɪ	0.127
ˈʊ	ˈɛː	0.073
ˈʊ	ˈɔː	0.064
ˈʏ	ˈʊ	0.349
ˈʏ	ˈoːu̯	0.204
ˈʏ	ˈu	0.204
ˈʏ	ˈyː	0.075
