North Frisian	Saterland Frisian	probability
b	b	0.988
d	d	0.809
d	-	0.054
d	ɣ	0.052
dʲ	d	1.0
f	f	0.853
f	-	0.075
h	h	0.981
i	ɪ	0.491
i	ə	0.37
i	-	0.139
j	j	0.5
j	ˈɛɪ̯	0.211
j	-	0.122
j	x	0.082
k	k	0.985
l	l	0.967
lʲ	l	0.949
lʲ	ˈuː	0.051
m	m	0.931
m	-	0.069
n	n	0.985
nʲ	n	0.825
nʲ	-	0.175
p	p	1.0
r	r	0.862
r	-	0.138
s	s	0.9
t	t	0.934
t	d	0.066
tʲ	t	1.0
v	v	0.81
v	w	0.098
w	ɣ	0.682
w	-	0.318
x	x	1.0
z	z	0.525
z	t	0.439
ŋ	ŋ	0.608
ŋ	x	0.199
ŋ	n	0.114
ŋ	-	0.079
ə	ə	0.875
ə	-	0.116
ɛi̯	i	1.0
ɡ	ɣ	0.663
ɡ	j	0.173
ɡ	ɡ	0.165
ʃ	s	1.0
ˈa	-	0.196
ˈa	ˈɛː	0.15
ˈa	ˈɪ	0.118
ˈa	ˈa	0.088
ˈa	ˈi	0.081
ˈa	ˈɛɪ̯	0.078
ˈa	ˈɔː	0.077
ˈa	ˈɔ	0.055
ˈa	ə	0.053
ˈai̯	ˈɛɪ̯	0.823
ˈai̯	ˈɪ	0.159
ˈaː	ˈuː	0.673
ˈaː	ˈiː	0.221
ˈaː	ˈɪ	0.106
ˈeː	ˈɛː	0.28
ˈeː	ˈi	0.215
ˈeː	ˈɛ	0.199
ˈeː	ˈeːu̯	0.115
ˈeː	ˈiː	0.11
ˈi	ˈi	0.472
ˈi	ˈiː	0.307
ˈi	ˈœː	0.071
ˈiː	ˈeː	0.488
ˈiː	ˈiː	0.214
ˈiː	j	0.164
ˈiː	ˈɛɪ̯	0.052
ˈu	ˈɔː	0.5
ˈu	ˈɪ	0.5
ˈuː	ˈoː	0.781
ˈuː	ˈoːu̯	0.096
ˈuː	ˈɔ	0.068
ˈuː	ˈuː	0.055
ˈyː	ˈuː	0.454
ˈyː	ˈoː	0.355
ˈyː	ˈyː	0.076
ˈyː	ˈu	0.071
ˈøː	ˈuː	0.804
ˈøː	ˈøː	0.176
ˈœ	ˈoːu̯	0.603
ˈœ	ˈuː	0.143
ˈœ	ˈʊ	0.137
ˈœ	ˈɛː	0.056
ˈœi̯	ˈoːu̯	1.0
ˈɒ	ˈa	0.331
ˈɒ	ˈɔː	0.286
ˈɒ	ˈʊ	0.184
ˈɒ	ˈaː	0.129
ˈɒ	ˈɛ	0.071
ˈɒː	ˈɔː	0.389
ˈɒː	ˈaː	0.277
ˈɒː	ˈɛː	0.135
ˈɒː	ˈɛɪ̯	0.096
ˈɒː	ˈa	0.051
ˈɒː	ˈɛ	0.051
ˈɔ	ˈoːu̯	0.612
ˈɔ	ˈɔː	0.388
ˈɔi̯	ˈɔːɪ̯	1.0
ˈɔu̯	ˈoːu̯	0.598
ˈɔu̯	ˈuː	0.193
ˈɔu̯	ˈaːu̯	0.171
ˈɔː	ˈɔ	0.408
ˈɔː	ˈɔː	0.313
ˈɔː	ˈoː	0.199
ˈɛ	ˈɛɪ̯	0.483
ˈɛ	ˈɪ	0.324
ˈɛ	ˈiː	0.194
ˈɛi̯	ˈɛɪ̯	0.508
ˈɛi̯	ˈaːi̯	0.348
ˈɛi̯	ˈi	0.085
ˈɛi̯	ˈiː	0.06
ˈɛː	ˈiː	0.334
ˈɛː	ˈaːi̯	0.262
ˈɛː	ˈi	0.128
ˈɛː	ˈeː	0.126
ˈɛː	ˈɔː	0.08
ˈɛː	ˈɛɪ̯	0.07
ˈʊ	ˈʊ	0.586
ˈʊ	ˈɔ	0.13
ˈʊ	ˈɪ	0.113
ˈʊ	ˈoː	0.074
ˈʊ	ˈɔː	0.053
ˈʏ	ˈu	0.278
ˈʏ	ˈʊ	0.278
ˈʏ	ˈoːu̯	0.187
ˈʏ	ˈuː	0.177
ˈʏ	-	0.08
