Faroese	Alsatian	probability
a	ə	0.899
b̥	b̥	0.985
d̥	d̥	0.617
d̥	t	0.37
f	f	0.855
f	-	0.089
f	b̥	0.056
h	h	0.833
h	-	0.167
j	-	0.428
j	t	0.337
j	ʋ	0.093
j	l	0.087
j	v	0.054
k	ʃ	0.442
k	x	0.217
k	k	0.209
k	-	0.132
kʰ	kʰ	0.59
kʰ	ʋ	0.207
kʰ	ɡ̊	0.15
kʰ	f	0.052
l	l	0.988
l̥	l	1.0
m	m	0.869
m	-	0.084
n	n	0.938
n	-	0.062
nː	n	0.632
nː	n_d̥	0.276
nː	l	0.093
n̥	ə	0.375
n̥	n	0.34
n̥	-	0.15
n̥	j	0.135
p	f	1.0
r	-	0.62
r	ʁ	0.38
s	s	0.633
s	ʃ	0.367
sː	s	1.0
t	s	0.301
t	ʁ	0.296
t	t	0.168
t	-	0.144
t	ʦ	0.091
tʰ	d̥	0.464
tʰ	ʦ	0.346
tʰ	-	0.135
tʰ	t	0.055
tː	p͡f	1.0
v	ʋ	0.33
v	-	0.182
v	f	0.152
v	w	0.14
v	v	0.103
w	t	0.413
w	d̥	0.368
w	ə	0.112
w	-	0.107
ŋ	ŋ	0.698
ŋ	-	0.153
ŋ	n	0.149
ə	ə	1.0
ɛ	i	1.0
ɡ̊	-	0.595
ɡ̊	ɡ̊	0.345
ɡ̊	v	0.059
ɡ̊ː	-	0.578
ɡ̊ː	k	0.422
ɪ	ə	0.68
ɪ	-	0.181
ɪ	i	0.139
ɲ	ŋ	1.0
ɹ	ʁ	0.903
ɹ	-	0.091
ɹː	k	1.0
ʃ	ʃ	0.953
ʈ	ʦ	1.0
ʊ	-	0.758
ʊ	ə	0.129
ʊ̯ˈiː	ˈiː	1.0
ʤ̊	ɡ̊	0.485
ʤ̊	-	0.444
ʤ̊	d̥	0.071
ʤ̊ː	n	0.59
ʤ̊ː	k	0.364
ʧ	ʁ	1.0
ʧʰ	kʰ	0.888
ʧʰ	d̥	0.112
ʧː	n	1.0
ʰkː	k	1.0
ʰp	f	0.578
ʰp	p͡f	0.422
ʰpː	f	1.0
ʰt	s	1.0
ʰtː	x_t	0.636
ʰtː	ʦ	0.291
ʰtː	t	0.073
ʰʧː	k	1.0
ˈa	ˈɒ	0.789
ˈa	ˈi	0.095
ˈa	ˈɒː	0.07
ˈai̯	ˈəi̯	1.0
ˈaːi̯	ˈəi̯	1.0
ˈeə̯	ˈe	1.0
ˈeː	ˈɒ	0.527
ˈeː	ˈæ	0.287
ˈeː	ˈe	0.186
ˈiː	ˈe	0.347
ˈiː	ˈi	0.296
ˈiː	ˈæ	0.17
ˈiː	ˈaː	0.106
ˈiː	ˈu	0.081
ˈoː	ˈo	0.345
ˈoː	ˈu	0.337
ˈoː	ˈɔi̯	0.177
ˈoː	ˈoː	0.141
ˈuː	ˈu	0.689
ˈuː	ˈo	0.233
ˈuː	ˈæː	0.077
ˈøː	ˈiː	0.495
ˈøː	ˈɛ	0.282
ˈøː	ˈʊː	0.126
ˈøː	ˈɒː	0.098
ˈœ	ˈe	0.345
ˈœ	ˈæː	0.164
ˈœ	ˈo	0.118
ˈœ	ˈoː	0.118
ˈœ	ˈi	0.107
ˈœ	ˈøː	0.085
ˈœ	ˈu	0.063
ˈɔ	ˈɒ	0.216
ˈɔ	ˈo	0.21
ˈɔ	ˈɒː	0.191
ˈɔ	ˈi	0.141
ˈɔ	ˈu	0.094
ˈɔ	ˈæ	0.081
ˈɔ	ˈoː	0.067
ˈɔːi̯	ˈʊː	0.321
ˈɔːi̯	ˈeː	0.284
ˈɔːi̯	ˈai̯	0.281
ˈɔːi̯	ˈoː	0.113
ˈɔːu̯	ˈiː	0.458
ˈɔːu̯	ˈʊː	0.442
ˈɔːu̯	ˈøː	0.101
ˈɔ̯aː	ˈoː	0.845
ˈɔ̯aː	ˈɒ	0.082
ˈɔ̯aː	ˈeː	0.059
ˈɛ	ˈe	0.291
ˈɛ	ˈeː	0.203
ˈɛ	ˈi	0.119
ˈɛ	ˈɛ	0.11
ˈɛ	ˈɒ	0.108
ˈɛ	ˈəi̯	0.1
ˈɛ	ˈæː	0.053
ˈɛːa̯	ˈɒː	0.335
ˈɛːa̯	ˈeː	0.202
ˈɛːa̯	ˈɒ	0.197
ˈɛːa̯	ˈiː	0.184
ˈɛːa̯	ˈei̯	0.065
ˈɛːi̯	ˈoː	0.602
ˈɛːi̯	ˈəi̯	0.189
ˈɛːi̯	ˈʊː	0.175
ˈɪ	ˈi	0.783
ˈɪ	ˈiː	0.077
ˈɪ	ˈu	0.064
ˈʉːu̯	ˈyː	0.814
ˈʉːu̯	ˈøi̯	0.116
ˈʉːu̯	ˈiː	0.07
ˈʊ	ˈu	0.635
ˈʊ	ˈyː	0.121
ˈʊ	ˈe	0.058
ˈʊ̯iː	ˈiː	0.868
ˈʊ̯iː	ˈi	0.096
ˈʏ	j	0.889
ˈʏ	ˈo	0.111
