Faroese	Alsatian	probability
a	ə	0.466
a	-	0.422
a	i	0.059
a	d̥_ə	0.044
b̥	b̥	1.0
d̥	d̥	0.619
d̥	t	0.37
f	f	0.924
f	-	0.075
h	h	0.939
h	-	0.063
j	-	0.456
j	t	0.278
j	v	0.085
j	ʋ	0.083
j	l	0.083
j_ʊ	t	1.0
k	ʃ	0.492
k	-	0.254
k	k	0.222
k_ʊ	ʃ	0.501
kʰ	kʰ	0.572
kʰ	ʋ	0.274
kʰ	f	0.081
kʰ	ɡ̊	0.062
l	l	1.0
l̥	l	1.0
m	m	0.897
m	-	0.069
m	e	0.047
m_ʊ	m	1.0
n	n	0.866
n	-	0.132
nː	n	0.807
nː	l	0.189
n̥	ə	0.416
n̥	n	0.384
n̥	-	0.134
p	f	1.0
r	ʁ	0.251
s	s	0.623
s	ʃ	0.376
sː	s	1.0
t	s	0.35
t	t	0.236
t	ʁ	0.164
t	-	0.143
t	ʦ	0.103
tʰ	ʦ	0.495
tʰ	d̥	0.389
tʰ	t	0.101
tː	p͡f	0.251
v	-	0.502
v	ʋ	0.23
v	w	0.093
v	v	0.048
v	f	0.046
v_ʊ	f	0.501
w	t	0.411
w	-	0.244
w	d̥	0.213
w	ə	0.122
ŋ	ŋ	0.815
ŋ	i	0.117
ŋ	-	0.067
ə	ə	0.251
ɛ	i	0.251
ɡ̊	-	0.609
ɡ̊	ɡ̊	0.315
ɡ̊	v	0.043
ɡ̊	k	0.043
ɡ̊_ʊ	ə	1.0
ɪ	ə	0.515
ɪ	-	0.379
ɪ	i	0.091
ɲ	ŋ	0.251
ɹ	-	0.585
ɹ	ʁ	0.4
ɹ_a	ʁ	1.0
ɹ_ʊ	ʁ	1.0
ɹː	k	0.501
ʃ	ʃ	0.771
ʃ	s	0.222
ʈ	ʦ	0.501
ʊ	-	0.915
ʊ	ə	0.059
ʊ_ɹ	ə	0.501
ʊ̯ˈiː	ˈiː	0.251
ʤ̊	-	0.559
ʤ̊	n	0.145
ʤ̊	ɡ̊	0.12
ʤ̊	k	0.12
ʤ̊	d̥	0.039
ʧ	ʁ	0.501
ʧʰ	kʰ	0.501
ʧː	n	1.0
ʰkː	k	0.251
ʰp	f	0.574
ʰp	p͡f	0.288
ʰt	s	1.0
ʰtː	x	0.349
ʰtː	x_t	0.265
ʰtː	t	0.201
ˈa	ˈɒ	0.692
ˈa	ˈɒː	0.114
ˈa	ˈi	0.114
ˈa	ˈaː	0.069
ˈai̯	ˈəi̯	1.0
ˈaːi̯	ˈəi̯	1.0
ˈeə̯	ˈe	0.251
ˈeː	ˈæ	0.701
ˈeː	ˈɒ	0.167
ˈeː	ˈe	0.069
ˈiː	ˈi	0.367
ˈiː	ˈe	0.242
ˈiː	ˈæ	0.16
ˈiː	ˈaː	0.151
ˈoː	ˈɔi̯	0.331
ˈoː	ˈoː	0.331
ˈuː	ˈo	0.245
ˈuː	ˈæː	0.141
ˈuː	ˈu	0.141
ˈøː	ˈiː	0.633
ˈøː	ˈɛ	0.229
ˈøː	ˈɒː	0.1
ˈœ	ˈøː	0.196
ˈœ	ˈu	0.196
ˈœ	ˈe	0.135
ˈœ	ˈæː	0.129
ˈœ	ˈi	0.093
ˈɔ	ˈo	0.3
ˈɔ	ˈɒ	0.253
ˈɔ	ˈɒː	0.129
ˈɔ	ˈu	0.094
ˈɔ	ˈi	0.091
ˈɔːi̯	ˈai̯	0.28
ˈɔːi̯	ˈoː	0.28
ˈɔːi̯	ˈʊː	0.175
ˈɔːi̯	ˈeː	0.175
ˈɔːu̯	ˈʊː	0.678
ˈɔːu̯	ˈiː	0.201
ˈɔːu̯	ˈøː	0.101
ˈɔ̯aː	ˈoː	0.696
ˈɔ̯aː	ˈɒː	0.117
ˈɔ̯aː	ˈɒ	0.081
ˈɔ̯aː	ˈeː	0.06
ˈɛ	ˈe	0.3
ˈɛ	ˈeː	0.205
ˈɛ	ˈi	0.135
ˈɛ	ˈəi̯	0.118
ˈɛ	ˈɒ	0.087
ˈɛːa̯	ˈɒ	0.515
ˈɛːa̯	ˈɒː	0.285
ˈɛːa̯	ˈeː	0.12
ˈɛːa̯	ˈei̯	0.058
ˈɛːi̯	ˈoː	0.503
ˈɛːi̯	ˈʊː	0.254
ˈɛːi̯	ˈœ	0.12
ˈɛːi̯	ˈəi̯	0.083
ˈɪ	ˈi	0.673
ˈɪ	ˈʊː	0.089
ˈɪ	ˈu	0.089
ˈɪ	ˈiː	0.073
ˈɪ	w	0.072
ˈʉːu̯	ˈyː	0.786
ˈʉːu̯	ˈøi̯	0.139
ˈʉːu̯	ˈiː	0.046
ˈʊ	ˈu	0.359
ˈʊ	ˈø	0.094
ˈʊ	ˈiː	0.094
ˈʊ	ˈyː	0.094
ˈʊ	ˈei̯	0.073
ˈʊ_t	ˈo	1.0
ˈʊ̯iː	ˈiː	0.844
ˈʊ̯iː	ˈei̯	0.153
ˈʏ	j	0.436
ˈʏ	ˈo	0.055
