Logudorese	Logudorese	probability
ˈɔ_ɾ	ˈɔ_ɬ	1.0
ˈu_ɣ	ˈɔ_ʦ	1.0
ʃ	-	1.0
ɾ_ˈi	r	1.0
ɾ_ˈa	r_ˈa	1.0
ɾ_u	r_u	1.0
ɾ_m	j_mː	1.0
ɾ_a	r_a	1.0
ɡ	ɡ	1.0
ɛ̆	-	1.0
ɛ_n	u	1.0
ɛ_#>	#>	1.0
ɖː	dː	1.0
ɔ̆_#>	#>	1.0
ɔ_z	i	1.0
ɔ_l	u_r	1.0
ŋ_ɡ	ɲː	1.0
z_ˈa	ˈa_ɬ	1.0
ŭ_#>	#>	1.0
u_l	u_r	1.0
s_u	sː_u	1.0
s_p	pː	1.0
r	rː	1.0
p	p	1.0
nː_ɛ	n_ˈi	1.0
nː	nː	1.0
n_ʣ	ɲː	1.0
n_u	n_u	1.0
m_b	ŋ_k	1.0
l_ɛ	r_i	1.0
l_u	r_u	1.0
k_ˈi	bː	1.0
k_ɾ	ʧ	1.0
j_u	ʧː_u	1.0
i_s	s_a	1.0
i_m	i_m	1.0
d	d	1.0
a_m	a_m	1.0
<#_ˈu	<#_ˈu	1.0
<#_ˈa	<#_ˈa	1.0
<#_ɾ	<#_r	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_k	<#_ʦ	1.0
<#_i	<#_i	1.0
<#_a	<#_a	1.0
ˈa	ˈa	0.965
f	f	0.962
a	a	0.955
u	u	0.932
n	n	0.925
j	j	0.846
ɔ	u	0.833
ɾ_ɛ_#>	#>	0.815
ˈi	ˈi	0.8
k	k	0.743
z	-	0.733
l	l	0.731
m	m	0.71
i	i	0.684
β	β	0.667
ˈu	ˈu	0.667
ʦ	ʦː	0.667
ɛ	i	0.667
s_k	xː	0.667
ð	dː	0.65
ˈɛ	ˈɛ	0.645
ˈo	ˈɔ	0.609
ˈe	ˈe	0.609
s	s	0.607
t	t	0.579
ˈɔ	ˈɔ	0.562
ɾ	r	0.516
e	i	0.5
#>	i_#>	0.5
ʣ	ʎː	0.455
ɛ_ɾ	a_r	0.444
b	b	0.408
ˈo	ˈo	0.391
ˈe	ˈɛ	0.391
t	tː	0.368
b	v	0.367
ɣ	ɡː	0.357
β	bː	0.333
ʦ	-	0.333
ɛ_ɾ	r	0.333
s_k	x	0.333
o	u	0.333
o	o	0.333
o	-	0.333
ˈɔ	ˈo	0.312
e	a	0.3
ʣ	ʤ	0.273
ʣ	-	0.273
ˈɛ	ˈe	0.258
ɣ	ʦ	0.25
ɣ	-	0.25
#>	u_#>	0.25
#>	j_#>	0.25
ˈu	ˈo	0.233
ɾ	-	0.226
m	mː	0.226
ɛ_ɾ	ˈi	0.222
s	ɬ	0.214
ð	d	0.2
z	z	0.2
e	-	0.2
ɾ	j	0.194
ɔ	ɔ	0.167
i	d_i	0.158
i	-	0.158
l	r	0.154
j	ʒ	0.154
ð	-	0.15
ɣ	ɡ	0.143
ˈɔ	u	0.125
b	ʤ	0.122
l	-	0.115
ɾ_ɛ_#>	ˈi_#>	0.111
s	ʃː	0.107
ˈu	ˈɔ	0.1
ˈi	ˈe	0.1
ˈi	-	0.1
ˈɛ	-	0.097
k	xː	0.086
k	kː	0.086
k	-	0.086
ɛ	u	0.076
ɛ	-	0.076
n	-	0.075
ɾ_ɛ_#>	ˈe_#>	0.074
s	sː	0.071
z	ʣ	0.067
ɾ	ɬ	0.065
m	ŋ	0.065
ɛ	β_i	0.061
b	ɡ	0.061
t	ʦː	0.053
