Swabian	Swabian	probability
ˈʌ	ˈɛː_r	1.0
ˈɛ_ʕ	ˈɛɪ̯	1.0
ˈɔə̯	ˈoːu̯	1.0
ˈɔe̯	ˈeː	1.0
ˈɔ_ʕ	ˈoːu̯_d	1.0
ˈuː	ˈoːu̯	1.0
ˈiː	-	1.0
ˈiə̯	j_ˈoː	1.0
ˈeə̯	-	1.0
ʦ	t	1.0
ʣ	t	1.0
ʕ_ʦ	t	1.0
ʋ_ˈɔe̯	v_ˈoː	1.0
ʋ	v	1.0
ʃ_d	s_t	1.0
ʁ_ˈae̯	r	1.0
ʁ	r	1.0
ɡ_s	k_s	1.0
ɡ_#>	x_#>	1.0
t	d	1.0
s_a	t_ə	1.0
s_#>	s_#>	1.0
p͡f	-	1.0
m	m	1.0
l_#>	l_#>	1.0
l	l	1.0
kʰ	s	1.0
i	ɪ	1.0
h	h	1.0
f_a	p_ə	1.0
f	f	1.0
eə̯	i	1.0
e	ə	1.0
d_ˈoː	d_ˈoː	1.0
d_ˈao̯	d_ˈuː	1.0
d_a	d_ə	1.0
b̥͡f	p	1.0
<#_ˈa	<#	1.0
<#_ʁ	<#_r	1.0
<#_n	<#_n	1.0
<#_kʰ	<#_k	1.0
<#_j	<#_j	1.0
<#_d	<#	1.0
n	n	0.84
ʕ	r	0.818
ŋ	ŋ	0.818
#>	n_#>	0.818
b	b	0.76
ç	k	0.75
x	x	0.75
a	ə	0.75
ˈuə̯	ˈoːu̯	0.714
ˈe	ˈɪ	0.714
f_#>	p_#>	0.714
ˈɛː	-	0.667
d	d	0.644
ʃ	s_k	0.619
ˈɪ	-	0.6
ˈɔ	ˈɔ	0.6
ʌ	ə_r	0.579
ɡ	ɣ	0.556
ˈo	ˈʊ	0.533
ˈɔː	ˈoː	0.5
ˈɔː	ˈiː	0.5
ˈoː	ˈoː	0.5
ˈaː	-	0.5
d_ʌ	ə_r	0.5
d_ʌ	r	0.5
s	s	0.484
ˈao̯	ˈuː	0.462
ˈeː	ˈeː	0.429
ˈeː	-	0.429
ˈɪ	ˈɪ	0.4
ˈɔ	ˈuː	0.4
ˈəi̯	ˈi	0.385
ʃ	s	0.381
ˈa	ˈɔː	0.346
s	t	0.323
ʌ	r	0.316
ˈi	ˈɪ	0.308
ˈi	ˈiː	0.308
ˈao̯	ˈoː	0.308
ˈoː	ˈuː	0.3
ˈae̯	ˈuː	0.3
ˈae̯	ˈeː	0.3
ˈuə̯	ˈɛɪ̯	0.286
ˈe	-	0.286
f_#>	#>	0.286
d	t	0.271
ˈo	ˈoːu̯	0.267
ˈɛ	ˈiː	0.25
ˈu	ˈɛː	0.25
ˈu	ˈɔː	0.25
ˈu	ˈuː	0.25
ˈu	-	0.25
ˈaː	ˈɔː	0.25
ˈaː	ˈoːu̯	0.25
ç	x	0.25
x	-	0.25
a	j_ə	0.25
ˈəi̯	ˈiː	0.231
ˈəi̯	-	0.231
ˈi	-	0.231
ˈoː	-	0.2
ˈo	ˈuː	0.2
ˈae̯	ˈɛ	0.2
ˈae̯	n	0.2
ˈa	ˈoː	0.192
ˈɛ	ˈa	0.188
ˈɛ	-	0.188
ʕ	ˈiː_r	0.182
ŋ	ˈʊ_ŋ	0.182
#>	k_#>	0.182
ˈɛː	ˈiːu̯	0.167
ˈɛː	ˈeːu̯	0.167
b	v	0.16
ˈəi̯	j_ˈuː	0.154
ˈi	ˈɔː	0.154
ˈao̯	-	0.154
ɡ	ˈaːi̯	0.148
ˈeː	ˈœː	0.143
s	z	0.129
ˈɛ	ˈɛ	0.125
ˈɛ	ˈeː	0.125
ˈɛ	ˈaː	0.125
ɡ	k	0.111
ɡ	j	0.111
ʌ	ə	0.105
n	n_ə	0.08
n	-	0.08
b	-	0.08
ˈao̯	ˈøː	0.077
ˈa	ˈɛː	0.077
ˈa	ˈɔ	0.077
ˈa	ˈoːu̯	0.077
ˈa	ˈaː	0.077
ˈa	ˈa	0.077
ˈa	-	0.077
ɡ	ɡ	0.074
s	t_ə	0.065
d	d_ə	0.051
