Aragonese	Gascon	probability
b	b	1.0
k	k	1.0
r	a_r	1.0
ŋ	ŋ	1.0
ɲ	ɲ	1.0
ʃ	ʃ	1.0
ʝ	-	1.0
ˈi	ˈi	1.0
j	-	0.561
ɣ	-	0.421
ˈe	ˈe	0.671
ˈo	-	0.061
e	e	0.82
i	i	0.392
l	l	0.922
ʧ	ʒ	0.912
ˈa	ˈa	0.812
ˈu	ˈy	0.882
d	d	0.973
n	n	0.73
o	e	0.133
o	-	0.503
w	-	0.073
ɣ	k	0.113
ɾ	r	0.173
ˈo	ˈu	0.513
β	-	0.203
j	j	0.394
m	m	0.834
n	-	0.094
u	u	0.484
ɡ	k	0.164
ˈo	ˈɔ	0.224
a	ɔ	0.665
o	w	0.215
t	t	0.915
ð	ð	0.785
ʎ	-	0.095
a	a	0.246
i	ˈi	0.06
n	ŋ	0.176
p	p	0.96
u	w	0.516
ɡ	ɡ	0.836
ɣ	ɣ	0.466
a	-	0.077
s	z	0.077
w	w	0.927
ð	-	0.107
ð	t	0.107
ʎ	ʎ	0.697
ˈe	ˈɛ	0.247
β	β	0.797
i	e	0.548
s	s	0.898
ʎ	l	0.208
ʧ	-	0.088
ˈa	-	0.188
ˈo	ˈa_w	0.108
ˈu	ˈu	0.118
θ	s	0.58
e	-	0.09
e	ˈe	0.09
f	h	0.979
m	-	0.119
o	u	0.149
ɾ	-	0.09
ɾ	e	0.159
ɾ	ɾ	0.539
θ	ʦ	0.329
