Aragonese	Aragonese	probability
θ_ˈi	k_ˈi	1.0
ˈu_j	ˈɔ	1.0
ˈu	ˈu	1.0
ˈe_ɾ	ɛ_ɾ	1.0
ˈe_n	n_t	1.0
ˈe_j	ˈe	1.0
ʧ	ɡ	1.0
ʝ	-	1.0
ʃ	s	1.0
ɾ_β	ɾ_b	1.0
ɾ_n	r	1.0
ɾ_k	ɾ_k	1.0
ɾ_a	ɾ_a	1.0
ŋ_ɡ	m	1.0
ŋ_k	m	1.0
ŋ	ŋ	1.0
ð_a	t_a	1.0
z	z_u	1.0
t	t	1.0
r	r	1.0
p	p	1.0
o_l	ɔ_l	1.0
n_#>	n_ɛ_#>	1.0
m_b	m	1.0
m	m	1.0
l_#>	l_ɛ_#>	1.0
k	k	1.0
j_t	t	1.0
f	f	1.0
b_ɾ	i_n	1.0
b_e	b_ˈi	1.0
b	b	1.0
a_#>	#>	1.0
<#_ˈe	<#_ˈi	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʧ	<#_ʣ	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_r	<#_ɾ	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_k	<#	1.0
<#_e	<#_i	1.0
<#	<#_i	1.0
ˈa	ˈa	0.966
a	a	0.893
d	d	0.857
n	n	0.818
ɾ	ɾ	0.797
#>	ɛ_#>	0.797
o	u	0.796
θ	k	0.789
ˈi	ˈi	0.75
ɡ	ɡ	0.75
<#_a	<#_a	0.667
l	l	0.651
ɣ	k	0.636
s	s	0.618
β	β	0.611
u	u	0.6
w	-	0.583
ð	t	0.538
j_ˈe	ˈɛ	0.526
w_ˈe	ˈo	0.519
ɲ	nː	0.5
j_#>	ɣ_ɛ_#>	0.5
j_#>	t_ɛ_#>	0.5
w_ˈe	ˈɔ	0.481
j_ˈe	ˈe	0.474
ð	ð	0.462
ˈo	ˈɔ	0.429
u	o	0.4
β	p	0.389
ɲ	n_ʣ	0.375
i	ɛ	0.375
i	-	0.375
e	ɛ	0.355
ˈe	ˈɛ	0.35
ˈe	ˈi	0.35
j	ˈɛ	0.333
j	j	0.333
j	-	0.333
<#_a	<#	0.333
ˈo	ˈu	0.321
ʎ	k_ɾ	0.316
l	ɾ	0.302
e	i	0.29
ʎ	ʣ	0.263
ʎ	ɖː	0.263
ɡ	-	0.25
w	β_ɛ	0.25
i	i	0.25
s	z	0.235
ɣ	β	0.182
ɣ	ɣ	0.182
ˈo	ˈo	0.179
w	ˈɔ	0.167
ʎ	-	0.158
ˈe	ˈe	0.15
s	z_ɔ̆	0.147
ˈi	i	0.143
d	-	0.143
#>	u_#>	0.136
ɲ	ɲ	0.125
n	nː	0.114
ɾ	ɛ_ɾ	0.108
ˈi	ɛ	0.107
θ	ʦ	0.105
θ	t	0.105
o	ɔ	0.097
e	e	0.097
ˈo	-	0.071
n	-	0.068
a	-	0.067
e	u	0.065
e	n_ɛ	0.065
e	a	0.065
e	-	0.065
o	o	0.054
