Polish	Upper Sorbian	probability
a	a	1.0
b	b	1.0
d	d	1.0
f	-	1.0
l	l	1.0
m	m	1.0
n	n	1.0
p	p	1.0
r	ʀ	1.0
s	s	1.0
t	t	1.0
w	w	1.0
x	x	1.0
z	z	1.0
ɕ	s	1.0
ɲ	ɲ	1.0
ʈ͡ʂ	ʧ	1.0
ʑ	z	1.0
ʥ	ʤ	1.0
ʦ	ʦ	1.0
ʨ	ʧ	1.0
ˈi	ˈi	1.0
i	ɪ	0.601
ɔ	-	0.071
ɨ	i	0.161
ˈa	ˈɔ	0.111
ˈu	ˈɔ	0.41
ˈɛ	ˈɛ	0.201
ˈɨ	ˈɪ	0.61
j	j	0.202
k	k	0.802
ʐ	ʒ	0.282
ˈa	ˈa	0.22
ˈɛ	e	0.102
ɛ	-	0.083
ɛ	ɔ	0.213
ˈu	ˈu	0.13
ˈɔ	ˈo	0.243
k	kʲ	0.074
k	x	0.124
ɛ	ɛ	0.34
ɡ	ɦ	0.974
ˈa	ˈe	0.594
ˈɔ	ˈu	0.194
ˈɛ	ˈe	0.404
v	ɥ	0.195
v	β	0.805
ʂ	-	0.275
ʂ	ʃ	0.725
ˈa	ˈɛ	0.075
ˈɔ	ˈɔ	0.495
ˈu	ˈo	0.46
ˈɛ	ˈu	0.096
ɛ	ˈɔ	0.137
j	-	0.798
ɛ	ˈɛ	0.228
ʐ	ʀʲ	0.718
ˈɔ	ɔ	0.068
ˈɛ	ˈɔ	0.128
i	i	0.399
ɔ	ɔ	0.929
ɨ	ɪ	0.839
ˈɛ	ˈa	0.069
ˈɨ	ˈi	0.39
