Phone1	Phone2	Surprisal
a	a	0.66
a	ɛ	1.447
a_j	ɛː	0.0
ã	a	0.0
ã_n	ɑ̃	0.0
b	b	0.0
d	d	0.0
d_r	t	0.0
e	ɛ	0.853
e	-	1.163
e_s	s	0.0
f	f	0.0
f_ˈa	f	0.0
i	-	0.0
ĩ	ẽ	0.0
j	-	1.187
j	j	2.377
j	ˈɛ̃ː	3.038
j	ˈɛ	3.133
j	ˈiː	3.598
j	ˈɛː	4.325
j_n	ˈɛ̃	0.0
j_r	ʀ	0.0
j_s	ʃ	0.771
j_s	ˈɛ	1.273
j_t	ˈɛ	0.0
j_z	ʒ	0.0
j_ə	j	0.0
j_ˈe	ˈiː	0.0
j_ˈẽ	ˈẽ	0.0
j_ˈɛ	ˈiː	0.0
k	k	0.0
l	l	0.0
l_ə	j	0.0
m	m	0.186
m	-	3.045
n	-	0.521
n	n	2.208
n	ˈɔ̃	3.526
o	-	0.0
p	p	0.038
p	-	5.266
r	ʀ	0.275
r	-	3.983
r	a_ʀ	4.413
r	ˈe	4.613
r	ˈa	5.488
r_t	ˈa_ʀ	0.0
s	s	0.819
s	ʃ	1.206
s_k	ʃ	0.0
s_ʧ	ʃ	0.0
t	t	0.7
t	-	1.627
t	ʀ	4.043
t_r	t	0.0
t_ə	ˈɛ_s	0.0
u	ɔ	0.454
u	-	1.89
ũ	ɔ̃	0.0
v	v	0.0
v_r	ʀ	0.0
w	-	0.867
w	w	1.147
w_ˈa	w_ˈa	0.0
w_ˈɛ	ˈuː	0.0
z	-	0.0
ŋ	-	0.0
ə	-	0.835
ə	j	2.029
ə	n	3.332
ə	ɛ	3.393
ə_r	ɛ_ʀ	0.0
ə_v	f	0.0
ə_ˈy	ˈøː	0.0
ɡ	ɡ	0.757
ɡ	-	1.292
ɲ	ɲ	0.0
ʎ	j	0.0
ʤ	ʤ	0.0
ʤ_ə	ʧ	0.42
ʤ_ə	ɲː	1.985
ʦ	s	0.0
ʧ	ʧ	0.0
ˈa	ˈɔː	1.207
ˈa	ˈɛ	1.649
ˈa	ˈa	2.013
ˈa_w	ˈoː	0.0
ˈã	ˈɑ̃	1.683
ˈã	-	1.851
ˈã	w	2.19
ˈã	ˈa	2.379
ˈã_j	ˈɛ̃	0.0
ˈã_n	ˈɑ̃	0.0
ˈe	-	0.338
ˈe	ˈe	2.26
ˈe_r	ˈe	0.0
ˈe_w	ˈøː	0.0
ˈẽ	ˈɛ̃	0.683
ˈẽ	-	1.406
ˈi	ˈi	0.978
ˈi	ˈiː	2.23
ˈi	ˈeː	2.824
ˈi	-	3.655
ˈi	ˈɛ	4.097
ˈi_l	ˈɛ_j	0.0
ˈĩ	ˈẽ	0.585
ˈĩ	ˈɛ	1.585
ˈo	ˈoː	0.0
ˈõ	ˈɔ̃	0.0
ˈu	ˈøː	0.992
ˈu	ˈɔ	1.423
ˈu	-	3.008
ˈu_r	ˈuː	0.0
ˈu_t	ˈɔ	0.0
ˈũ	ˈɔ̃	1.482
ˈũ	ˈɔ	1.817
ˈũ	ˈuː	2.389
ˈũ	-	2.581
ˈũ_n	ˈɔ̃	0.0
ˈy	-	1.207
ˈy	ˈy	1.367
ˈy	ˈu	2.48
ˈỹ	-	0.0
ˈỹ_j	ˈœ̃	0.0
ˈɔ	w	0.941
ˈɔ	-	3.099
ˈɔ	ˈɔː	3.114
ˈɔ	ˈoː	3.17
ˈɔ	ˈɔ	3.184
ˈɔ	ɔ	5.281
ˈɛ	ˈɛ	1.452
ˈɛ	j	1.775
ˈɛ	ˈe	2.878
ˈɛ	-	3.106
ˈɛ	ˈɔː	3.475
ˈɛ_s	j	0.0
